data,1241350800,414897.0;14784.0;399297.0;15117.0;390249.0;13752.0;416255.0;19935.0;1.06247301009;0.988945606756;1.34401810011,4399.0 197.0 109568;2644.0 70.0 109569;6833.0 441.0 109571;7556.0 140.0 109536;6737.0 228.0 109541;10220.0 394.0 109542;7242.0 253.0 109551;3469.0 94.0 109553;12782.0 501.0 109476;15163.0 669.0 109524;3456.0 104.0 109557;4608.0 128.0 109560;4095.0 134.0 109561;3109.0 71.0 109562;8419.0 226.0 109563;3939.0 147.0 109564;3523.0 81.0 109565;2854.0 56.0 109566;5391.0 202.0 109567,109536.0 16129;109568.0 16129;109571.0 16129;109476.0 16129;109541.0 16129;109542.0 16129;109569.0 16129;109551.0 16129;109553.0 16129;109524.0 16129;109557.0 16129;109560.0 16129;109561.0 16129;109562.0 16129;109563.0 16129;109564.0 16129;109565.0 16129;109566.0 16129;109567.0 16129,109568 847;109569 847;109571 854;109536 839;109541 886;109542 848;109551 857;109553 826;109476 792;109524 823;109557 851;109560 862;109561 831;109562 877;109563 840;109564 851;109565 878;109566 803;109567 917
data,1241351100,415080.0;14789.0;399508.0;15120.0;390431.0;13756.0;416465.0;19940.0;1.06223182745;0.988873806071;1.34381549426,7569.0 140.0 109536;4410.0 197.0 109568;6845.0 442.0 109571;12791.0 501.0 109476;6745.0 228.0 109541;10232.0 394.0 109542;2657.0 70.0 109569;7252.0 253.0 109551;3481.0 94.0 109553;15178.0 671.0 109524;3465.0 104.0 109557;4618.0 128.0 109560;4107.0 134.0 109561;3121.0 71.0 109562;8428.0 226.0 109563;3950.0 147.0 109564;3533.0 81.0 109565;2866.0 56.0 109566;5402.0 202.0 109567,109536.0 3871;109568.0 3871;109571.0 3871;109476.0 3871;109541.0 3871;109542.0 3871;109569.0 3871;109551.0 3871;109553.0 3871;109524.0 3871;109557.0 3871;109560.0 3871;109561.0 3871;109562.0 3871;109563.0 3871;109564.0 3871;109565.0 3871;109566.0 3871;109567.0 3871,109536 190;109568 201;109571 189;109476 190;109541 183;109542 199;109569 226;109551 208;109553 231;109524 193;109557 223;109560 192;109561 215;109562 195;109563 215;109564 207;109565 213;109566 201;109567 200
data,1241351700,416134.0;14814.0;400515.0;15149.0;391475.0;13776.0;417548.0;19975.0;1.06249290949;0.988507484765;1.34382043477,4435.0 197.0 109568;2682.0 72.0 109569;6993.0 449.0 109571;12845.0 502.0 109476;7702.0 141.0 109536;10261.0 395.0 109542;7297.0 255.0 109551;3528.0 96.0 109553;15277.0 674.0 109524;3498.0 104.0 109557;8468.0 227.0 109563;4654.0 128.0 109560;4160.0 136.0 109561;3154.0 72.0 109562;6829.0 232.0 109541;4007.0 148.0 109564;3558.0 82.0 109565;2883.0 56.0 109566;5426.0 202.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1045;109569 1046;109571 998;109476 1097;109536 1011;109542 1073;109551 1013;109553 1049;109524 1090;109557 1069;109563 1071;109560 1043;109561 1093;109562 1054;109541 1074;109564 1010;109565 998;109566 1107;109567 1059
data,1241352300,417172.0;14845.0;401589.0;15185.0;392461.0;13811.0;418584.0;20014.0;1.06259541432;0.988925484418;1.34365020031,7748.0 142.0 109536;2718.0 73.0 109569;7045.0 451.0 109571;12863.0 503.0 109476;10286.0 396.0 109542;4467.0 197.0 109568;7319.0 256.0 109551;3601.0 98.0 109553;7005.0 239.0 109541;15397.0 677.0 109524;3593.0 106.0 109557;4686.0 129.0 109560;4188.0 138.0 109561;3170.0 72.0 109562;8659.0 238.0 109563;4064.0 149.0 109564;3579.0 82.0 109565;2901.0 56.0 109566;5442.0 202.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1055;109569 1022;109571 1026;109476 1030;109542 1050;109568 1008;109551 1070;109553 1088;109541 1057;109524 1023;109557 1059;109560 1054;109561 1079;109562 1037;109563 1123;109564 1089;109565 1067;109566 1036;109567 1027
data,1241352900,418200.0;14870.0;402649.0;15212.0;393460.0;13842.0;419632.0;20040.0;1.06250932888;0.989398658654;1.34308091614,7767.0 143.0 109536;4582.0 201.0 109568;7131.0 457.0 109571;12885.0 503.0 109476;7141.0 240.0 109541;10304.0 398.0 109542;2734.0 73.0 109569;7341.0 256.0 109551;3634.0 99.0 109553;15620.0 684.0 109524;3746.0 108.0 109557;4701.0 129.0 109560;4216.0 138.0 109561;3184.0 72.0 109562;8736.0 239.0 109563;4088.0 149.0 109564;3603.0 84.0 109565;2920.0 56.0 109566;5458.0 202.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1010;109568 1034;109571 1012;109476 1086;109541 1015;109542 1061;109569 1064;109551 1031;109553 1033;109524 1034;109557 1058;109560 1100;109561 1037;109562 1115;109563 1098;109564 1110;109565 1046;109566 1020;109567 1036
data,1241353500,419287.0;14895.0;403730.0;15239.0;394455.0;13864.0;420688.0;20067.0;1.06251810012;0.989377373413;1.34274398742,7791.0 144.0 109536;2747.0 73.0 109569;7156.0 459.0 109571;12901.0 505.0 109476;7183.0 240.0 109541;10342.0 399.0 109542;4692.0 203.0 109568;7364.0 257.0 109551;3650.0 99.0 109553;15897.0 690.0 109524;3853.0 110.0 109557;4731.0 129.0 109560;4346.0 143.0 109561;3204.0 72.0 109562;8759.0 239.0 109563;4173.0 149.0 109564;3676.0 88.0 109565;2930.0 57.0 109566;5477.0 202.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1020;109569 1072;109571 1056;109476 1101;109541 1098;109542 1041;109568 1090;109551 1076;109553 989;109524 1075;109557 1026;109560 1052;109561 1053;109562 1077;109563 1057;109564 1041;109565 994;109566 1033;109567 1049
data,1241354100,420382.0;14928.0;404806.0;15273.0;395502.0;13891.0;421748.0;20101.0;1.06247787833;0.989070646106;1.34216873338,4721.0 204.0 109568;2765.0 74.0 109569;7223.0 464.0 109571;12921.0 506.0 109476;7199.0 240.0 109541;10380.0 402.0 109542;7419.0 257.0 109551;3673.0 100.0 109553;16065.0 697.0 109524;3962.0 115.0 109557;7825.0 145.0 109536;4754.0 129.0 109560;4590.0 149.0 109561;3220.0 72.0 109562;8786.0 239.0 109563;4207.0 149.0 109564;3782.0 89.0 109565;2952.0 58.0 109566;5504.0 203.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1114;109571 1017;109476 1006;109541 1112;109542 1010;109551 1031;109553 1075;109524 1042;109557 1027;109536 1090;109560 1097;109561 1010;109562 1016;109563 1061;109564 1075;109565 1012;109566 1065;109567 1083
data,1241354700,421445.0;14965.0;405889.0;15304.0;396549.0;13930.0;422823.0;20155.0;1.06184679353;0.989278206885;1.34241990706,7895.0 145.0 109536;2781.0 75.0 109569;7473.0 478.0 109571;12942.0 506.0 109476;7213.0 240.0 109541;10422.0 402.0 109542;4740.0 204.0 109568;7450.0 258.0 109551;3685.0 101.0 109553;16143.0 699.0 109524;4081.0 119.0 109557;4772.0 129.0 109560;4800.0 153.0 109561;3237.0 74.0 109562;8801.0 239.0 109563;4282.0 151.0 109564;3821.0 89.0 109565;2969.0 58.0 109566;5524.0 203.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1071;109569 1070;109571 1055;109476 1017;109541 1005;109542 1042;109568 1048;109551 1085;109553 1092;109524 1063;109557 1020;109560 1028;109561 1092;109562 1061;109563 1071;109564 1020;109565 1084;109566 1079;109567 997
data,1241355300,422519.0;14994.0;406961.0;15342.0;397557.0;13965.0;423910.0;20205.0;1.06232627536;0.989852016288;1.34311725917,7920.0 145.0 109536;2794.0 75.0 109569;7843.0 504.0 109571;12961.0 506.0 109476;10451.0 402.0 109542;4753.0 204.0 109568;7468.0 258.0 109551;3706.0 101.0 109553;16249.0 705.0 109524;4276.0 121.0 109557;8818.0 239.0 109563;4796.0 129.0 109560;4880.0 155.0 109561;3247.0 74.0 109562;5546.0 203.0 109567;4328.0 152.0 109564;3851.0 89.0 109565;2985.0 58.0 109566;7231.0 241.0 109541,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1069;109569 1070;109571 1074;109476 1023;109542 1045;109568 1018;109551 1043;109553 1157;109524 1068;109557 1050;109563 1020;109560 1074;109561 1025;109562 960;109567 1091;109564 1042;109565 1035;109566 1111;109541 1025
data,1241355600,423593.0;15019.0;408075.0;15392.0;398647.0;14000.0;425001.0;20264.0;1.06380694866;0.990483608629;1.34475442559,4775.0 205.0 109568;2823.0 80.0 109569;8379.0 534.0 109571;12979.0 506.0 109476;7939.0 145.0 109536;10468.0 403.0 109542;7497.0 259.0 109551;3753.0 104.0 109553;7247.0 242.0 109541;16314.0 706.0 109524;4381.0 126.0 109557;4819.0 130.0 109560;4905.0 155.0 109561;3267.0 74.0 109562;8846.0 239.0 109563;4374.0 152.0 109564;3878.0 90.0 109565;3007.0 58.0 109566;5566.0 203.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1048;109569 1023;109571 1080;109476 1110;109536 1032;109542 1041;109551 1073;109553 1093;109541 1048;109524 1047;109557 1043;109560 1037;109561 1024;109562 1076;109563 1031;109564 1011;109565 1018;109566 1075;109567 1090
data,1241356200,424589.0;15049.0;409180.0;15439.0;399685.0;14027.0;426115.0;20337.0;1.06454951283;0.990166077635;1.34654590209,4798.0 206.0 109568;2905.0 82.0 109569;8813.0 565.0 109571;12994.0 507.0 109476;7272.0 242.0 109541;10484.0 403.0 109542;7513.0 259.0 109551;3774.0 104.0 109553;16344.0 707.0 109524;4514.0 131.0 109557;7957.0 145.0 109536;4831.0 131.0 109560;5021.0 159.0 109561;3287.0 74.0 109562;8908.0 240.0 109563;4400.0 152.0 109564;3896.0 90.0 109565;3026.0 58.0 109566;5585.0 203.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 999;109569 1108;109571 1108;109476 976;109541 1051;109542 1043;109551 1024;109553 1082;109524 1112;109557 1091;109536 1020;109560 1062;109561 979;109562 1066;109563 1071;109564 1059;109565 1079;109566 1032;109567 1038
