data,1241395200,526969.0;18575.0;508170.0;19190.0;496274.0;17163.0;528934.0;24187.0;1.07132736258;0.981133093937;1.29728908905,5313.0 165.0 109569;11181.0 437.0 109572;2799.0 117.0 109573;4021.0 150.0 109574;3001.0 108.0 109575;9859.0 431.0 109576;1497.0 59.0 109577;2287.0 54.0 109578;2730.0 112.0 109579;4455.0 166.0 109580;1585.0 58.0 109581;7466.0 479.0 109582;2324.0 57.0 109583;440.0 22.0 109585;3794.0 62.0 109586;16049.0 617.0 109476;1940.0 63.0 109517;18623.0 796.0 109524;10133.0 170.0 109536;1722.0 59.0 109539;9883.0 348.0 109551;8886.0 303.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,527359.0;18588.0;508678.0;19202.0;496715.0;17175.0;529401.0;24203.0;1.07096976099;0.980986811889;1.29705425229,5330.0 165.0 109569;11210.0 439.0 109572;2816.0 117.0 109573;4052.0 152.0 109574;3039.0 111.0 109575;9880.0 431.0 109576;1523.0 59.0 109577;2303.0 54.0 109578;2753.0 113.0 109579;4484.0 168.0 109580;1609.0 59.0 109581;7484.0 479.0 109582;2344.0 57.0 109583;459.0 22.0 109585;3817.0 62.0 109586;16067.0 617.0 109476;1969.0 63.0 109517;18643.0 796.0 109524;10149.0 170.0 109536;1739.0 59.0 109539;9905.0 348.0 109551;8921.0 304.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,528323.0;18625.0;509498.0;19226.0;497623.0;17204.0;530350.0;24241.0;1.07040884886;0.980691079702;1.29655574727,5344.0 165.0 109569;11304.0 443.0 109572;2826.0 117.0 109573;4097.0 155.0 109574;3105.0 112.0 109575;9903.0 431.0 109576;1583.0 60.0 109577;2320.0 55.0 109578;2771.0 113.0 109579;4522.0 169.0 109580;1638.0 59.0 109581;7542.0 484.0 109582;2381.0 58.0 109583;465.0 22.0 109585;3843.0 62.0 109586;16092.0 618.0 109476;1989.0 63.0 109517;18687.0 796.0 109524;10161.0 170.0 109536;1797.0 61.0 109539;9920.0 348.0 109551;9026.0 308.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,529243.0;18641.0;510408.0;19249.0;498484.0;17236.0;531285.0;24272.0;1.07072172798;0.981682792144;1.29707152455,5355.0 165.0 109569;11332.0 443.0 109572;2840.0 117.0 109573;4168.0 157.0 109574;3150.0 114.0 109575;9944.0 432.0 109576;1605.0 60.0 109577;2339.0 55.0 109578;2795.0 113.0 109579;4579.0 170.0 109580;1668.0 60.0 109581;7636.0 488.0 109582;2470.0 60.0 109583;507.0 22.0 109585;3893.0 62.0 109586;16129.0 620.0 109476;2004.0 63.0 109517;18707.0 796.0 109524;10167.0 170.0 109536;1892.0 63.0 109539;9943.0 348.0 109551;9103.0 314.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,530123.0;18671.0;511311.0;19278.0;499379.0;17267.0;532182.0;24298.0;1.07049811783;0.981738181335;1.29634147036,5380.0 166.0 109569;11366.0 446.0 109572;2870.0 117.0 109573;4229.0 158.0 109574;3204.0 118.0 109575;9963.0 432.0 109576;1619.0 60.0 109577;2354.0 55.0 109578;2805.0 113.0 109579;4644.0 172.0 109580;1684.0 60.0 109581;7700.0 490.0 109582;2579.0 64.0 109583;526.0 22.0 109585;3916.0 62.0 109586;16149.0 621.0 109476;2024.0 63.0 109517;18756.0 798.0 109524;10183.0 170.0 109536;2023.0 70.0 109539;9971.0 349.0 109551;9184.0 315.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,530989.0;18704.0;512205.0;19304.0;500296.0;17308.0;533093.0;24345.0;1.06992793256;0.982134317716;1.29645614184,5390.0 166.0 109569;11429.0 447.0 109572;2903.0 118.0 109573;4319.0 160.0 109574;3243.0 119.0 109575;9977.0 433.0 109576;1630.0 60.0 109577;2365.0 55.0 109578;2822.0 113.0 109579;4681.0 174.0 109580;1695.0 60.0 109581;7900.0 497.0 109582;2639.0 67.0 109583;542.0 24.0 109585;3943.0 62.0 109586;16163.0 621.0 109476;2037.0 64.0 109517;18795.0 799.0 109524;10199.0 170.0 109536;2129.0 74.0 109539;9988.0 349.0 109551;9234.0 315.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,531860.0;18739.0;513124.0;19331.0;501192.0;17337.0;534040.0;24379.0;1.06925899101;0.981794821392;1.29566586787,5399.0 166.0 109569;11466.0 447.0 109572;2959.0 119.0 109573;4419.0 165.0 109574;3259.0 119.0 109575;9985.0 433.0 109576;1645.0 60.0 109577;2376.0 55.0 109578;2829.0 113.0 109579;4708.0 174.0 109580;1704.0 61.0 109581;8217.0 509.0 109582;2656.0 67.0 109583;553.0 24.0 109585;3961.0 62.0 109586;16181.0 622.0 109476;2052.0 65.0 109517;18863.0 801.0 109524;10212.0 171.0 109536;2207.0 76.0 109539;10001.0 349.0 109551;9290.0 316.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,532735.0;18760.0;514040.0;19363.0;502142.0;17365.0;534917.0;24412.0;1.06968061824;0.982034252575;1.29597122042,5421.0 167.0 109569;11480.0 448.0 109572;3061.0 122.0 109573;4552.0 166.0 109574;3274.0 119.0 109575;10006.0 435.0 109576;1656.0 60.0 109577;2391.0 55.0 109578;2839.0 114.0 109579;4724.0 175.0 109580;1714.0 61.0 109581;8441.0 519.0 109582;2668.0 68.0 109583;566.0 25.0 109585;3975.0 62.0 109586;16191.0 622.0 109476;2063.0 66.0 109517;18963.0 806.0 109524;10217.0 171.0 109536;2298.0 79.0 109539;10018.0 349.0 109551;9340.0 317.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,533649.0;18791.0;514934.0;19393.0;503086.0;17399.0;535783.0;24438.0;1.06954543036;0.982172711627;1.29533630602,5435.0 167.0 109569;11488.0 448.0 109572;3087.0 122.0 109573;4688.0 172.0 109574;3283.0 119.0 109575;10016.0 435.0 109576;1671.0 62.0 109577;2404.0 55.0 109578;2849.0 115.0 109579;4740.0 175.0 109580;1732.0 61.0 109581;8680.0 527.0 109582;2716.0 70.0 109583;580.0 25.0 109585;3982.0 62.0 109586;16202.0 623.0 109476;2078.0 67.0 109517;19117.0 811.0 109524;10235.0 172.0 109536;2327.0 80.0 109539;10028.0 349.0 109551;9414.0 319.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,534559.0;18822.0;515817.0;19420.0;504023.0;17434.0;536728.0;24468.0;1.0692603213;0.982373329873;1.29471475225,5454.0 167.0 109569;11501.0 448.0 109572;3103.0 123.0 109573;4800.0 175.0 109574;3297.0 119.0 109575;10024.0 436.0 109576;1684.0 62.0 109577;2420.0 55.0 109578;2859.0 115.0 109579;4753.0 175.0 109580;1781.0 65.0 109581;8892.0 537.0 109582;2738.0 70.0 109583;594.0 25.0 109585;3992.0 62.0 109586;16215.0 623.0 109476;2088.0 67.0 109517;19216.0 815.0 109524;10248.0 173.0 109536;2340.0 80.0 109539;10040.0 349.0 109551;9596.0 322.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,535488.0;18852.0;516696.0;19460.0;504903.0;17462.0;537621.0;24504.0;1.06979373038;0.98237735886;1.29465207383,5490.0 169.0 109569;11513.0 448.0 109572;3111.0 123.0 109573;4823.0 175.0 109574;3313.0 119.0 109575;10030.0 436.0 109576;1691.0 62.0 109577;2433.0 57.0 109578;2867.0 115.0 109579;4775.0 175.0 109580;1936.0 71.0 109581;9188.0 554.0 109582;2752.0 70.0 109583;606.0 26.0 109585;4000.0 62.0 109586;16228.0 624.0 109476;2101.0 67.0 109517;19293.0 822.0 109524;10264.0 173.0 109536;2356.0 80.0 109539;10048.0 349.0 109551;9696.0 326.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
