data,1242005400,2115718.0;75559.0;2037307.0;80988.0;1991492.0;71489.0;2120953.0;107575.0;1.11310408406;1.00515314392;1.42020778661,11849.0 516.0 109762;12538.0 450.0 109731;8500.0 346.0 109780;5490.0 242.0 109765;6469.0 222.0 109763;3392.0 193.0 109730;4590.0 166.0 109769;7789.0 137.0 109770;3137.0 94.0 109771;9331.0 418.0 109740;2048.0 66.0 109773;6502.0 375.0 109774;8972.0 512.0 109775;1580.0 28.0 109776;1540.0 36.0 109777;5168.0 140.0 109778;2187.0 81.0 109779;6632.0 269.0 109684;6884.0 353.0 109782;4089.0 154.0 109783;12188.0 333.0 109745,109730.0 2003;109731.0 2003;109765.0 2003;109763.0 2003;109777.0 2003;109762.0 2003;109769.0 2003;109770.0 2003;109771.0 2003;109740.0 2003;109773.0 2003;109774.0 2003;109775.0 2003;109776.0 2003;109745.0 2003;109778.0 2003;109779.0 2003;109780.0 2003;109782.0 2003;109783.0 2003;109684.0 2003,109762 92;109731 102;109780 94;109765 91;109763 111;109730 93;109769 92;109770 106;109771 92;109740 94;109773 92;109774 102;109775 83;109776 88;109777 97;109778 76;109779 98;109684 105;109782 103;109783 106;109745 86
data,1242005400,2116568.0;75582.0;2038169.0;81017.0;1992329.0;71515.0;2121800.0;107611.0;1.11314005814;1.00519410395;1.42025415405,11878.0 517.0 109762;12569.0 452.0 109731;5513.0 242.0 109765;2271.0 85.0 109779;12277.0 335.0 109745;4616.0 166.0 109769;7821.0 137.0 109770;3177.0 94.0 109771;9359.0 419.0 109740;3434.0 194.0 109730;6533.0 377.0 109774;2089.0 66.0 109773;1636.0 30.0 109776;1586.0 40.0 109777;5191.0 141.0 109778;6506.0 224.0 109763;6659.0 269.0 109684;6939.0 357.0 109782;4149.0 155.0 109783;8528.0 347.0 109780;9006.0 513.0 109775,109730.0 17997;109731.0 17997;109765.0 17997;109763.0 17997;109777.0 17997;109762.0 17997;109769.0 17997;109770.0 17997;109771.0 17997;109740.0 17997;109773.0 17997;109774.0 17997;109775.0 17997;109776.0 17997;109745.0 17997;109778.0 17997;109779.0 17997;109780.0 17997;109782.0 17997;109783.0 17997;109684.0 17997,109762 821;109731 838;109765 866;109779 871;109745 902;109769 899;109770 837;109771 828;109740 868;109730 901;109774 866;109773 858;109776 857;109777 867;109778 849;109763 882;109684 840;109782 846;109783 805;109780 855;109775 841
data,1242005700,2117498.0;75615.0;2039129.0;81039.0;1993286.0;71551.0;2122733.0;107644.0;1.11292122344;1.00522005303;1.42006920099,11904.0 517.0 109762;6520.0 225.0 109763;12630.0 453.0 109731;1637.0 41.0 109777;4637.0 166.0 109769;7837.0 137.0 109770;3218.0 94.0 109771;9379.0 419.0 109740;3470.0 194.0 109730;6597.0 379.0 109774;2110.0 67.0 109773;1780.0 32.0 109776;12300.0 335.0 109745;5205.0 141.0 109778;2427.0 90.0 109779;6709.0 270.0 109684;6967.0 359.0 109782;4266.0 159.0 109783;8546.0 349.0 109780;9031.0 513.0 109775;5527.0 242.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 968;109731 927;109777 921;109769 960;109770 945;109771 927;109740 950;109730 911;109774 914;109773 1017;109776 952;109745 945;109778 938;109779 936;109684 969;109782 979;109783 984;109780 953;109775 976;109765 977
data,1242006000,2118431.0;75645.0;2040088.0;81069.0;1994243.0;71592.0;2123718.0;107686.0;1.11285866195;1.00535748257;1.42002664417,12316.0 336.0 109745;11932.0 520.0 109762;12699.0 454.0 109731;5541.0 243.0 109765;6533.0 225.0 109763;3491.0 195.0 109730;4656.0 168.0 109769;7853.0 137.0 109770;3271.0 94.0 109771;9394.0 420.0 109740;2121.0 67.0 109773;6698.0 380.0 109774;9047.0 513.0 109775;1850.0 32.0 109776;1658.0 41.0 109777;5221.0 142.0 109778;2546.0 96.0 109779;6764.0 271.0 109684;6981.0 359.0 109782;4468.0 165.0 109783;8616.0 354.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 961;109762 969;109731 970;109765 964;109763 968;109730 994;109769 956;109770 941;109771 987;109740 972;109773 950;109774 957;109775 962;109776 961;109777 949;109778 896;109779 963;109684 948;109782 920;109783 910;109780 902
data,1242006600,2119394.0;75679.0;2041051.0;81097.0;1995158.0;71624.0;2124684.0;107718.0;1.11272346849;1.00535072001;1.41981006173,11943.0 521.0 109762;6543.0 225.0 109763;5558.0 243.0 109765;12334.0 336.0 109745;4672.0 168.0 109769;7870.0 138.0 109770;3357.0 97.0 109771;9408.0 420.0 109740;2142.0 68.0 109773;6743.0 382.0 109774;9081.0 514.0 109775;1939.0 33.0 109776;1676.0 42.0 109777;5237.0 143.0 109778;2681.0 102.0 109779;6825.0 272.0 109684;6991.0 360.0 109782;4574.0 168.0 109783;8762.0 356.0 109780;12776.0 456.0 109731;3507.0 196.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 967;109763 950;109765 961;109745 930;109769 937;109770 951;109771 937;109740 970;109773 968;109774 975;109775 972;109776 960;109777 961;109778 878;109779 991;109684 924;109782 990;109783 963;109780 967;109731 912;109730 936
data,1242006900,2120355.0;75707.0;2042050.0;81129.0;1996124.0;71654.0;2125651.0;107763.0;1.11271077328;1.00536894188;1.41987546066,12026.0 526.0 109762;12882.0 463.0 109731;8826.0 357.0 109780;5579.0 243.0 109765;6559.0 225.0 109763;3521.0 196.0 109730;4691.0 169.0 109769;7885.0 138.0 109770;3564.0 104.0 109771;9420.0 420.0 109740;2153.0 68.0 109773;6758.0 382.0 109774;9190.0 516.0 109775;1989.0 34.0 109776;1710.0 42.0 109777;5252.0 143.0 109778;2756.0 105.0 109779;6869.0 274.0 109684;7022.0 362.0 109782;4599.0 168.0 109783;12367.0 337.0 109745,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109731 989;109780 941;109765 932;109763 931;109730 995;109769 959;109770 1000;109771 948;109740 941;109773 947;109774 1001;109775 972;109776 941;109777 899;109778 963;109779 964;109684 905;109782 964;109783 945;109745 912
data,1242007200,2121343.0;75745.0;2043035.0;81171.0;1997066.0;71686.0;2126585.0;107793.0;1.11271006113;1.00530734445;1.41959590571,12148.0 535.0 109762;6572.0 225.0 109763;5595.0 243.0 109765;3534.0 196.0 109730;4709.0 172.0 109769;7901.0 138.0 109770;3799.0 113.0 109771;9440.0 420.0 109740;2164.0 68.0 109773;6776.0 382.0 109774;9270.0 521.0 109775;2017.0 35.0 109776;12428.0 339.0 109745;5279.0 144.0 109778;2801.0 105.0 109779;6923.0 278.0 109684;7071.0 365.0 109782;4618.0 169.0 109783;8841.0 357.0 109780;12986.0 467.0 109731;1731.0 42.0 109777,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 982;109763 930;109765 1011;109730 1024;109769 932;109770 929;109771 920;109740 919;109773 953;109774 939;109775 942;109776 965;109745 926;109778 893;109779 966;109684 965;109782 1001;109783 956;109780 951;109731 949;109777 947
data,1242007500,2122342.0;75783.0;2043978.0;81201.0;1997990.0;71709.0;2127524.0;107828.0;1.11257356211;1.00513392401;1.41938645683,12189.0 538.0 109762;6586.0 225.0 109763;5607.0 243.0 109765;2819.0 105.0 109779;1746.0 42.0 109777;5326.0 144.0 109778;4721.0 172.0 109769;7911.0 139.0 109770;4166.0 127.0 109771;9460.0 420.0 109740;3545.0 196.0 109730;6793.0 382.0 109774;9311.0 524.0 109775;2047.0 36.0 109776;12501.0 339.0 109745;2177.0 68.0 109773;13081.0 471.0 109731;8861.0 357.0 109780;7122.0 368.0 109782;4636.0 170.0 109783;6941.0 278.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 951;109763 995;109765 986;109779 975;109777 959;109778 963;109769 948;109770 928;109771 886;109740 928;109730 948;109774 977;109775 939;109776 951;109745 973;109773 951;109731 938;109780 952;109782 976;109783 935;109684 941
data,1242007800,2123266.0;75813.0;2044997.0;81230.0;1998946.0;71739.0;2128485.0;107870.0;1.1124602476;1.00511320655;1.4193542671,3563.0 197.0 109730;13197.0 474.0 109731;5624.0 243.0 109765;2835.0 105.0 109779;12602.0 339.0 109745;5367.0 145.0 109778;4730.0 172.0 109769;7929.0 139.0 109770;4499.0 136.0 109771;9479.0 421.0 109740;12282.0 540.0 109762;6808.0 383.0 109774;9407.0 530.0 109775;2061.0 36.0 109776;1759.0 42.0 109777;2191.0 69.0 109773;6606.0 226.0 109763;6965.0 279.0 109684;7139.0 369.0 109782;4646.0 170.0 109783;8876.0 358.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 970;109731 983;109765 924;109779 911;109745 945;109778 991;109769 917;109770 948;109771 941;109740 985;109762 943;109774 951;109775 988;109776 897;109777 961;109773 983;109763 919;109684 967;109782 993;109783 929;109780 954
data,1242008100,2124214.0;75848.0;2045948.0;81267.0;1999933.0;71759.0;2129429.0;107916.0;1.11243275948;1.00488199459;1.41930851542,12449.0 547.0 109762;6621.0 227.0 109763;5635.0 243.0 109765;2845.0 105.0 109779;1772.0 42.0 109777;4740.0 172.0 109769;7940.0 139.0 109770;4710.0 142.0 109771;9491.0 422.0 109740;2205.0 70.0 109773;6822.0 383.0 109774;9480.0 535.0 109775;2075.0 36.0 109776;12682.0 341.0 109745;5522.0 155.0 109778;13259.0 475.0 109731;6977.0 280.0 109684;7157.0 370.0 109782;4665.0 170.0 109783;8894.0 359.0 109780;3575.0 197.0 109730,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 891;109763 968;109765 911;109779 964;109777 942;109769 980;109770 971;109771 900;109740 910;109773 977;109774 989;109775 977;109776 941;109745 950;109778 964;109731 959;109684 1004;109782 985;109783 944;109780 931;109730 942
data,1242008400,2125148.0;75887.0;2046907.0;81288.0;2000884.0;71792.0;2130373.0;107950.0;1.1121160881;1.00479146413;1.41902090528,3588.0 198.0 109730;13282.0 475.0 109731;5654.0 244.0 109765;6636.0 228.0 109763;12830.0 345.0 109745;12568.0 550.0 109762;4753.0 172.0 109769;7950.0 139.0 109770;4987.0 144.0 109771;9506.0 422.0 109740;2217.0 70.0 109773;6836.0 384.0 109774;9509.0 535.0 109775;2087.0 36.0 109776;1787.0 42.0 109777;5669.0 161.0 109778;2853.0 105.0 109779;8913.0 359.0 109780;7178.0 372.0 109782;4678.0 170.0 109783;6994.0 280.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 902;109731 925;109765 987;109763 1028;109745 939;109762 972;109769 951;109770 957;109771 888;109740 968;109773 915;109774 943;109775 973;109776 960;109777 934;109778 973;109779 947;109780 953;109782 1001;109783 908;109684 976
