data,1241954400,1994318.0;71445.0;1920151.0;76495.0;1881140.0;67787.0;1999157.0;102035.0;1.11203955337;1.00588391708;1.42470462896,4264.0 80.0 109760;9892.0 435.0 109761;5888.0 258.0 109762;3215.0 110.0 109763;2204.0 26.0 109764;4143.0 186.0 109766;6751.0 270.0 109767;13309.0 297.0 109697;739.0 30.0 109769;6201.0 290.0 109740;4409.0 100.0 109741;13892.0 193.0 109723;10248.0 284.0 109745;9520.0 345.0 109731;3160.0 144.0 109684;6822.0 263.0 109686;8443.0 133.0 109752;5268.0 219.0 109755;10168.0 284.0 109756;4515.0 151.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1994896.0;71462.0;1920713.0;76516.0;1881724.0;67803.0;1999711.0;102048.0;1.11207704309;1.00586125293;1.42456527853,4282.0 80.0 109760;9915.0 436.0 109761;5921.0 258.0 109762;9537.0 346.0 109731;2239.0 27.0 109764;4164.0 187.0 109766;6771.0 270.0 109767;13334.0 298.0 109697;789.0 31.0 109769;6218.0 292.0 109740;4436.0 100.0 109741;13938.0 197.0 109723;10274.0 285.0 109745;3250.0 112.0 109763;3184.0 145.0 109684;6846.0 265.0 109686;8489.0 135.0 109752;5296.0 220.0 109755;10185.0 284.0 109756;4545.0 151.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1995884.0;71478.0;1921717.0;76547.0;1882760.0;67827.0;2000699.0;102086.0;1.11224803491;1.00593646168;1.42477844683,4309.0 80.0 109760;13355.0 300.0 109697;5966.0 261.0 109762;9601.0 348.0 109731;2330.0 29.0 109764;4199.0 187.0 109766;9997.0 437.0 109761;944.0 40.0 109769;6834.0 271.0 109767;6241.0 293.0 109740;4460.0 101.0 109741;10298.0 285.0 109745;3276.0 112.0 109763;3206.0 145.0 109684;5336.0 221.0 109755;6871.0 267.0 109686;8656.0 141.0 109752;13965.0 197.0 109723;10205.0 284.0 109756;4568.0 151.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1996862.0;71515.0;1922666.0;76579.0;1883768.0;67859.0;2001743.0;102119.0;1.11213306744;1.00584474143;1.42445634605,4333.0 80.0 109760;13407.0 303.0 109697;6030.0 264.0 109762;3293.0 112.0 109763;2416.0 30.0 109764;4211.0 187.0 109766;6885.0 272.0 109767;1282.0 57.0 109769;10020.0 438.0 109761;6268.0 295.0 109740;4475.0 102.0 109741;13984.0 198.0 109723;10311.0 285.0 109745;9629.0 348.0 109731;3219.0 145.0 109684;6889.0 267.0 109686;8698.0 142.0 109752;5415.0 222.0 109755;10217.0 284.0 109756;4584.0 151.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1997894.0;71545.0;1923685.0;76609.0;1884754.0;67890.0;2002755.0;102150.0;1.11208757731;1.00587563756;1.42430730246,4350.0 80.0 109760;10036.0 438.0 109761;6241.0 274.0 109762;9654.0 348.0 109731;2509.0 30.0 109764;4227.0 187.0 109766;6909.0 273.0 109767;13496.0 306.0 109697;1418.0 63.0 109769;6295.0 296.0 109740;4500.0 103.0 109741;13995.0 198.0 109723;10330.0 285.0 109745;3369.0 116.0 109763;3237.0 145.0 109684;6904.0 267.0 109686;8771.0 143.0 109752;5506.0 224.0 109755;10231.0 284.0 109756;4607.0 152.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1998893.0;71573.0;1924677.0;76641.0;1885702.0;67917.0;2003730.0;102187.0;1.11209946591;1.00587903962;1.42428458772,4364.0 80.0 109760;10053.0 439.0 109761;6419.0 285.0 109762;5639.0 228.0 109755;2639.0 33.0 109764;9686.0 350.0 109731;4243.0 187.0 109766;13534.0 306.0 109697;1531.0 67.0 109769;6925.0 273.0 109767;6312.0 296.0 109740;4516.0 103.0 109741;10340.0 285.0 109745;3487.0 122.0 109763;3247.0 145.0 109684;6922.0 268.0 109686;8837.0 143.0 109752;14013.0 198.0 109723;10248.0 284.0 109756;4622.0 152.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,1999879.0;71600.0;1925593.0;76674.0;1886710.0;67945.0;2004757.0;102228.0;1.1121780505;1.00587276512;1.42429130645,4374.0 80.0 109760;13606.0 311.0 109697;6551.0 289.0 109762;3544.0 127.0 109763;2787.0 36.0 109764;4256.0 187.0 109766;6939.0 274.0 109767;1639.0 74.0 109769;10068.0 439.0 109761;6324.0 296.0 109740;4533.0 103.0 109741;10354.0 285.0 109745;9703.0 351.0 109731;3258.0 145.0 109684;5774.0 231.0 109755;6934.0 269.0 109686;8923.0 146.0 109752;14024.0 198.0 109723;10264.0 284.0 109756;4638.0 152.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2000842.0;71628.0;1926607.0;76717.0;1887706.0;67981.0;2005737.0;102257.0;1.11231667492;1.00596567629;1.42412802047,4388.0 80.0 109760;10086.0 443.0 109761;6705.0 299.0 109762;5887.0 239.0 109755;2944.0 37.0 109764;4266.0 187.0 109766;13644.0 311.0 109697;1714.0 76.0 109769;3648.0 131.0 109763;6959.0 276.0 109767;6353.0 299.0 109740;4557.0 105.0 109741;10365.0 286.0 109745;9742.0 354.0 109731;3274.0 145.0 109684;6946.0 269.0 109686;9060.0 147.0 109752;14033.0 198.0 109723;10281.0 285.0 109756;4655.0 153.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2001846.0;71663.0;1927543.0;76746.0;1888700.0;68001.0;2006793.0;102292.0;1.11221142978;1.00574526985;1.42388453189,4399.0 80.0 109760;13658.0 311.0 109697;6885.0 305.0 109762;3801.0 135.0 109763;3088.0 41.0 109764;4275.0 188.0 109766;6968.0 276.0 109767;1735.0 77.0 109769;10100.0 444.0 109761;6429.0 302.0 109740;4566.0 105.0 109741;14044.0 198.0 109723;10375.0 286.0 109745;9809.0 358.0 109731;3291.0 145.0 109684;6961.0 269.0 109686;9135.0 149.0 109752;5961.0 242.0 109755;10295.0 285.0 109756;4668.0 153.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2002878.0;71696.0;1928487.0;76777.0;1889679.0;68024.0;2007737.0;102323.0;1.11217721221;1.00561952951;1.42372467432,4411.0 80.0 109760;13676.0 311.0 109697;7073.0 316.0 109762;6007.0 243.0 109755;3132.0 41.0 109764;4294.0 188.0 109766;7010.0 279.0 109767;1750.0 77.0 109769;3905.0 141.0 109763;6534.0 306.0 109740;4582.0 105.0 109741;10388.0 286.0 109745;9888.0 360.0 109731;3305.0 145.0 109684;6979.0 270.0 109686;9263.0 151.0 109752;10112.0 444.0 109761;14062.0 198.0 109723;10330.0 285.0 109756;4686.0 154.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2003942.0;71739.0;1929484.0;76808.0;1890738.0;68064.0;2008749.0;102363.0;1.11197520692;1.00557841964;1.42346620524,4423.0 80.0 109760;10124.0 444.0 109761;7170.0 320.0 109762;10041.0 366.0 109731;3236.0 46.0 109764;4302.0 188.0 109766;7050.0 279.0 109767;13689.0 311.0 109697;1791.0 80.0 109769;6634.0 309.0 109740;4601.0 106.0 109741;10396.0 286.0 109745;4105.0 146.0 109763;3318.0 145.0 109684;6042.0 244.0 109755;6999.0 272.0 109686;9333.0 151.0 109752;14077.0 198.0 109723;10349.0 285.0 109756;4704.0 155.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
