
New Run at  01/31/2015 16:22:30
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,845020.0;30301.0;814199.0;31819.0;800641.0;33901.0;849439.0;42419.0;1.08984814303;1.18082274387;1.39263804691,10779.0 387.0 109601;2058.0 93.0 109603;15558.0 529.0 109476;5757.0 701.0 109605;1591.0 60.0 109608;2667.0 88.0 109610;4610.0 170.0 109611;2845.0 278.0 109612;5843.0 183.0 109517;5899.0 413.0 109614;4718.0 95.0 109613;2329.0 160.0 109617;17811.0 441.0 109618;10505.0 174.0 109619;10355.0 546.0 109594;6528.0 377.0 109615;15325.0 875.0 109596;3251.0 164.0 109598;16487.0 893.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,846045.0;30324.0;815280.0;31838.0;801688.0;33944.0;850453.0;42460.0;1.08954698951;1.1813119875;1.39295359196,10802.0 388.0 109601;2071.0 93.0 109603;15577.0 529.0 109476;5778.0 703.0 109605;1606.0 60.0 109608;2677.0 88.0 109610;4624.0 170.0 109611;2856.0 279.0 109612;5853.0 183.0 109517;5913.0 414.0 109614;4732.0 95.0 109613;2344.0 162.0 109617;17833.0 441.0 109618;11294.0 183.0 109619;10372.0 546.0 109594;6540.0 377.0 109615;15350.0 876.0 109596;3271.0 164.0 109598;16504.0 895.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,847068.0;30341.0;816343.0;31858.0;802765.0;33977.0;851523.0;42490.0;1.08951752399;1.1816394613;1.39308858376,10813.0 388.0 109601;2086.0 96.0 109603;15592.0 529.0 109476;5803.0 705.0 109605;1620.0 61.0 109608;2696.0 88.0 109610;4636.0 170.0 109611;2874.0 281.0 109612;5869.0 184.0 109517;5929.0 414.0 109614;6560.0 377.0 109615;4756.0 96.0 109613;2363.0 163.0 109617;17852.0 441.0 109618;12041.0 191.0 109619;10393.0 546.0 109594;15367.0 876.0 109596;3292.0 164.0 109598;16518.0 896.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,848111.0;30360.0;817385.0;31876.0;803821.0;34015.0;852623.0;42525.0;1.08940178705;1.18212133635;1.39327937206,10823.0 388.0 109601;2105.0 96.0 109603;15609.0 529.0 109476;5826.0 706.0 109605;1636.0 61.0 109608;2707.0 88.0 109610;4656.0 170.0 109611;2883.0 281.0 109612;4770.0 96.0 109613;5952.0 415.0 109614;6574.0 377.0 109615;2383.0 163.0 109617;17871.0 443.0 109618;12792.0 202.0 109619;10408.0 548.0 109594;15382.0 876.0 109596;5886.0 184.0 109517;3305.0 164.0 109598;16534.0 897.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,849123.0;30377.0;818441.0;31886.0;804873.0;34032.0;853665.0;42551.0;1.08902634968;1.18191389149;1.3933108486,10837.0 388.0 109601;2126.0 97.0 109603;15630.0 529.0 109476;5846.0 706.0 109605;1648.0 61.0 109608;2719.0 88.0 109610;4668.0 170.0 109611;2898.0 281.0 109612;4781.0 96.0 109613;5974.0 416.0 109614;6598.0 378.0 109615;2397.0 163.0 109617;17892.0 443.0 109618;13559.0 209.0 109619;10423.0 548.0 109594;15390.0 876.0 109596;5904.0 184.0 109517;3320.0 164.0 109598;16548.0 897.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,850138.0;30403.0;819419.0;31904.0;805968.0;34067.0;854706.0;42578.0;1.08870970997;1.1819227196;1.39296913772,10850.0 389.0 109601;2137.0 98.0 109603;15648.0 529.0 109476;5869.0 706.0 109605;1668.0 61.0 109608;2735.0 88.0 109610;4685.0 170.0 109611;2906.0 282.0 109612;4798.0 96.0 109613;5992.0 419.0 109614;6614.0 378.0 109615;2413.0 163.0 109617;17910.0 443.0 109618;14236.0 218.0 109619;10440.0 549.0 109594;15408.0 877.0 109596;5917.0 185.0 109517;3345.0 164.0 109598;16565.0 897.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,851155.0;30424.0;820426.0;31923.0;807045.0;34107.0;855775.0;42611.0;1.08857066108;1.18232837454;1.39301076794,10866.0 390.0 109601;2160.0 98.0 109603;15660.0 529.0 109476;5889.0 706.0 109605;1680.0 61.0 109608;2751.0 89.0 109610;4699.0 171.0 109611;2927.0 284.0 109612;4816.0 97.0 109613;6000.0 419.0 109614;5940.0 186.0 109517;2430.0 163.0 109617;17927.0 443.0 109618;14954.0 228.0 109619;10452.0 549.0 109594;6628.0 378.0 109615;15423.0 878.0 109596;3363.0 164.0 109598;16578.0 898.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
data,1241512500,852171.0;30446.0;821456.0;31945.0;808032.0;34132.0;856796.0;42639.0;1.08846656741;1.18230543075;1.39291972417,10878.0 390.0 109601;2180.0 100.0 109603;15678.0 529.0 109476;4835.0 98.0 109613;1689.0 61.0 109608;2765.0 89.0 109610;4710.0 171.0 109611;2942.0 284.0 109612;5954.0 186.0 109517;6012.0 419.0 109614;6649.0 378.0 109615;2453.0 164.0 109617;17953.0 443.0 109618;15676.0 242.0 109619;10474.0 549.0 109594;15438.0 878.0 109596;5908.0 707.0 109605;3379.0 166.0 109598;16600.0 899.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1017;109603 1089;109476 1080;109613 1053;109608 1015;109610 1047;109611 1055;109612 1052;109517 1093;109614 1049;109615 1101;109617 1003;109618 1081;109619 1034;109594 1067;109596 1054;109605 1000;109598 1032;109599 1078
data,1241513400,853185.0;30468.0;822518.0;31961.0;809036.0;34158.0;857845.0;42664.0;1.08811353573;1.18228955197;1.39268215516,10895.0 391.0 109601;2196.0 100.0 109603;15694.0 530.0 109476;5924.0 707.0 109605;1700.0 61.0 109608;5970.0 187.0 109517;4729.0 171.0 109611;2958.0 284.0 109612;4860.0 99.0 109613;6028.0 419.0 109614;6662.0 378.0 109615;2468.0 164.0 109617;17973.0 443.0 109618;16444.0 252.0 109619;10485.0 549.0 109594;15450.0 878.0 109596;2784.0 89.0 109610;3397.0 166.0 109598;16618.0 901.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1070;109603 1042;109476 1005;109605 968;109608 1092;109517 1080;109611 1067;109612 1083;109613 1025;109614 1034;109615 1092;109617 1017;109618 1075;109619 1049;109594 1068;109596 1046;109610 1036;109598 1077;109599 1074
data,1241514300,854276.0;30492.0;823535.0;31979.0;810057.0;34183.0;858871.0;42703.0;1.08791536904;1.18224337802;1.39297313898,10910.0 391.0 109601;2216.0 100.0 109603;15708.0 530.0 109476;5938.0 707.0 109605;1712.0 62.0 109608;2804.0 89.0 109610;4749.0 171.0 109611;2979.0 287.0 109612;5981.0 187.0 109517;6048.0 419.0 109614;4882.0 99.0 109613;2487.0 164.0 109617;17989.0 443.0 109618;17161.0 266.0 109619;10502.0 549.0 109594;6676.0 378.0 109615;15465.0 878.0 109596;3409.0 166.0 109598;16636.0 901.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1040;109603 1056;109476 1024;109605 985;109608 1061;109610 1065;109611 1087;109612 1100;109517 988;109614 1046;109613 1066;109617 1133;109618 1015;109619 1005;109594 1047;109615 1057;109596 1094;109598 1045;109599 1086
