
New Run at  01/31/2015 14:07:06
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241248200,220670.0;9194.0;211439.0;8440.0;207670.0;9383.0;222239.0;12814.0;0.958067583842;1.08444304809;1.38389532121,1733.0 28.0 109536;2416.0 90.0 109542;3194.0 147.0 109510;4017.0 89.0 109543;5155.0 239.0 109544;1296.0 68.0 109417;3164.0 85.0 109546;2310.0 145.0 109547;10958.0 182.0 109548;15623.0 315.0 109550;3792.0 121.0 109552;7534.0 340.0 109524;5311.0 326.0 109525;1375.0 20.0 109545;3766.0 118.0 109529;13519.0 565.0 109530;6833.0 244.0 109531;1856.0 34.0 109533;3439.0 202.0 109534,109536.0 18008;109542.0 18008;109510.0 18008;109543.0 18008;109544.0 18008;109417.0 18008;109546.0 18008;109547.0 18008;109548.0 18008;109550.0 18008;109552.0 18008;109524.0 18008;109525.0 18008;109545.0 18008;109529.0 18008;109530.0 18008;109531.0 18008;109533.0 18008;109534.0 18008,109536 951;109542 942;109510 954;109543 975;109544 1019;109417 902;109546 948;109547 912;109548 968;109550 914;109552 945;109524 957;109525 890;109545 957;109529 954;109530 953;109531 979;109533 974;109534 914
data,1241249100,221761.0;9218.0;212409.0;8455.0;208721.0;9405.0;223275.0;12846.0;0.957611086017;1.08402954903;1.38412810501,1765.0 28.0 109536;2447.0 90.0 109542;3210.0 147.0 109510;4113.0 91.0 109543;5178.0 239.0 109544;1313.0 68.0 109417;3186.0 86.0 109546;2412.0 150.0 109547;10975.0 182.0 109548;15648.0 315.0 109550;3819.0 121.0 109552;7567.0 340.0 109524;5363.0 328.0 109525;1390.0 20.0 109545;3873.0 119.0 109529;13579.0 565.0 109530;6851.0 244.0 109531;2068.0 37.0 109533;3504.0 203.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1083;109542 1084;109510 1079;109543 1024;109544 1066;109417 1008;109546 1052;109547 1077;109548 1011;109550 1087;109552 1075;109524 1034;109525 1041;109545 1051;109529 1033;109530 1098;109531 1027;109533 980;109534 1090
data,1241249700,222795.0;9245.0;213437.0;8479.0;209762.0;9432.0;224371.0;12875.0;0.957355974494;1.08361623098;1.38286262429,1773.0 28.0 109536;3243.0 149.0 109510;2466.0 90.0 109542;4242.0 93.0 109543;5202.0 239.0 109544;1327.0 69.0 109417;3210.0 86.0 109546;2448.0 152.0 109547;11012.0 183.0 109548;15665.0 315.0 109550;3860.0 122.0 109552;7598.0 341.0 109524;5385.0 329.0 109525;1408.0 21.0 109545;4071.0 124.0 109529;13634.0 566.0 109530;6872.0 245.0 109531;2329.0 42.0 109533;3544.0 203.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1045;109510 1043;109542 1069;109543 989;109544 1076;109417 1118;109546 1088;109547 1085;109548 1051;109550 1069;109552 1027;109524 1021;109525 993;109545 1018;109529 1023;109530 1029;109531 1103;109533 1086;109534 1067
data,1241250900,223833.0;9265.0;214463.0;8495.0;210789.0;9454.0;225470.0;12922.0;0.956950994902;1.08354348778;1.38458513201,1792.0 28.0 109536;3314.0 149.0 109510;2484.0 90.0 109542;4355.0 94.0 109543;5220.0 240.0 109544;1421.0 21.0 109545;3235.0 87.0 109546;2517.0 154.0 109547;11038.0 183.0 109548;15683.0 315.0 109550;3887.0 122.0 109552;7614.0 341.0 109524;5414.0 330.0 109525;1347.0 70.0 109417;4408.0 130.0 109529;13654.0 566.0 109530;6890.0 245.0 109531;2363.0 42.0 109533;3679.0 206.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1095;109510 1020;109542 1027;109543 1046;109544 1019;109545 1048;109546 1090;109547 1012;109548 1054;109550 1034;109552 1038;109524 1086;109525 1119;109417 1082;109529 1052;109530 1036;109531 1039;109533 1072;109534 1031
data,1241251800,224868.0;9285.0;215511.0;8519.0;211847.0;9475.0;226539.0;12949.0;0.957337178753;1.08318503067;1.3843279928,1804.0 28.0 109536;3549.0 155.0 109510;2503.0 90.0 109542;4416.0 97.0 109543;5229.0 240.0 109544;1360.0 72.0 109417;3259.0 87.0 109546;2679.0 159.0 109547;11059.0 183.0 109548;15697.0 315.0 109550;3971.0 122.0 109552;7630.0 341.0 109524;5453.0 331.0 109525;1432.0 21.0 109545;4555.0 133.0 109529;13688.0 568.0 109530;6906.0 245.0 109531;2382.0 42.0 109533;3791.0 208.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1003;109510 1089;109542 1044;109543 1095;109544 1018;109417 991;109546 1053;109547 1047;109548 1056;109550 1020;109552 1055;109524 1060;109525 1022;109545 1121;109529 1073;109530 1078;109531 1079;109533 1045;109534 1051
data,1241252700,225968.0;9307.0;216569.0;8542.0;212886.0;9505.0;227616.0;12984.0;0.957636087756;1.08403236101;1.38497823233,1822.0 28.0 109536;3725.0 157.0 109510;2512.0 90.0 109542;4488.0 97.0 109543;5242.0 242.0 109544;1451.0 21.0 109545;3283.0 88.0 109546;2912.0 164.0 109547;11075.0 183.0 109548;15715.0 315.0 109550;4084.0 122.0 109552;7649.0 344.0 109524;5576.0 338.0 109525;1386.0 74.0 109417;4582.0 134.0 109529;13761.0 568.0 109530;6928.0 245.0 109531;2417.0 42.0 109533;3813.0 208.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1016;109542 1027;109543 1048;109544 1074;109545 1089;109546 1061;109547 1031;109548 1004;109550 1052;109552 1004;109524 1116;109525 1070;109417 1050;109529 1073;109530 1066;109531 1059;109533 1056;109534 1070
data,1241253600,227011.0;9336.0;217660.0;8570.0;213915.0;9524.0;228627.0;13003.0;0.957388608768;1.08259048708;1.38293606848,1849.0 28.0 109536;2538.0 91.0 109542;3988.0 172.0 109510;4508.0 97.0 109543;5274.0 243.0 109544;1439.0 75.0 109417;3300.0 88.0 109546;3084.0 167.0 109547;11091.0 183.0 109548;15734.0 315.0 109550;4299.0 125.0 109552;7665.0 344.0 109524;5660.0 341.0 109525;1471.0 21.0 109545;4602.0 134.0 109529;13785.0 569.0 109530;6945.0 245.0 109531;2453.0 42.0 109533;3827.0 208.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1076;109542 1071;109510 1070;109543 1106;109544 1054;109417 1009;109546 1092;109547 1110;109548 1034;109550 1036;109552 988;109524 1027;109525 1056;109545 1014;109529 1051;109530 1042;109531 1057;109533 1029;109534 1078
data,1241254800,228023.0;9363.0;218743.0;8597.0;214990.0;9555.0;229720.0;13039.0;0.957142045704;1.08237079021;1.38232164845,1860.0 28.0 109536;2554.0 91.0 109542;4285.0 182.0 109510;4522.0 98.0 109543;5330.0 243.0 109544;1491.0 21.0 109545;3325.0 92.0 109546;3131.0 167.0 109547;11106.0 183.0 109548;15754.0 315.0 109550;4516.0 127.0 109552;7692.0 344.0 109524;5768.0 346.0 109525;1510.0 78.0 109417;4621.0 134.0 109529;13844.0 570.0 109530;6964.0 245.0 109531;2473.0 42.0 109533;3849.0 209.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1055;109542 1071;109510 1104;109543 1048;109544 1010;109545 1039;109546 1026;109547 1058;109548 1031;109550 1049;109552 1093;109524 1070;109525 1081;109417 1097;109529 1013;109530 1013;109531 1014;109533 1093;109534 1035
data,1241255700,229054.0;9389.0;219806.0;8621.0;216028.0;9563.0;230800.0;13072.0;0.956834097336;1.07994752155;1.3817350552,1882.0 28.0 109536;4384.0 185.0 109510;2575.0 91.0 109542;4542.0 98.0 109543;5458.0 249.0 109544;1506.0 21.0 109545;3339.0 92.0 109546;3150.0 168.0 109547;11123.0 183.0 109548;15766.0 315.0 109550;4773.0 131.0 109552;7718.0 344.0 109524;5906.0 351.0 109525;1608.0 79.0 109417;4638.0 134.0 109529;13960.0 574.0 109530;6978.0 245.0 109531;2486.0 42.0 109533;3866.0 209.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1070;109510 1074;109542 1094;109543 1001;109544 1103;109545 1100;109546 1042;109547 1072;109548 1019;109550 1072;109552 1074;109524 1084;109525 1067;109417 1057;109529 999;109530 1034;109531 1003;109533 1032;109534 1003
data,1241256900,230119.0;9408.0;220839.0;8644.0;217080.0;9585.0;231890.0;13097.0;0.957401614847;1.08000924639;1.38148119092,1897.0 28.0 109536;4564.0 190.0 109510;2596.0 93.0 109542;4562.0 99.0 109543;5608.0 252.0 109544;1519.0 21.0 109545;3361.0 92.0 109546;3163.0 168.0 109547;11136.0 183.0 109548;15783.0 315.0 109550;5020.0 139.0 109552;7734.0 345.0 109524;6033.0 352.0 109525;1634.0 79.0 109417;4651.0 134.0 109529;14047.0 576.0 109530;6995.0 245.0 109531;2507.0 42.0 109533;3881.0 209.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1031;109510 1041;109542 1059;109543 1103;109544 1042;109545 1028;109546 1009;109547 1052;109548 1064;109550 1080;109552 1016;109524 1050;109525 1096;109417 1072;109529 1067;109530 1067;109531 1011;109533 1070;109534 1042
