
New Run at  01/29/2015 12:33:13
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241853000,1808213.0;65512.0;1808964.0;69283.0;1714645.0;76241.0;1818950.0;96327.0;1.0571229215;1.2272784142;1.46169244697,5053.0 125.0 109697;1263.0 47.0 109711;351.0 3.0 109714;2536.0 73.0 109720;2263.0 119.0 109721;2188.0 80.0 109722;2020.0 31.0 109723;1560.0 54.0 109725;1576.0 42.0 109726;1642.0 53.0 109728;1236.0 44.0 109732;797.0 36.0 109734;1149.0 33.0 109735;881.0 37.0 109737;864.0 46.0 109742;776.0 28.0 109743;772.0 9.0 109744;753.0 19.0 109745;719.0 41.0 109746;602.0 19.0 109747;567.0 17.0 109748;432.0 19.0 109749;48087.0 887.0 109667,109697.0 16937;109711.0 16937;109714.0 16937;109720.0 16937;109721.0 16937;109722.0 16937;109723.0 16937;109725.0 9058;109726.0 16937;109728.0 16937;109732.0 9058;109734.0 16937;109735.0 16937;109737.0 16352;109742.0 16937;109743.0 16937;109744.0 16937;109745.0 16937;109746.0 16937;109747.0 16937;109748.0 16937;109749.0 16937;109667.0 16937,109697 768;109711 766;109714 797;109720 774;109721 761;109722 821;109723 767;109725 403;109726 762;109728 783;109732 427;109734 774;109735 741;109737 425;109742 841;109743 796;109744 783;109745 783;109746 757;109747 792;109748 839;109749 769;109667 808
data,1241853600,1809269.0;65535.0;1809984.0;69296.0;1715620.0;76264.0;1820028.0;96357.0;1.05697147972;1.2272366539;1.46162189138,1659.0 53.0 109728;5062.0 125.0 109697;48827.0 894.0 109667;812.0 38.0 109734;1162.0 33.0 109735;1273.0 47.0 109711;376.0 3.0 109714;883.0 47.0 109742;785.0 28.0 109743;775.0 9.0 109744;767.0 19.0 109745;732.0 41.0 109746;620.0 20.0 109747;590.0 17.0 109748;448.0 20.0 109749;2556.0 74.0 109720;2273.0 119.0 109721;2201.0 80.0 109722;2038.0 31.0 109723;1591.0 42.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109744.0 13881;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1011;109697 1028;109667 1033;109734 1059;109735 1003;109711 1002;109714 1077;109742 1095;109743 1009;109744 413;109745 990;109746 1027;109747 1109;109748 1027;109749 1022;109720 1045;109721 1063;109722 987;109723 976;109726 1024
data,1241854500,1810368.0;65560.0;1811063.0;69315.0;1716685.0;76292.0;1821069.0;96389.0;1.05687004566;1.22720271454;1.46160154272,1677.0 53.0 109728;5086.0 125.0 109697;2049.0 31.0 109723;634.0 20.0 109747;830.0 41.0 109734;1181.0 33.0 109735;392.0 3.0 109714;895.0 47.0 109742;1290.0 47.0 109711;784.0 22.0 109745;750.0 41.0 109746;49617.0 905.0 109667;607.0 17.0 109748;463.0 21.0 109749;2569.0 74.0 109720;2287.0 119.0 109721;2219.0 80.0 109722;800.0 28.0 109743;1604.0 43.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1029;109697 1089;109723 1050;109747 989;109734 1065;109735 1080;109714 993;109742 1058;109711 1070;109745 1041;109746 1014;109667 1067;109748 1097;109749 1086;109720 1115;109721 1030;109722 1054;109743 1005;109726 1068
data,1241855400,1811414.0;65577.0;1812131.0;69331.0;1717787.0;76320.0;1822099.0;96417.0;1.05682736368;1.22725617274;1.46166490572,1695.0 53.0 109728;5101.0 125.0 109697;50385.0 916.0 109667;819.0 29.0 109743;850.0 42.0 109734;1192.0 33.0 109735;408.0 3.0 109714;914.0 47.0 109742;1308.0 47.0 109711;802.0 22.0 109745;770.0 41.0 109746;651.0 20.0 109747;629.0 17.0 109748;476.0 22.0 109749;2588.0 74.0 109720;2306.0 119.0 109721;2231.0 80.0 109722;2058.0 32.0 109723;1619.0 44.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1046;109697 1057;109667 1064;109743 1053;109734 1082;109735 1017;109714 1068;109742 1093;109711 1006;109745 1050;109746 1042;109747 1106;109748 1036;109749 1035;109720 1004;109721 1048;109722 1060;109723 1027;109726 1106
data,1241856300,1812393.0;65590.0;1813183.0;69352.0;1718875.0;76351.0;1823186.0;96450.0;1.05689561641;1.22739734555;1.46179341079,1714.0 53.0 109728;5115.0 125.0 109697;51129.0 932.0 109667;868.0 42.0 109734;1207.0 33.0 109735;1327.0 47.0 109711;420.0 3.0 109714;930.0 47.0 109742;831.0 30.0 109743;821.0 22.0 109745;788.0 41.0 109746;669.0 20.0 109747;644.0 18.0 109748;497.0 22.0 109749;2605.0 74.0 109720;2325.0 121.0 109721;2246.0 80.0 109722;2070.0 33.0 109723;1648.0 44.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 985;109697 1081;109667 1057;109734 1048;109735 1055;109711 1089;109714 1042;109742 1075;109743 1075;109745 1012;109746 1043;109747 1092;109748 1063;109749 1022;109720 1061;109721 1078;109722 1029;109723 1045;109726 1048
data,1241857500,1813479.0;65608.0;1814199.0;69365.0;1719983.0;76381.0;1824206.0;96484.0;1.05684476217;1.22748704568;1.4619655943,1734.0 53.0 109728;5136.0 126.0 109697;51862.0 941.0 109667;855.0 30.0 109743;881.0 43.0 109734;1221.0 34.0 109735;436.0 3.0 109714;953.0 48.0 109742;1339.0 47.0 109711;833.0 22.0 109745;803.0 41.0 109746;690.0 20.0 109747;655.0 18.0 109748;511.0 22.0 109749;2611.0 74.0 109720;2346.0 121.0 109721;2254.0 80.0 109722;2087.0 33.0 109723;1663.0 44.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1111;109697 1056;109667 1044;109743 1115;109734 1020;109735 1053;109714 1052;109742 1056;109711 1069;109745 1023;109746 1056;109747 1050;109748 1098;109749 1021;109720 1013;109721 1056;109722 1062;109723 1053;109726 992
data,1241858400,1814534.0;65625.0;1815237.0;69376.0;1721037.0;76401.0;1825240.0;96505.0;1.05674868195;1.227452316;1.46192681183,1757.0 54.0 109728;5146.0 126.0 109697;52604.0 949.0 109667;901.0 43.0 109734;1245.0 34.0 109735;447.0 3.0 109714;871.0 30.0 109743;970.0 48.0 109742;1355.0 48.0 109711;846.0 22.0 109745;820.0 42.0 109746;706.0 20.0 109747;671.0 18.0 109748;526.0 22.0 109749;2635.0 74.0 109720;2361.0 121.0 109721;2267.0 80.0 109722;2100.0 33.0 109723;1680.0 44.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1010;109697 1061;109667 1016;109734 1079;109735 1044;109714 1030;109743 1079;109742 1033;109711 1040;109745 1121;109746 1070;109747 1082;109748 1041;109749 1052;109720 1042;109721 1027;109722 1025;109723 1056;109726 1092
data,1241859300,1815568.0;65652.0;1816302.0;69393.0;1722104.0;76441.0;1826308.0;96534.0;1.05655512478;1.2275283841;1.46174238244,1776.0 54.0 109728;5160.0 126.0 109697;53387.0 961.0 109667;918.0 43.0 109734;1264.0 34.0 109735;1369.0 48.0 109711;838.0 43.0 109746;988.0 49.0 109742;890.0 30.0 109743;862.0 22.0 109745;459.0 3.0 109714;716.0 21.0 109747;682.0 18.0 109748;538.0 23.0 109749;2647.0 74.0 109720;2374.0 121.0 109721;2290.0 81.0 109722;2118.0 33.0 109723;1697.0 44.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1049;109697 1062;109667 1080;109734 1049;109735 1035;109711 1047;109746 1056;109742 1068;109743 1056;109745 1077;109714 1051;109747 1004;109748 1045;109749 1062;109720 1087;109721 1049;109722 1063;109723 1067;109726 993
data,1241860500,1816649.0;65677.0;1817354.0;69412.0;1723151.0;76467.0;1827363.0;96563.0;1.05645923592;1.22746306517;1.46165083833,1794.0 54.0 109728;5178.0 126.0 109697;54144.0 974.0 109667;932.0 44.0 109734;1279.0 34.0 109735;1387.0 48.0 109711;853.0 43.0 109746;1002.0 49.0 109742;908.0 31.0 109743;874.0 22.0 109745;474.0 3.0 109714;736.0 21.0 109747;703.0 19.0 109748;552.0 24.0 109749;2665.0 75.0 109720;2386.0 121.0 109721;2307.0 81.0 109722;2132.0 33.0 109723;1719.0 45.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1070;109697 1054;109667 1054;109734 1083;109735 1038;109711 1067;109746 1047;109742 1073;109743 1054;109745 1115;109714 1026;109747 1044;109748 1020;109749 1092;109720 1063;109721 1030;109722 970;109723 1065;109726 1035
data,1241861400,1817730.0;65694.0;1818390.0;69432.0;1724206.0;76489.0;1828429.0;96579.0;1.05651656269;1.22747738604;1.46153181027,1807.0 54.0 109728;5194.0 126.0 109697;54901.0 991.0 109667;942.0 45.0 109734;1294.0 34.0 109735;1404.0 49.0 109711;868.0 43.0 109746;1024.0 49.0 109742;920.0 31.0 109743;897.0 22.0 109745;484.0 3.0 109714;749.0 21.0 109747;721.0 19.0 109748;572.0 25.0 109749;2678.0 75.0 109720;2403.0 121.0 109721;2321.0 81.0 109722;2143.0 33.0 109723;1739.0 45.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1033;109697 1062;109667 1044;109734 1056;109735 1090;109711 1063;109746 1091;109742 1014;109743 1033;109745 1016;109714 1094;109747 1039;109748 1088;109749 1057;109720 1043;109721 1071;109722 1010;109723 1070;109726 1026
