
New Run at  01/29/2015 09:45:42
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241679900,1342803.0;49220.0;1347908.0;63142.0;1276348.0;56178.0;1352883.0;71080.0;1.27799388697;1.200792219;1.43336855593,689.0 25.0 109680;1605.0 67.0 109666;1727.0 48.0 109667;1666.0 54.0 109668;1563.0 104.0 109670;2252.0 30.0 109660;1131.0 34.0 109674;895.0 59.0 109676;806.0 14.0 109678;661.0 29.0 109679;1159.0 17.0 109648;551.0 19.0 109681;420.0 15.0 109682;8529.0 354.0 109635;49240.0 1747.0 109652;3206.0 96.0 109656;257.0 9.0 109683;6265.0 137.0 109628;2253.0 89.0 109661;2251.0 107.0 109663,109648.0 14595;109666.0 14595;109635.0 14595;109668.0 14595;109670.0 14595;109628.0 14595;109674.0 14595;109676.0 14595;109678.0 14595;109679.0 14595;109680.0 14595;109681.0 14595;109682.0 14595;109683.0 14595;109652.0 14595;109656.0 14595;109667.0 14595;109660.0 14595;109661.0 14595;109663.0 14595,109680 783;109666 751;109667 741;109668 696;109670 734;109660 728;109674 757;109676 744;109678 737;109679 746;109648 738;109681 686;109682 698;109635 710;109652 747;109656 657;109683 747;109628 755;109661 713;109663 727
data,1241680500,1343769.0;49249.0;1348926.0;63158.0;1277417.0;56199.0;1353828.0;71099.0;1.27751922574;1.20039201462;1.43293734667,773.0 29.0 109680;1707.0 67.0 109666;1755.0 49.0 109667;1713.0 54.0 109668;1639.0 109.0 109670;6307.0 139.0 109628;1175.0 34.0 109674;928.0 59.0 109676;851.0 15.0 109678;698.0 29.0 109679;1204.0 17.0 109648;586.0 19.0 109681;468.0 15.0 109682;309.0 10.0 109683;49305.0 1748.0 109652;8570.0 354.0 109635;3240.0 96.0 109656;2284.0 30.0 109660;2300.0 89.0 109661;2332.0 108.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 982;109666 1038;109667 989;109668 987;109670 973;109628 993;109674 999;109676 973;109678 1022;109679 987;109648 1044;109681 957;109682 960;109683 1014;109652 1019;109635 1047;109656 982;109660 978;109661 967;109663 1089
data,1241681400,1344736.0;49265.0;1349867.0;63183.0;1278396.0;56220.0;1354826.0;71118.0;1.27763796076;1.20039446049;1.43282963956,871.0 30.0 109680;1796.0 70.0 109666;1782.0 49.0 109667;1752.0 55.0 109668;1747.0 114.0 109670;6368.0 142.0 109628;1199.0 34.0 109674;959.0 59.0 109676;884.0 15.0 109678;728.0 30.0 109679;1231.0 17.0 109648;605.0 19.0 109681;502.0 17.0 109682;8595.0 355.0 109635;49364.0 1749.0 109652;3282.0 97.0 109656;358.0 11.0 109683;2314.0 30.0 109660;2339.0 92.0 109661;2409.0 110.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1002;109666 985;109667 982;109668 965;109670 1033;109628 1063;109674 1053;109676 1010;109678 974;109679 977;109648 1019;109681 1026;109682 943;109635 981;109652 965;109656 1024;109683 1015;109660 1043;109661 946;109663 994
data,1241682000,1345707.0;49283.0;1350867.0;63211.0;1279417.0;56246.0;1355837.0;71146.0;1.27771338142;1.20041910926;1.43283565946,1246.0 17.0 109648;1874.0 72.0 109666;8633.0 356.0 109635;1777.0 55.0 109668;1943.0 127.0 109670;6433.0 142.0 109628;1222.0 36.0 109674;986.0 60.0 109676;911.0 15.0 109678;752.0 31.0 109679;936.0 31.0 109680;627.0 19.0 109681;536.0 17.0 109682;1815.0 49.0 109667;49404.0 1749.0 109652;3323.0 97.0 109656;441.0 15.0 109683;2330.0 31.0 109660;2408.0 92.0 109661;2488.0 112.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1049;109666 970;109635 1049;109668 985;109670 1023;109628 1002;109674 966;109676 949;109678 996;109679 979;109680 929;109681 1027;109682 1008;109667 1023;109652 1019;109656 1032;109683 1012;109660 962;109661 1000;109663 1020
data,1241682900,1346764.0;49304.0;1351918.0;63256.0;1280425.0;56260.0;1356837.0;71175.0;1.27808788876;1.20020360502;1.43287776007,1270.0 18.0 109648;1946.0 75.0 109666;8656.0 356.0 109635;1806.0 55.0 109668;2265.0 148.0 109670;2348.0 31.0 109660;1259.0 37.0 109674;1026.0 63.0 109676;948.0 15.0 109678;785.0 31.0 109679;999.0 35.0 109680;657.0 20.0 109681;563.0 17.0 109682;1838.0 49.0 109667;49441.0 1751.0 109652;3352.0 98.0 109656;496.0 17.0 109683;6481.0 145.0 109628;2461.0 95.0 109661;2539.0 112.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 998;109666 1003;109635 999;109668 973;109670 1030;109660 968;109674 978;109676 935;109678 1005;109679 1053;109680 1012;109681 1024;109682 953;109667 1007;109652 1019;109656 1044;109683 927;109628 1040;109661 1025;109663 1007
data,1241683500,1347759.0;49322.0;1352977.0;63284.0;1281345.0;56274.0;1357816.0;71201.0;1.27813012108;1.2000884872;1.43290280575,1299.0 18.0 109648;2005.0 75.0 109666;8680.0 356.0 109635;1826.0 55.0 109668;2626.0 166.0 109670;2369.0 31.0 109660;1285.0 37.0 109674;1079.0 65.0 109676;965.0 15.0 109678;810.0 31.0 109679;1069.0 35.0 109680;683.0 21.0 109681;583.0 17.0 109682;1856.0 50.0 109667;49489.0 1754.0 109652;3380.0 99.0 109656;559.0 17.0 109683;6552.0 147.0 109628;2503.0 95.0 109661;2577.0 112.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 990;109666 953;109635 1070;109668 992;109670 1007;109660 971;109674 992;109676 1066;109678 1043;109679 1001;109680 1025;109681 962;109682 1033;109667 1019;109652 896;109656 1023;109683 960;109628 1022;109661 992;109663 983
data,1241684400,1348757.0;49337.0;1353962.0;63320.0;1282324.0;56291.0;1358781.0;71232.0;1.27848431427;1.20005780767;1.43313349509,1322.0 19.0 109648;2046.0 75.0 109666;8695.0 356.0 109635;1847.0 55.0 109668;2990.0 186.0 109670;6602.0 147.0 109628;1329.0 41.0 109674;1140.0 68.0 109676;988.0 15.0 109678;831.0 31.0 109679;1126.0 35.0 109680;714.0 22.0 109681;605.0 18.0 109682;594.0 17.0 109683;49533.0 1754.0 109652;3401.0 99.0 109656;1877.0 51.0 109667;2382.0 31.0 109660;2542.0 96.0 109661;2616.0 116.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 1026;109666 974;109635 973;109668 981;109670 987;109628 989;109674 1019;109676 1028;109678 1018;109679 994;109680 970;109681 1003;109682 990;109683 1017;109652 964;109656 966;109667 991;109660 991;109661 1026;109663 1093
data,1241685300,1349771.0;49364.0;1354969.0;63358.0;1283311.0;56311.0;1359806.0;71269.0;1.27856216807;1.19980611859;1.43308998626,1345.0 19.0 109648;2065.0 75.0 109666;1914.0 53.0 109667;1861.0 55.0 109668;3492.0 214.0 109670;6632.0 147.0 109628;1361.0 41.0 109674;1188.0 71.0 109676;1004.0 15.0 109678;851.0 31.0 109679;1165.0 37.0 109680;734.0 22.0 109681;630.0 19.0 109682;8713.0 356.0 109635;49559.0 1754.0 109652;3425.0 100.0 109656;609.0 17.0 109683;2399.0 31.0 109660;2565.0 96.0 109661;2675.0 117.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109648 972;109666 1052;109667 973;109668 1049;109670 1057;109628 953;109674 1049;109676 975;109678 998;109679 1029;109680 992;109681 1020;109682 960;109635 998;109652 974;109656 1027;109683 984;109660 984;109661 963;109663 991
data,1241686200,1350775.0;49383.0;1355976.0;63388.0;1284328.0;56334.0;1360821.0;71306.0;1.27867622713;1.1997760358;1.43327860059,1185.0 38.0 109680;2095.0 76.0 109666;8727.0 356.0 109635;1895.0 55.0 109668;4031.0 237.0 109670;6646.0 147.0 109628;1396.0 43.0 109674;1243.0 71.0 109676;1019.0 15.0 109678;875.0 31.0 109679;1363.0 19.0 109648;753.0 22.0 109681;650.0 19.0 109682;630.0 17.0 109683;49582.0 1754.0 109652;3451.0 102.0 109656;1937.0 53.0 109667;2411.0 31.0 109660;2599.0 97.0 109661;2706.0 117.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 998;109666 1020;109635 985;109668 982;109670 1020;109628 999;109674 974;109676 982;109678 986;109679 1035;109648 970;109681 971;109682 1049;109683 950;109652 1055;109656 1055;109667 936;109660 1033;109661 988;109663 1012
data,1241686800,1351795.0;49398.0;1356977.0;63433.0;1285333.0;56357.0;1361794.0;71346.0;1.27921703653;1.19986857383;1.43370461459,1209.0 38.0 109680;2118.0 76.0 109666;8753.0 356.0 109635;1922.0 57.0 109668;4593.0 269.0 109670;6665.0 148.0 109628;1426.0 43.0 109674;1286.0 73.0 109676;1030.0 15.0 109678;885.0 31.0 109679;1374.0 20.0 109648;775.0 22.0 109681;681.0 21.0 109682;655.0 18.0 109683;49600.0 1754.0 109652;3466.0 103.0 109656;1954.0 53.0 109667;2425.0 31.0 109660;2620.0 97.0 109661;2758.0 120.0 109663,109648.0 20000;109666.0 20000;109635.0 20000;109668.0 20000;109670.0 20000;109628.0 20000;109674.0 20000;109676.0 20000;109678.0 20000;109679.0 20000;109680.0 20000;109681.0 20000;109682.0 20000;109683.0 20000;109652.0 20000;109656.0 20000;109667.0 20000;109660.0 20000;109661.0 20000;109663.0 20000,109680 1013;109666 1007;109635 1061;109668 960;109670 961;109628 1015;109674 976;109676 1027;109678 1023;109679 985;109648 977;109681 1005;109682 994;109683 1019;109652 1002;109656 965;109667 1003;109660 1001;109661 966;109663 1040
