
New Run at  02/02/2015 01:03:09
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,953.0;34.0;1008.0;29.0;969.0;18.0;973.0;39.0;0.806401727358;0.52067018758;1.1234810471,63.0 5.0 109473;56.0 2.0 109506;48.0 0.0 109508;43.0 1.0 109509;59.0 2.0 109510;41.0 1.0 109511;48.0 0.0 109512;50.0 3.0 109513;46.0 1.0 109514;48.0 1.0 109515;65.0 3.0 109484;46.0 0.0 109453;44.0 1.0 109492;38.0 0.0 109505;34.0 0.0 109494;51.0 3.0 109495;53.0 1.0 109498;48.0 1.0 109501;73.0 2.0 109502;54.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1964.0;64.0;2018.0;64.0;1908.0;53.0;2044.0;75.0;0.973240832507;0.852430555556;1.12600905088,125.0 8.0 109473;105.0 3.0 109506;122.0 7.0 109508;92.0 3.0 109509;122.0 6.0 109510;59.0 0.0 109505;76.0 0.0 109512;110.0 4.0 109513;91.0 3.0 109514;86.0 1.0 109515;165.0 10.0 109484;74.0 0.0 109453;15.0 0.0 109519;81.0 1.0 109492;65.0 0.0 109494;107.0 4.0 109495;77.0 2.0 109511;99.0 2.0 109498;102.0 3.0 109501;122.0 3.0 109502;123.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2980.0;84.0;3007.0;98.0;2865.0;87.0;3063.0;107.0;1.15619110963;1.07728745949;1.23929232156,217.0 12.0 109473;140.0 3.0 109506;227.0 13.0 109508;127.0 4.0 109509;208.0 14.0 109510;110.0 3.0 109511;94.0 0.0 109512;147.0 4.0 109513;138.0 5.0 109514;112.0 1.0 109515;291.0 15.0 109484;96.0 0.0 109453;45.0 0.0 109519;109.0 1.0 109492;88.0 0.0 109494;142.0 4.0 109495;139.0 3.0 109498;136.0 4.0 109501;191.0 6.0 109502;191.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3957.0;111.0;3993.0;128.0;3851.0;104.0;4063.0;140.0;1.14275658077;0.962726424165;1.22835609422,302.0 14.0 109473;161.0 3.0 109506;345.0 16.0 109508;154.0 4.0 109509;344.0 18.0 109510;150.0 4.0 109511;116.0 1.0 109512;195.0 7.0 109513;218.0 8.0 109514;145.0 1.0 109515;416.0 20.0 109484;113.0 3.0 109453;62.0 0.0 109519;120.0 1.0 109492;100.0 0.0 109494;170.0 4.0 109495;182.0 4.0 109498;171.0 5.0 109501;222.0 6.0 109502;248.0 9.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4937.0;134.0;5036.0;156.0;4839.0;125.0;5045.0;165.0;1.14129313717;0.951727722207;1.20498350665,395.0 16.0 109473;196.0 5.0 109506;467.0 18.0 109508;172.0 4.0 109509;444.0 18.0 109510;188.0 5.0 109511;133.0 1.0 109512;253.0 10.0 109513;274.0 9.0 109514;165.0 2.0 109515;539.0 22.0 109484;173.0 5.0 109453;89.0 1.0 109519;131.0 2.0 109492;122.0 0.0 109494;191.0 4.0 109495;216.0 5.0 109498;209.0 6.0 109501;295.0 13.0 109502;325.0 10.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5932.0;160.0;5974.0;186.0;5823.0;146.0;6099.0;200.0;1.15432708403;0.929580972008;1.21577307755,480.0 18.0 109473;233.0 6.0 109506;554.0 22.0 109508;209.0 6.0 109509;547.0 26.0 109510;236.0 7.0 109511;159.0 3.0 109512;321.0 12.0 109513;314.0 10.0 109514;185.0 2.0 109515;629.0 23.0 109484;202.0 5.0 109453;109.0 1.0 109519;152.0 3.0 109492;136.0 0.0 109494;206.0 4.0 109495;248.0 5.0 109498;241.0 6.0 109501;377.0 14.0 109502;377.0 13.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6930.0;184.0;6966.0;221.0;6789.0;161.0;7125.0;242.0;1.19487978879;0.893172779496;1.27922196796,557.0 20.0 109473;264.0 7.0 109506;666.0 26.0 109508;242.0 6.0 109509;725.0 36.0 109510;281.0 7.0 109511;185.0 4.0 109512;372.0 15.0 109513;363.0 10.0 109514;205.0 2.0 109515;681.0 28.0 109484;239.0 6.0 109453;137.0 2.0 109519;174.0 3.0 109492;147.0 0.0 109494;223.0 5.0 109495;272.0 6.0 109498;266.0 6.0 109501;435.0 14.0 109502;473.0 18.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7960.0;209.0;7928.0;249.0;7780.0;202.0;8116.0;279.0;1.19619638952;0.988868525602;1.30926918533,604.0 20.0 109473;293.0 8.0 109506;772.0 30.0 109508;258.0 6.0 109509;886.0 38.0 109510;303.0 7.0 109511;217.0 5.0 109512;441.0 16.0 109513;399.0 12.0 109514;226.0 4.0 109515;825.0 36.0 109484;271.0 7.0 109453;146.0 3.0 109519;199.0 3.0 109492;162.0 0.0 109494;236.0 5.0 109495;299.0 7.0 109498;290.0 8.0 109501;470.0 14.0 109502;572.0 20.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8933.0;243.0;8939.0;283.0;8777.0;233.0;9125.0;312.0;1.16382734924;0.975890034326;1.25693488923,678.0 25.0 109473;319.0 9.0 109506;885.0 33.0 109508;281.0 6.0 109509;1030.0 46.0 109510;320.0 7.0 109511;246.0 6.0 109512;513.0 19.0 109513;461.0 15.0 109514;248.0 4.0 109515;956.0 38.0 109484;294.0 7.0 109453;160.0 3.0 109519;212.0 3.0 109492;172.0 0.0 109494;263.0 5.0 109495;337.0 8.0 109498;338.0 10.0 109501;526.0 18.0 109502;641.0 21.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9927.0;273.0;9984.0;314.0;9779.0;263.0;10093.0;353.0;1.14361659975;0.97795005894;1.27177360438,735.0 25.0 109473;354.0 10.0 109506;1030.0 41.0 109508;302.0 6.0 109509;1238.0 55.0 109510;349.0 7.0 109511;272.0 6.0 109512;573.0 20.0 109513;520.0 18.0 109514;262.0 4.0 109515;1062.0 40.0 109484;321.0 7.0 109453;171.0 3.0 109519;230.0 3.0 109492;184.0 1.0 109494;277.0 6.0 109495;376.0 9.0 109498;389.0 11.0 109501;589.0 20.0 109502;691.0 22.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
