data,1241262000,236205.0;9485.0;236643.0;11402.0;219391.0;8701.0;235228.0;12775.0;1.19988362257;0.987647826394;1.35245755441,2101.0 23.0 109536;4615.0 150.0 109542;11836.0 520.0 109510;1603.0 24.0 109543;4060.0 160.0 109544;5161.0 217.0 109417;1866.0 46.0 109546;3274.0 124.0 109547;1244.0 18.0 109548;894.0 13.0 109550;719.0 13.0 109552;7940.0 358.0 109524;12142.0 636.0 109525;1395.0 23.0 109545;3253.0 80.0 109529;4448.0 165.0 109530;2398.0 63.0 109531;2585.0 47.0 109533;6310.0 296.0 109534,109536.0 8635;109542.0 8635;109510.0 8635;109543.0 8635;109544.0 8635;109417.0 8635;109546.0 8635;109547.0 8635;109548.0 8635;109550.0 8635;109552.0 8635;109524.0 8635;109525.0 8635;109545.0 8635;109529.0 8635;109530.0 8635;109531.0 8635;109533.0 8635;109534.0 8635,109536 434;109542 463;109510 467;109543 444;109544 467;109417 457;109546 464;109547 434;109548 429;109550 497;109552 481;109524 476;109525 457;109545 448;109529 412;109530 448;109531 461;109533 458;109534 438
data,1241262300,236804.0;9499.0;237277.0;11419.0;219987.0;8709.0;235830.0;12791.0;1.19973015965;0.986921067252;1.35212422662,2132.0 23.0 109536;4642.0 150.0 109542;11857.0 520.0 109510;1637.0 24.0 109543;4102.0 163.0 109544;5195.0 217.0 109417;1895.0 46.0 109546;3319.0 126.0 109547;1268.0 18.0 109548;931.0 13.0 109550;756.0 16.0 109552;7973.0 359.0 109524;12178.0 638.0 109525;1431.0 24.0 109545;3296.0 82.0 109529;4475.0 165.0 109530;2428.0 63.0 109531;2615.0 48.0 109533;6348.0 298.0 109534,109536.0 11365;109542.0 11365;109510.0 11365;109543.0 11365;109544.0 11365;109417.0 11365;109546.0 11365;109547.0 11365;109548.0 11365;109550.0 11365;109552.0 11365;109524.0 11365;109525.0 11365;109545.0 11365;109529.0 11365;109530.0 11365;109531.0 11365;109533.0 11365;109534.0 11365,109536 598;109542 565;109510 616;109543 580;109544 586;109417 586;109546 574;109547 568;109548 619;109550 611;109552 594;109524 624;109525 587;109545 559;109529 600;109530 616;109531 635;109533 619;109534 628
data,1241263200,237869.0;9530.0;238327.0;11445.0;221055.0;8733.0;236880.0;12821.0;1.19863649603;0.986070721196;1.3509474378,2174.0 23.0 109536;11902.0 520.0 109510;4680.0 150.0 109542;1688.0 27.0 109543;4174.0 163.0 109544;5260.0 219.0 109417;1938.0 47.0 109546;3398.0 129.0 109547;1322.0 20.0 109548;958.0 13.0 109550;820.0 17.0 109552;8017.0 360.0 109524;12249.0 639.0 109525;1475.0 24.0 109545;3346.0 82.0 109529;4524.0 167.0 109530;2461.0 63.0 109531;2682.0 49.0 109533;6460.0 307.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1056;109510 1055;109542 1033;109543 982;109544 1051;109417 1038;109546 1017;109547 1013;109548 1039;109550 1087;109552 1068;109524 1022;109525 1069;109545 1081;109529 1059;109530 1116;109531 1098;109533 1076;109534 1040
data,1241263800,238872.0;9555.0;239322.0;11463.0;222094.0;8772.0;237939.0;12861.0;1.19743024436;0.987407340315;1.35127474693,2201.0 23.0 109536;11939.0 521.0 109510;4718.0 152.0 109542;1736.0 27.0 109543;4220.0 163.0 109544;1508.0 25.0 109545;1979.0 48.0 109546;3483.0 130.0 109547;1376.0 20.0 109548;999.0 14.0 109550;861.0 17.0 109552;8083.0 361.0 109524;12290.0 639.0 109525;5316.0 221.0 109417;3390.0 82.0 109529;4582.0 168.0 109530;2498.0 66.0 109531;2728.0 49.0 109533;6616.0 311.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1061;109510 1107;109542 999;109543 1057;109544 1001;109545 1075;109546 1015;109547 1093;109548 1070;109550 1080;109552 1008;109524 1037;109525 1067;109417 1021;109529 1068;109530 1035;109531 1063;109533 1094;109534 1049
data,1241264400,239922.0;9583.0;240381.0;11489.0;223154.0;8799.0;238996.0;12905.0;1.19660462422;0.987181997164;1.35187320905,2227.0 23.0 109536;4769.0 153.0 109542;11971.0 521.0 109510;1794.0 27.0 109543;4274.0 165.0 109544;5393.0 224.0 109417;2043.0 51.0 109546;3547.0 131.0 109547;1430.0 21.0 109548;1026.0 14.0 109550;907.0 18.0 109552;8122.0 361.0 109524;12379.0 645.0 109525;1547.0 25.0 109545;3423.0 82.0 109529;4629.0 169.0 109530;2556.0 66.0 109531;2757.0 49.0 109533;6788.0 318.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1043;109542 1109;109510 1050;109543 1077;109544 1048;109417 1061;109546 1050;109547 1068;109548 1042;109550 1016;109552 1057;109524 1111;109525 1047;109545 1026;109529 1024;109530 998;109531 1017;109533 1089;109534 1067
data,1241265000,240984.0;9620.0;241433.0;11522.0;224208.0;8827.0;240037.0;12947.0;1.19548567569;0.986223072784;1.35115164548,2244.0 24.0 109536;4834.0 158.0 109542;12001.0 522.0 109510;1830.0 27.0 109543;4322.0 166.0 109544;1570.0 25.0 109545;2088.0 51.0 109546;3602.0 132.0 109547;1465.0 21.0 109548;1060.0 14.0 109550;956.0 18.0 109552;8147.0 361.0 109524;12503.0 650.0 109525;5512.0 231.0 109417;3447.0 82.0 109529;4688.0 171.0 109530;2615.0 68.0 109531;2791.0 50.0 109533;6959.0 325.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1032;109542 983;109510 1096;109543 1054;109544 1025;109545 1048;109546 1064;109547 1083;109548 1074;109550 998;109552 1111;109524 1088;109525 1061;109417 1087;109529 1014;109530 1080;109531 1059;109533 993;109534 1050
data,1241265600,242062.0;9650.0;242501.0;11562.0;225225.0;8851.0;241153.0;12989.0;1.19596572958;0.985768756057;1.35108400233,2269.0 24.0 109536;4904.0 159.0 109542;12025.0 524.0 109510;1854.0 27.0 109543;4382.0 169.0 109544;1596.0 26.0 109545;2135.0 53.0 109546;3642.0 133.0 109547;1490.0 22.0 109548;1085.0 14.0 109550;981.0 18.0 109552;8171.0 363.0 109524;12655.0 660.0 109525;5644.0 237.0 109417;3458.0 82.0 109529;4753.0 172.0 109530;2671.0 69.0 109531;2812.0 51.0 109533;7175.0 333.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1075;109542 1017;109510 1022;109543 1110;109544 1073;109545 1042;109546 1087;109547 1017;109548 992;109550 1119;109552 1074;109524 1002;109525 1106;109417 1048;109529 1040;109530 1066;109531 1052;109533 1027;109534 1031
data,1241266200,243125.0;9683.0;243526.0;11590.0;226249.0;8880.0;242187.0;13020.0;1.19497216006;0.98547584614;1.34983238502,2288.0 24.0 109536;4972.0 160.0 109542;12107.0 533.0 109510;1869.0 27.0 109543;4436.0 171.0 109544;1622.0 26.0 109545;2172.0 54.0 109546;3670.0 134.0 109547;1515.0 22.0 109548;1105.0 14.0 109550;1003.0 18.0 109552;8214.0 363.0 109524;12777.0 661.0 109525;5781.0 241.0 109417;3481.0 83.0 109529;4790.0 172.0 109530;2735.0 73.0 109531;2838.0 51.0 109533;7352.0 337.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1086;109542 1034;109510 1070;109543 988;109544 1047;109545 1028;109546 1018;109547 1071;109548 1080;109550 1083;109552 1059;109524 1056;109525 1036;109417 1082;109529 1043;109530 1025;109531 1103;109533 1053;109534 1038
data,1241266800,244180.0;9711.0;244604.0;11630.0;227298.0;8915.0;243276.0;13064.0;1.19553500104;0.986215601078;1.3502775299,2301.0 24.0 109536;12239.0 539.0 109510;5006.0 160.0 109542;1890.0 27.0 109543;4486.0 172.0 109544;5968.0 249.0 109417;2233.0 58.0 109546;3726.0 137.0 109547;1533.0 22.0 109548;1120.0 15.0 109550;1023.0 19.0 109552;8244.0 364.0 109524;12910.0 669.0 109525;1640.0 26.0 109545;3500.0 83.0 109529;4838.0 175.0 109530;2803.0 75.0 109531;2863.0 51.0 109533;7482.0 339.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1034;109510 1069;109542 1081;109543 1008;109544 1027;109417 1080;109546 1101;109547 1063;109548 994;109550 1079;109552 1080;109524 1063;109525 1037;109545 1013;109529 1050;109530 1054;109531 1008;109533 1076;109534 1083
data,1241267400,245219.0;9746.0;245646.0;11679.0;228348.0;8955.0;244319.0;13119.0;1.19625474046;0.986724900604;1.35104930977,2316.0 24.0 109536;12434.0 556.0 109510;5028.0 160.0 109542;1906.0 28.0 109543;4553.0 177.0 109544;6079.0 254.0 109417;2287.0 58.0 109546;3806.0 141.0 109547;1557.0 22.0 109548;1142.0 15.0 109550;1033.0 19.0 109552;8266.0 364.0 109524;13063.0 680.0 109525;1666.0 27.0 109545;3521.0 83.0 109529;4879.0 176.0 109530;2848.0 75.0 109531;2883.0 51.0 109533;7580.0 343.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1040;109510 1075;109542 1018;109543 1070;109544 1091;109417 1018;109546 1016;109547 1083;109548 1047;109550 1000;109552 1077;109524 1110;109525 1010;109545 1003;109529 1098;109530 1098;109531 1013;109533 1099;109534 1034
data,1241267700,246369.0;9787.0;246716.0;11724.0;229429.0;8989.0;245402.0;13167.0;1.19623076343;0.986278442461;1.35065742417,2335.0 24.0 109536;5051.0 162.0 109542;12658.0 565.0 109510;1931.0 28.0 109543;4672.0 185.0 109544;6208.0 263.0 109417;2314.0 58.0 109546;3862.0 143.0 109547;1567.0 22.0 109548;1157.0 15.0 109550;1054.0 19.0 109552;8282.0 364.0 109524;13252.0 688.0 109525;1678.0 27.0 109545;3541.0 83.0 109529;4917.0 177.0 109530;2880.0 77.0 109531;2903.0 52.0 109533;7655.0 346.0 109534,109536.0 20000;109542.0 20000;109510.0 20000;109543.0 20000;109544.0 20000;109417.0 20000;109546.0 20000;109547.0 20000;109548.0 20000;109550.0 20000;109552.0 20000;109524.0 20000;109525.0 20000;109545.0 20000;109529.0 20000;109530.0 20000;109531.0 20000;109533.0 20000;109534.0 20000,109536 1032;109542 1084;109510 1054;109543 1080;109544 1058;109417 1063;109546 1068;109547 1043;109548 1059;109550 1065;109552 1059;109524 1087;109525 1076;109545 1043;109529 1052;109530 1033;109531 1046;109533 1052;109534 946
