data,1241298600,324694.0;12242.0;325972.0;14575.0;301769.0;11255.0;324519.0;16438.0;1.18590569477;0.989219716516;1.34347854517,4215.0 55.0 109536;1929.0 74.0 109476;759.0 23.0 109541;10341.0 368.0 109542;7740.0 287.0 109544;4086.0 84.0 109545;79.0 0.0 109561;10430.0 413.0 109547;2138.0 71.0 109518;3600.0 157.0 109551;1949.0 59.0 109553;2173.0 69.0 109554;2526.0 88.0 109555;11915.0 499.0 109524;1049.0 31.0 109557;595.0 22.0 109558;415.0 3.0 109559;555.0 18.0 109560;3572.0 149.0 109556;73.0 1.0 109562;78.0 3.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,325218.0;12264.0;326498.0;14589.0;302296.0;11273.0;325054.0;16457.0;1.1849156399;0.988893538633;1.34257200553,4227.0 55.0 109536;1951.0 75.0 109476;781.0 24.0 109541;10368.0 368.0 109542;7778.0 289.0 109544;4111.0 84.0 109545;97.0 0.0 109561;10458.0 415.0 109547;2149.0 72.0 109518;3625.0 157.0 109551;1990.0 61.0 109553;2199.0 69.0 109554;2544.0 88.0 109555;11934.0 499.0 109524;1078.0 31.0 109557;624.0 22.0 109558;441.0 3.0 109559;581.0 18.0 109560;3594.0 151.0 109556;94.0 1.0 109562;119.0 6.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,326137.0;12287.0;327440.0;14615.0;303235.0;11298.0;326040.0;16492.0;1.1847352264;0.98895483281;1.34263095359,4265.0 55.0 109536;2010.0 78.0 109476;821.0 25.0 109541;10401.0 369.0 109542;7835.0 290.0 109544;4152.0 86.0 109545;10521.0 418.0 109547;2187.0 73.0 109518;3662.0 158.0 109551;2036.0 62.0 109553;2234.0 69.0 109554;2575.0 88.0 109555;3661.0 153.0 109556;1116.0 32.0 109557;668.0 24.0 109558;494.0 4.0 109559;619.0 19.0 109560;125.0 0.0 109561;149.0 5.0 109562;187.0 7.0 109563;11967.0 499.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,327091.0;12317.0;328432.0;14649.0;304191.0;11335.0;327026.0;16530.0;1.18447573202;0.989552446864;1.34231432318,4292.0 56.0 109536;2092.0 81.0 109476;856.0 25.0 109541;10427.0 369.0 109542;7905.0 294.0 109544;4203.0 88.0 109545;158.0 1.0 109561;10590.0 420.0 109547;2240.0 77.0 109518;3702.0 160.0 109551;2078.0 62.0 109553;2259.0 69.0 109554;2591.0 89.0 109555;3762.0 157.0 109556;1165.0 35.0 109557;722.0 25.0 109558;529.0 4.0 109559;667.0 21.0 109560;11994.0 502.0 109524;210.0 6.0 109562;235.0 7.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,328050.0;12346.0;329383.0;14689.0;305163.0;11360.0;327952.0;16560.0;1.1849630809;0.98914560377;1.34172594598,4314.0 56.0 109536;2147.0 82.0 109476;893.0 26.0 109541;10458.0 373.0 109542;8015.0 300.0 109544;4249.0 88.0 109545;10666.0 428.0 109547;2303.0 79.0 109518;3735.0 161.0 109551;2126.0 63.0 109553;2277.0 70.0 109554;2621.0 91.0 109555;3834.0 161.0 109556;1201.0 36.0 109557;763.0 26.0 109558;556.0 4.0 109559;697.0 22.0 109560;199.0 2.0 109561;259.0 6.0 109562;270.0 8.0 109563;12045.0 506.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,328975.0;12380.0;330308.0;14726.0;306117.0;11390.0;328922.0;16597.0;1.18469881677;0.988731854947;1.34084606744,4330.0 56.0 109536;2202.0 85.0 109476;914.0 26.0 109541;10498.0 373.0 109542;8141.0 309.0 109544;4269.0 88.0 109545;10777.0 433.0 109547;2340.0 81.0 109518;3765.0 162.0 109551;2152.0 63.0 109553;2310.0 72.0 109554;2649.0 92.0 109555;3923.0 167.0 109556;1244.0 38.0 109557;801.0 28.0 109558;588.0 5.0 109559;741.0 23.0 109560;218.0 2.0 109561;288.0 6.0 109562;296.0 8.0 109563;12107.0 508.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,329923.0;12412.0;331200.0;14751.0;307067.0;11420.0;329880.0;16632.0;1.18386439885;0.988561707156;1.34016822336,4346.0 56.0 109536;2278.0 90.0 109476;936.0 26.0 109541;10538.0 374.0 109542;8253.0 312.0 109544;4289.0 88.0 109545;10870.0 434.0 109547;2400.0 83.0 109518;3793.0 164.0 109551;2171.0 63.0 109553;2330.0 73.0 109554;2678.0 92.0 109555;4006.0 169.0 109556;1294.0 40.0 109557;837.0 29.0 109558;612.0 5.0 109559;767.0 23.0 109560;247.0 4.0 109561;310.0 7.0 109562;328.0 9.0 109563;12162.0 509.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,330876.0;12442.0;332152.0;14784.0;308044.0;11451.0;330852.0;16670.0;1.1836686681;0.988566138426;1.33991394001,4364.0 56.0 109536;2379.0 95.0 109476;948.0 26.0 109541;10567.0 375.0 109542;8378.0 319.0 109544;4299.0 88.0 109545;10984.0 440.0 109547;2453.0 84.0 109518;3827.0 164.0 109551;2191.0 63.0 109553;2358.0 73.0 109554;2698.0 92.0 109555;4102.0 171.0 109556;1350.0 44.0 109557;882.0 32.0 109558;274.0 5.0 109561;806.0 24.0 109560;12206.0 510.0 109524;334.0 7.0 109562;364.0 10.0 109563;633.0 5.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,331809.0;12495.0;333100.0;14817.0;308987.0;11479.0;331860.0;16709.0;1.18123838019;0.986542386537;1.33704939361,4388.0 56.0 109536;2496.0 100.0 109476;964.0 26.0 109541;10590.0 375.0 109542;8513.0 321.0 109544;4317.0 89.0 109545;11078.0 442.0 109547;2509.0 88.0 109518;3853.0 164.0 109551;2207.0 63.0 109553;2378.0 73.0 109554;2718.0 94.0 109555;12274.0 515.0 109524;1436.0 50.0 109557;948.0 35.0 109558;651.0 5.0 109559;825.0 25.0 109560;297.0 6.0 109561;349.0 7.0 109562;393.0 11.0 109563;4161.0 171.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,332812.0;12520.0;334067.0;14850.0;309957.0;11507.0;332841.0;16741.0;1.18164636887;0.986859468634;1.33702407177,4408.0 57.0 109536;2594.0 104.0 109476;981.0 27.0 109541;10620.0 376.0 109542;8610.0 326.0 109544;4338.0 89.0 109545;11186.0 445.0 109547;2594.0 92.0 109518;3872.0 164.0 109551;2226.0 64.0 109553;2390.0 73.0 109554;2762.0 97.0 109555;4210.0 174.0 109556;1544.0 55.0 109557;1015.0 35.0 109558;663.0 5.0 109559;858.0 27.0 109560;317.0 6.0 109561;363.0 7.0 109562;422.0 11.0 109563;12339.0 515.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,333768.0;12555.0;335004.0;14877.0;310947.0;11541.0;333766.0;16775.0;1.18057436772;0.986699820561;1.33612907364,4422.0 57.0 109536;2702.0 111.0 109476;999.0 27.0 109541;10643.0 377.0 109542;8733.0 331.0 109544;4356.0 89.0 109545;11251.0 445.0 109547;2671.0 94.0 109518;3897.0 164.0 109551;2238.0 64.0 109553;2413.0 74.0 109554;2823.0 100.0 109555;12384.0 517.0 109524;1655.0 56.0 109557;1056.0 36.0 109558;674.0 5.0 109559;889.0 28.0 109560;341.0 6.0 109561;377.0 7.0 109562;441.0 11.0 109563;4284.0 177.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
