data,1241736600,1516496.0;55913.0;1522480.0;70858.0;1419726.0;53007.0;1523863.0;81494.0;1.26230925976;1.01264486295;1.45046811015,1709.0 68.0 109696;1528.0 38.0 109697;1595.0 56.0 109698;1862.0 99.0 109699;1639.0 72.0 109700;662.0 17.0 109701;468.0 9.0 109702;9317.0 691.0 109703;2502.0 165.0 109704;424.0 13.0 109705;116.0 6.0 109706;22154.0 1034.0 109635;1517.0 59.0 109651;5734.0 57.0 109660;5951.0 143.0 109667;2763.0 112.0 109673;72.0 5.0 109675;5812.0 223.0 109683;3829.0 155.0 109689;2661.0 111.0 109690;15886.0 1269.0 109692;1968.0 61.0 109693,109696.0 1157;109697.0 1157;109698.0 1157;109699.0 1157;109700.0 1157;109701.0 1157;109702.0 1157;109703.0 1157;109704.0 1157;109705.0 1157;109706.0 1157;109635.0 1157;109651.0 1157;109660.0 1157;109667.0 1157;109673.0 1157;109675.0 1157;109683.0 1157;109689.0 1157;109690.0 1157;109692.0 1157;109693.0 1157,109696 51;109697 52;109698 57;109699 56;109700 50;109701 51;109702 62;109703 45;109704 65;109705 64;109706 48;109635 47;109651 51;109660 48;109667 46;109673 52;109675 52;109683 40;109689 51;109690 67;109692 43;109693 59
data,1241736900,1517373.0;55942.0;1523332.0;70883.0;1420565.0;53036.0;1524788.0;81527.0;1.26212360105;1.01266083715;1.45026163802,1742.0 68.0 109696;1557.0 39.0 109697;1646.0 58.0 109698;1916.0 102.0 109699;1677.0 72.0 109700;699.0 17.0 109701;513.0 10.0 109702;9371.0 695.0 109703;2534.0 167.0 109704;466.0 15.0 109705;147.0 6.0 109706;22191.0 1035.0 109635;1548.0 60.0 109651;5772.0 57.0 109660;5987.0 143.0 109667;2800.0 114.0 109673;108.0 7.0 109675;5852.0 224.0 109683;3855.0 155.0 109689;2703.0 111.0 109690;15924.0 1271.0 109692;2013.0 62.0 109693,109696.0 18843;109697.0 18843;109698.0 18843;109699.0 18843;109700.0 18843;109701.0 18843;109702.0 18843;109703.0 18843;109704.0 18843;109705.0 18843;109706.0 18843;109635.0 18843;109651.0 18843;109660.0 18843;109667.0 18843;109673.0 18843;109675.0 18843;109683.0 18843;109689.0 18843;109690.0 18843;109692.0 18843;109693.0 18843,109696 880;109697 836;109698 875;109699 925;109700 834;109701 861;109702 844;109703 841;109704 870;109705 881;109706 893;109635 854;109651 868;109660 816;109667 841;109673 872;109675 797;109683 836;109689 831;109690 865;109692 867;109693 856
data,1241737200,1518316.0;55976.0;1524252.0;70912.0;1421496.0;53069.0;1525685.0;81573.0;1.26189514244;1.01264114622;1.45024663321,1768.0 68.0 109696;1603.0 40.0 109697;1699.0 59.0 109698;1979.0 104.0 109699;1721.0 75.0 109700;725.0 17.0 109701;537.0 10.0 109702;9446.0 699.0 109703;2586.0 170.0 109704;508.0 17.0 109705;171.0 6.0 109706;22243.0 1036.0 109635;1583.0 60.0 109651;5808.0 57.0 109660;6024.0 144.0 109667;2842.0 116.0 109673;152.0 8.0 109675;5892.0 225.0 109683;3887.0 156.0 109689;2728.0 113.0 109690;15975.0 1272.0 109692;2064.0 65.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 968;109697 910;109698 932;109699 879;109700 891;109701 932;109702 878;109703 967;109704 920;109705 883;109706 914;109635 936;109651 929;109660 881;109667 862;109673 911;109675 937;109683 925;109689 921;109690 870;109692 875;109693 879
data,1241737500,1519200.0;56015.0;1525160.0;70939.0;1422409.0;53095.0;1526621.0;81624.0;1.26147970218;1.01237111419;1.45009766383,1795.0 69.0 109696;1635.0 40.0 109697;1740.0 60.0 109698;2022.0 104.0 109699;1774.0 77.0 109700;740.0 18.0 109701;569.0 10.0 109702;9558.0 707.0 109703;2678.0 175.0 109704;551.0 17.0 109705;194.0 6.0 109706;22285.0 1038.0 109635;1609.0 60.0 109651;5827.0 57.0 109660;6063.0 145.0 109667;2873.0 116.0 109673;196.0 9.0 109675;5934.0 226.0 109683;3911.0 157.0 109689;2767.0 114.0 109690;16018.0 1273.0 109692;2110.0 66.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 903;109697 909;109698 951;109699 899;109700 867;109701 917;109702 880;109703 903;109704 962;109705 944;109706 883;109635 859;109651 873;109660 937;109667 930;109673 863;109675 920;109683 937;109689 899;109690 903;109692 936;109693 925
data,1241737800,1520088.0;56046.0;1526070.0;70972.0;1423304.0;53127.0;1527510.0;81669.0;1.26135315278;1.01237574344;1.45009776748,1818.0 69.0 109696;1660.0 40.0 109697;1768.0 61.0 109698;2064.0 105.0 109699;1829.0 79.0 109700;773.0 19.0 109701;586.0 10.0 109702;9712.0 717.0 109703;2786.0 182.0 109704;583.0 18.0 109705;235.0 8.0 109706;22333.0 1041.0 109635;1634.0 61.0 109651;5850.0 57.0 109660;6093.0 145.0 109667;2899.0 116.0 109673;235.0 9.0 109675;5967.0 227.0 109683;3933.0 157.0 109689;2788.0 114.0 109690;16054.0 1273.0 109692;2159.0 69.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 932;109697 887;109698 921;109699 903;109700 831;109701 928;109702 939;109703 900;109704 932;109705 917;109706 934;109635 942;109651 880;109660 856;109667 904;109673 877;109675 914;109683 930;109689 923;109690 932;109692 922;109693 896
data,1241738100,1521003.0;56079.0;1526946.0;71005.0;1424225.0;53161.0;1528406.0;81713.0;1.26123223797;1.01238184151;1.45004750859,1842.0 71.0 109696;1682.0 40.0 109697;1787.0 61.0 109698;2118.0 107.0 109699;1886.0 81.0 109700;802.0 19.0 109701;598.0 10.0 109702;9886.0 726.0 109703;2904.0 186.0 109704;612.0 19.0 109705;255.0 8.0 109706;22383.0 1043.0 109635;1653.0 62.0 109651;5863.0 57.0 109660;6114.0 145.0 109667;2935.0 119.0 109673;265.0 11.0 109675;5995.0 227.0 109683;3953.0 157.0 109689;2818.0 115.0 109690;16073.0 1274.0 109692;2211.0 72.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 918;109697 940;109698 902;109699 939;109700 911;109701 948;109702 913;109703 833;109704 957;109705 898;109706 916;109635 943;109651 838;109660 925;109667 919;109673 922;109675 919;109683 882;109689 901;109690 917;109692 900;109693 859
data,1241738400,1521877.0;56110.0;1527848.0;71039.0;1425140.0;53190.0;1529304.0;81763.0;1.26111872541;1.01230584738;1.45011444411,1865.0 71.0 109696;1697.0 40.0 109697;1807.0 61.0 109698;2157.0 108.0 109699;1943.0 82.0 109700;826.0 19.0 109701;616.0 10.0 109702;10078.0 737.0 109703;3033.0 193.0 109704;639.0 19.0 109705;274.0 8.0 109706;22442.0 1047.0 109635;1674.0 62.0 109651;5876.0 57.0 109660;6130.0 145.0 109667;2974.0 120.0 109673;298.0 12.0 109675;6008.0 227.0 109683;3977.0 158.0 109689;2849.0 116.0 109690;16110.0 1276.0 109692;2264.0 76.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 897;109697 919;109698 927;109699 884;109700 888;109701 929;109702 976;109703 861;109704 891;109705 907;109706 910;109635 898;109651 883;109660 932;109667 875;109673 905;109675 903;109683 889;109689 923;109690 955;109692 915;109693 933
data,1241738700,1522775.0;56140.0;1528782.0;71076.0;1426058.0;53230.0;1530231.0;81807.0;1.26107451154;1.01247103293;1.45009615416,1884.0 71.0 109696;1707.0 40.0 109697;1840.0 62.0 109698;2182.0 109.0 109699;1969.0 83.0 109700;845.0 20.0 109701;632.0 10.0 109702;10338.0 754.0 109703;3154.0 195.0 109704;672.0 21.0 109705;287.0 8.0 109706;22522.0 1050.0 109635;1696.0 63.0 109651;5891.0 57.0 109660;6142.0 145.0 109667;2999.0 120.0 109673;318.0 12.0 109675;6033.0 228.0 109683;3989.0 159.0 109689;2871.0 117.0 109690;16162.0 1279.0 109692;2338.0 78.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 912;109697 923;109698 1008;109699 872;109700 907;109701 863;109702 904;109703 906;109704 963;109705 892;109706 926;109635 921;109651 910;109660 880;109667 844;109673 926;109675 909;109683 909;109689 906;109690 945;109692 899;109693 875
data,1241739000,1523668.0;56169.0;1529716.0;71125.0;1426964.0;53261.0;1531130.0;81849.0;1.26126145848;1.012488162;1.45009002956,1895.0 72.0 109696;1718.0 40.0 109697;1852.0 62.0 109698;2231.0 111.0 109699;2011.0 83.0 109700;867.0 20.0 109701;643.0 10.0 109702;10644.0 773.0 109703;3236.0 197.0 109704;695.0 21.0 109705;305.0 9.0 109706;22582.0 1052.0 109635;1715.0 63.0 109651;5905.0 57.0 109660;6155.0 147.0 109667;3018.0 122.0 109673;333.0 13.0 109675;6055.0 229.0 109683;4008.0 160.0 109689;2893.0 118.0 109690;16247.0 1290.0 109692;2397.0 81.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 908;109697 948;109698 909;109699 925;109700 870;109701 922;109702 907;109703 923;109704 905;109705 892;109706 953;109635 925;109651 932;109660 938;109667 882;109673 963;109675 851;109683 883;109689 849;109690 898;109692 900;109693 917
data,1241739300,1524544.0;56206.0;1530640.0;71168.0;1427917.0;53291.0;1532043.0;81899.0;1.26115651216;1.01229755931;1.44998973652,1905.0 72.0 109696;1728.0 40.0 109697;1872.0 62.0 109698;2257.0 111.0 109699;2039.0 85.0 109700;877.0 20.0 109701;657.0 12.0 109702;10936.0 784.0 109703;3290.0 199.0 109704;720.0 21.0 109705;318.0 10.0 109706;22648.0 1057.0 109635;1734.0 63.0 109651;5915.0 57.0 109660;6178.0 147.0 109667;3051.0 125.0 109673;345.0 13.0 109675;6069.0 229.0 109683;4036.0 161.0 109689;2919.0 120.0 109690;16375.0 1299.0 109692;2460.0 86.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 871;109697 955;109698 868;109699 901;109700 947;109701 876;109702 909;109703 961;109704 910;109705 956;109706 938;109635 930;109651 921;109660 848;109667 873;109673 900;109675 916;109683 889;109689 923;109690 952;109692 905;109693 851
data,1241739600,1525456.0;56244.0;1531556.0;71215.0;1428779.0;53315.0;1532909.0;81944.0;1.26113646568;1.01206368337;1.44985400153,1917.0 72.0 109696;1743.0 40.0 109697;1894.0 65.0 109698;2291.0 114.0 109699;2073.0 86.0 109700;899.0 23.0 109701;665.0 12.0 109702;11212.0 808.0 109703;3333.0 199.0 109704;746.0 22.0 109705;330.0 10.0 109706;22696.0 1058.0 109635;1751.0 63.0 109651;5933.0 57.0 109660;6191.0 147.0 109667;3075.0 126.0 109673;366.0 15.0 109675;6093.0 231.0 109683;4054.0 161.0 109689;2947.0 121.0 109690;16510.0 1303.0 109692;2526.0 87.0 109693,109696.0 20000;109697.0 20000;109698.0 20000;109699.0 20000;109700.0 20000;109701.0 20000;109702.0 20000;109703.0 20000;109704.0 20000;109705.0 20000;109706.0 20000;109635.0 20000;109651.0 20000;109660.0 20000;109667.0 20000;109673.0 20000;109675.0 20000;109683.0 20000;109689.0 20000;109690.0 20000;109692.0 20000;109693.0 20000,109696 919;109697 934;109698 912;109699 887;109700 931;109701 925;109702 884;109703 852;109704 930;109705 928;109706 911;109635 882;109651 965;109660 887;109667 933;109673 894;109675 888;109683 918;109689 939;109690 894;109692 866;109693 921
