data,1241842800,1795230.0;65059.0;1802110.0;81773.0;1684635.0;61742.0;1803552.0;94052.0;1.25210672431;1.01131765173;1.43897112829,7605.0 161.0 109697;2777.0 115.0 109711;215.0 2.0 109714;4068.0 106.0 109720;13466.0 651.0 109721;6494.0 246.0 109722;2606.0 31.0 109723;2540.0 71.0 109725;2170.0 59.0 109726;2514.0 76.0 109728;3247.0 128.0 109732;1599.0 79.0 109734;1783.0 55.0 109735;4109.0 194.0 109737;7318.0 415.0 109742;3074.0 151.0 109743;744.0 12.0 109744;709.0 11.0 109745;7046.0 390.0 109746;541.0 20.0 109747;1710.0 91.0 109748;2831.0 166.0 109749;12523.0 276.0 109667,109697.0 16553;109711.0 16553;109714.0 16553;109720.0 16553;109721.0 16553;109722.0 16553;109723.0 16553;109725.0 16553;109726.0 16553;109728.0 16553;109732.0 16553;109734.0 16553;109735.0 16553;109737.0 16553;109742.0 16553;109743.0 16553;109744.0 16553;109745.0 16553;109746.0 16553;109747.0 16553;109748.0 16553;109749.0 16553;109667.0 16553,109697 746;109711 695;109714 741;109720 752;109721 714;109722 766;109723 742;109725 760;109726 696;109728 682;109732 722;109734 752;109735 728;109737 692;109742 726;109743 731;109744 709;109745 685;109746 709;109747 684;109748 763;109749 692;109667 666
data,1241843100,1795394.0;65066.0;1802278.0;81778.0;1684778.0;61747.0;1803698.0;94056.0;1.25204622831;1.01129728176;1.43889247748,7612.0 161.0 109697;2781.0 115.0 109711;219.0 2.0 109714;4075.0 106.0 109720;13477.0 651.0 109721;6504.0 247.0 109722;2616.0 32.0 109723;2549.0 71.0 109725;2174.0 59.0 109726;2528.0 76.0 109728;3254.0 128.0 109732;1607.0 79.0 109734;1788.0 55.0 109735;4115.0 194.0 109737;7325.0 416.0 109742;3079.0 151.0 109743;752.0 13.0 109744;714.0 11.0 109745;7051.0 390.0 109746;545.0 20.0 109747;1719.0 91.0 109748;2841.0 167.0 109749;12532.0 276.0 109667,109697.0 3447;109711.0 3447;109714.0 3447;109720.0 3447;109721.0 3447;109722.0 3447;109723.0 3447;109725.0 3447;109726.0 3447;109728.0 3447;109732.0 3447;109734.0 3447;109735.0 3447;109737.0 3447;109742.0 3447;109743.0 3447;109744.0 3447;109745.0 3447;109746.0 3447;109747.0 3447;109748.0 3447;109749.0 3447;109667.0 3447,109697 166;109711 135;109714 125;109720 169;109721 141;109722 152;109723 158;109725 140;109726 160;109728 166;109732 135;109734 143;109735 144;109737 157;109742 130;109743 155;109744 164;109745 177;109746 133;109747 151;109748 143;109749 154;109667 149
data,1241843400,1796222.0;65092.0;1803201.0;81817.0;1685614.0;61773.0;1804620.0;94106.0;1.25207921766;1.01128358796;1.43901043533,7653.0 164.0 109697;2817.0 117.0 109711;252.0 2.0 109714;4113.0 107.0 109720;13531.0 653.0 109721;6541.0 248.0 109722;2683.0 36.0 109723;2583.0 72.0 109725;2201.0 60.0 109726;2558.0 76.0 109728;3294.0 129.0 109732;1638.0 82.0 109734;1822.0 56.0 109735;4153.0 196.0 109737;7374.0 420.0 109742;3135.0 154.0 109743;779.0 13.0 109744;755.0 13.0 109745;7102.0 393.0 109746;581.0 20.0 109747;1759.0 94.0 109748;2884.0 168.0 109749;12572.0 277.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 845;109711 900;109714 881;109720 880;109721 872;109722 835;109723 927;109725 896;109726 869;109728 836;109732 896;109734 854;109735 835;109737 883;109742 892;109743 909;109744 819;109745 835;109746 873;109747 841;109748 844;109749 906;109667 872
data,1241844000,1797063.0;65126.0;1804095.0;81858.0;1686486.0;61813.0;1805474.0;94136.0;1.25201814875;1.01136048029;1.43871045433,7693.0 166.0 109697;2851.0 117.0 109711;270.0 2.0 109714;4149.0 108.0 109720;13564.0 656.0 109721;6575.0 249.0 109722;2729.0 37.0 109723;2614.0 72.0 109725;2235.0 60.0 109726;2603.0 82.0 109728;3329.0 131.0 109732;1694.0 85.0 109734;1857.0 56.0 109735;4198.0 200.0 109737;7447.0 424.0 109742;3176.0 156.0 109743;810.0 13.0 109744;788.0 15.0 109745;7148.0 396.0 109746;615.0 21.0 109747;1804.0 96.0 109748;2920.0 171.0 109749;12605.0 278.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 874;109711 855;109714 874;109720 864;109721 833;109722 872;109723 844;109725 900;109726 831;109728 845;109732 830;109734 877;109735 887;109737 920;109742 922;109743 922;109744 851;109745 825;109746 868;109747 930;109748 824;109749 897;109667 855
data,1241844300,1797919.0;65152.0;1804984.0;81893.0;1687379.0;61834.0;1806335.0;94157.0;1.25203305381;1.01124659371;1.43845634315,7740.0 167.0 109697;2877.0 120.0 109711;292.0 2.0 109714;4174.0 108.0 109720;13607.0 660.0 109721;6601.0 250.0 109722;2762.0 37.0 109723;2632.0 72.0 109725;2253.0 60.0 109726;2680.0 86.0 109728;3356.0 133.0 109732;1750.0 87.0 109734;1879.0 57.0 109735;4273.0 205.0 109737;7555.0 432.0 109742;3218.0 156.0 109743;826.0 13.0 109744;821.0 15.0 109745;7192.0 397.0 109746;631.0 21.0 109747;1843.0 97.0 109748;2967.0 173.0 109749;12634.0 278.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 879;109711 903;109714 848;109720 889;109721 875;109722 878;109723 854;109725 879;109726 812;109728 891;109732 871;109734 902;109735 802;109737 886;109742 924;109743 887;109744 844;109745 900;109746 818;109747 865;109748 821;109749 919;109667 853
data,1241844900,1798744.0;65184.0;1805835.0;81926.0;1688257.0;61868.0;1807234.0;94204.0;1.25190690843;1.0112437925;1.43841202893,7772.0 168.0 109697;2908.0 120.0 109711;312.0 3.0 109714;4191.0 109.0 109720;13659.0 660.0 109721;6624.0 250.0 109722;2789.0 37.0 109723;2650.0 73.0 109725;2268.0 60.0 109726;2750.0 89.0 109728;3391.0 134.0 109732;1799.0 88.0 109734;1902.0 59.0 109735;4361.0 210.0 109737;7645.0 435.0 109742;3269.0 160.0 109743;839.0 13.0 109744;849.0 18.0 109745;7252.0 401.0 109746;651.0 21.0 109747;1869.0 98.0 109748;3007.0 175.0 109749;12657.0 278.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 918;109714 833;109720 863;109721 860;109722 807;109723 858;109725 918;109726 828;109728 874;109732 821;109734 891;109735 881;109737 878;109742 878;109743 889;109744 892;109745 911;109746 913;109747 885;109748 863;109749 836;109667 839
data,1241845500,1799632.0;65219.0;1806660.0;81966.0;1689068.0;61890.0;1808110.0;94237.0;1.2518920569;1.01107394747;1.43815658902,7804.0 168.0 109697;2938.0 122.0 109711;318.0 3.0 109714;4216.0 111.0 109720;13696.0 661.0 109721;6646.0 251.0 109722;2805.0 37.0 109723;2668.0 73.0 109725;2286.0 61.0 109726;2815.0 92.0 109728;3421.0 136.0 109732;1843.0 92.0 109734;1917.0 59.0 109735;4468.0 216.0 109737;7723.0 437.0 109742;3320.0 166.0 109743;851.0 13.0 109744;890.0 20.0 109745;7305.0 404.0 109746;665.0 21.0 109747;1918.0 102.0 109748;3041.0 175.0 109749;12685.0 279.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 853;109714 896;109720 881;109721 879;109722 884;109723 843;109725 825;109726 854;109728 898;109732 869;109734 867;109735 832;109737 887;109742 881;109743 829;109744 867;109745 867;109746 901;109747 889;109748 823;109749 935;109667 876
data,1241846100,1800459.0;65255.0;1807576.0;82005.0;1689913.0;61918.0;1808999.0;94274.0;1.25173734283;1.01093216563;1.43788134642,7818.0 168.0 109697;2961.0 122.0 109711;329.0 3.0 109714;4247.0 111.0 109720;13739.0 661.0 109721;6667.0 251.0 109722;2825.0 37.0 109723;2677.0 73.0 109725;2298.0 61.0 109726;2868.0 93.0 109728;3465.0 138.0 109732;1896.0 94.0 109734;1941.0 60.0 109735;4594.0 223.0 109737;7813.0 445.0 109742;3386.0 167.0 109743;866.0 14.0 109744;925.0 20.0 109745;7363.0 407.0 109746;688.0 25.0 109747;2002.0 108.0 109748;3082.0 176.0 109749;12705.0 281.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 837;109711 888;109714 895;109720 860;109721 941;109722 854;109723 852;109725 885;109726 841;109728 874;109732 932;109734 849;109735 862;109737 896;109742 838;109743 893;109744 889;109745 851;109746 835;109747 875;109748 855;109749 865;109667 833
data,1241846700,1801330.0;65279.0;1808421.0;82036.0;1690759.0;61942.0;1809862.0;94301.0;1.25177053297;1.01093516846;1.43777399939,7832.0 168.0 109697;2986.0 124.0 109711;339.0 4.0 109714;4265.0 111.0 109720;13761.0 661.0 109721;6684.0 251.0 109722;2844.0 37.0 109723;2694.0 73.0 109725;2315.0 61.0 109726;2926.0 95.0 109728;3497.0 138.0 109732;1962.0 102.0 109734;1961.0 61.0 109735;4706.0 225.0 109737;7944.0 452.0 109742;3435.0 169.0 109743;879.0 14.0 109744;940.0 20.0 109745;7426.0 411.0 109746;711.0 25.0 109747;2068.0 110.0 109748;3103.0 176.0 109749;12722.0 281.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 905;109711 877;109714 852;109720 919;109721 874;109722 860;109723 897;109725 876;109726 909;109728 894;109732 864;109734 855;109735 862;109737 870;109742 861;109743 834;109744 873;109745 850;109746 832;109747 841;109748 858;109749 896;109667 841
data,1241847300,1802189.0;65305.0;1809316.0;82059.0;1691579.0;61969.0;1810745.0;94340.0;1.25160041145;1.0109649612;1.43778013205,7845.0 168.0 109697;3026.0 126.0 109711;360.0 4.0 109714;4280.0 111.0 109720;13782.0 661.0 109721;6695.0 251.0 109722;2858.0 37.0 109723;2705.0 74.0 109725;2325.0 61.0 109726;2977.0 95.0 109728;3518.0 138.0 109732;2082.0 107.0 109734;1986.0 61.0 109735;4814.0 229.0 109737;8068.0 454.0 109742;3499.0 173.0 109743;893.0 14.0 109744;970.0 22.0 109745;7488.0 413.0 109746;729.0 25.0 109747;2145.0 111.0 109748;3117.0 176.0 109749;12733.0 281.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 836;109711 845;109714 869;109720 835;109721 856;109722 853;109723 875;109725 826;109726 830;109728 910;109732 923;109734 842;109735 874;109737 901;109742 865;109743 912;109744 837;109745 876;109746 878;109747 881;109748 965;109749 878;109667 833
data,1241847900,1803049.0;65333.0;1810183.0;82097.0;1692419.0;62006.0;1811604.0;94370.0;1.25164086454;1.01111546312;1.43762498732,7861.0 170.0 109697;3057.0 128.0 109711;374.0 5.0 109714;4294.0 112.0 109720;13801.0 662.0 109721;6706.0 251.0 109722;2868.0 37.0 109723;2724.0 76.0 109725;2336.0 61.0 109726;3025.0 96.0 109728;3541.0 138.0 109732;2197.0 112.0 109734;2008.0 62.0 109735;4906.0 235.0 109737;8183.0 459.0 109742;3588.0 179.0 109743;906.0 14.0 109744;999.0 22.0 109745;7568.0 416.0 109746;746.0 25.0 109747;2189.0 113.0 109748;3141.0 176.0 109749;12744.0 281.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 859;109711 858;109714 916;109720 835;109721 906;109722 836;109723 864;109725 844;109726 813;109728 886;109732 887;109734 860;109735 932;109737 847;109742 887;109743 856;109744 812;109745 856;109746 918;109747 894;109748 896;109749 875;109667 863
