data,1241954400,1991802.0;71157.0;2000946.0;88947.0;1875424.0;67596.0;2004095.0;102103.0;1.24429819382;1.00890450708;1.42609590408,3186.0 80.0 109760;7440.0 295.0 109761;5624.0 218.0 109762;4655.0 175.0 109763;1661.0 21.0 109764;6411.0 274.0 109766;2025.0 57.0 109767;12506.0 269.0 109697;1502.0 43.0 109769;6163.0 254.0 109740;2357.0 54.0 109741;7012.0 103.0 109723;6780.0 164.0 109745;2073.0 63.0 109731;8463.0 348.0 109684;6702.0 242.0 109686;141.0 0.0 109752;9084.0 363.0 109755;3975.0 102.0 109756;5463.0 188.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1992420.0;71178.0;2001525.0;88962.0;1875984.0;67615.0;2004646.0;102125.0;1.24416686437;1.00890211883;1.42603271713,3201.0 80.0 109760;7460.0 295.0 109761;5656.0 219.0 109762;2107.0 64.0 109731;1695.0 21.0 109764;6430.0 274.0 109766;2047.0 57.0 109767;12540.0 269.0 109697;1538.0 45.0 109769;6194.0 257.0 109740;2404.0 56.0 109741;7035.0 103.0 109723;6810.0 164.0 109745;4685.0 175.0 109763;8488.0 348.0 109684;6729.0 242.0 109686;167.0 0.0 109752;9122.0 367.0 109755;4003.0 103.0 109756;5491.0 189.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1993470.0;71206.0;2002472.0;88995.0;1877003.0;67648.0;2005659.0;102157.0;1.24420593762;1.00898128046;1.42594951027,3243.0 82.0 109760;12573.0 269.0 109697;5730.0 225.0 109762;2160.0 68.0 109731;1727.0 21.0 109764;6462.0 275.0 109766;7502.0 295.0 109761;1598.0 46.0 109769;2091.0 61.0 109767;6279.0 262.0 109740;2458.0 56.0 109741;6856.0 167.0 109745;4706.0 175.0 109763;8518.0 349.0 109684;9191.0 367.0 109755;6789.0 245.0 109686;193.0 0.0 109752;7081.0 104.0 109723;4050.0 103.0 109756;5542.0 191.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1994491.0;71237.0;2003463.0;89017.0;1878023.0;67679.0;2006634.0;102191.0;1.24399343014;1.00897286251;1.42584048431,3290.0 82.0 109760;12599.0 269.0 109697;5824.0 227.0 109762;4737.0 175.0 109763;1757.0 21.0 109764;6507.0 277.0 109766;2163.0 62.0 109767;1651.0 48.0 109769;7529.0 296.0 109761;6378.0 266.0 109740;2495.0 57.0 109741;7123.0 104.0 109723;6921.0 169.0 109745;2242.0 70.0 109731;8562.0 351.0 109684;6825.0 245.0 109686;221.0 0.0 109752;9248.0 370.0 109755;4077.0 103.0 109756;5591.0 191.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1995496.0;71260.0;2004483.0;89059.0;1879022.0;67713.0;2007649.0;102239.0;1.24417216385;1.00912562413;1.42604703417,3325.0 82.0 109760;7554.0 296.0 109761;5995.0 244.0 109762;2335.0 73.0 109731;1775.0 21.0 109764;6545.0 277.0 109766;2227.0 64.0 109767;12617.0 269.0 109697;1691.0 48.0 109769;6487.0 271.0 109740;2526.0 58.0 109741;7147.0 104.0 109723;6973.0 169.0 109745;4765.0 178.0 109763;8606.0 353.0 109684;6869.0 248.0 109686;248.0 0.0 109752;9317.0 371.0 109755;4116.0 104.0 109756;5642.0 195.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1996438.0;71293.0;2005497.0;89101.0;1880053.0;67741.0;2008676.0;102278.0;1.24414070425;1.00899833224;1.42587440677,3351.0 84.0 109760;7572.0 296.0 109761;6199.0 254.0 109762;9360.0 373.0 109755;1807.0 23.0 109764;2432.0 79.0 109731;6572.0 277.0 109766;12642.0 270.0 109697;1724.0 49.0 109769;2280.0 65.0 109767;6584.0 274.0 109740;2554.0 58.0 109741;6999.0 169.0 109745;4798.0 178.0 109763;8673.0 359.0 109684;6909.0 249.0 109686;271.0 1.0 109752;7167.0 104.0 109723;4135.0 104.0 109756;5745.0 201.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,1997426.0;71320.0;2006466.0;89125.0;1881086.0;67776.0;2009645.0;102321.0;1.24401925408;1.00908243629;1.42595162748,3399.0 86.0 109760;12660.0 270.0 109697;6415.0 260.0 109762;4828.0 180.0 109763;1827.0 23.0 109764;6590.0 278.0 109766;2323.0 67.0 109767;1778.0 52.0 109769;7586.0 297.0 109761;6660.0 275.0 109740;2581.0 58.0 109741;7020.0 169.0 109745;2499.0 80.0 109731;8776.0 362.0 109684;9402.0 373.0 109755;6948.0 250.0 109686;289.0 1.0 109752;7181.0 104.0 109723;4151.0 104.0 109756;5830.0 202.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,1998417.0;71352.0;2007456.0;89159.0;1882057.0;67802.0;2010664.0;102361.0;1.24393909817;1.00899658638;1.42585375082,3441.0 87.0 109760;7603.0 297.0 109761;6655.0 269.0 109762;9426.0 373.0 109755;1845.0 23.0 109764;6621.0 280.0 109766;12672.0 271.0 109697;1815.0 52.0 109769;4860.0 180.0 109763;2373.0 69.0 109767;6723.0 275.0 109740;2599.0 58.0 109741;7036.0 170.0 109745;2567.0 82.0 109731;8889.0 367.0 109684;7019.0 255.0 109686;304.0 2.0 109752;7198.0 104.0 109723;4176.0 105.0 109756;5911.0 206.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,1999420.0;71373.0;2008505.0;89186.0;1883043.0;67830.0;2011625.0;102399.0;1.24392400633;1.00909408375;1.42599752406,3483.0 87.0 109760;12692.0 271.0 109697;6871.0 274.0 109762;4909.0 184.0 109763;1869.0 23.0 109764;6666.0 282.0 109766;2422.0 69.0 109767;1839.0 52.0 109769;7622.0 297.0 109761;6775.0 276.0 109740;2616.0 58.0 109741;7209.0 104.0 109723;7062.0 171.0 109745;2636.0 83.0 109731;9012.0 372.0 109684;7101.0 257.0 109686;336.0 4.0 109752;9471.0 375.0 109755;4193.0 105.0 109756;5998.0 208.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2000381.0;71391.0;2009486.0;89224.0;1884031.0;67857.0;2012613.0;102441.0;1.24413056569;1.00919680386;1.42620774731,3518.0 89.0 109760;12711.0 271.0 109697;7111.0 287.0 109762;9509.0 376.0 109755;1885.0 23.0 109764;6710.0 284.0 109766;2460.0 70.0 109767;1879.0 54.0 109769;4952.0 186.0 109763;6802.0 276.0 109740;2630.0 59.0 109741;7078.0 171.0 109745;2687.0 84.0 109731;9109.0 372.0 109684;7162.0 259.0 109686;364.0 5.0 109752;7638.0 298.0 109761;7224.0 105.0 109723;4218.0 105.0 109756;6116.0 216.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2001346.0;71419.0;2010489.0;89258.0;1885027.0;67893.0;2013646.0;102476.0;1.24409591103;1.00928968966;1.42609170531,3556.0 90.0 109760;7650.0 298.0 109761;7400.0 301.0 109762;2749.0 87.0 109731;1898.0 23.0 109764;6785.0 290.0 109766;2487.0 70.0 109767;12723.0 271.0 109697;1908.0 55.0 109769;6830.0 280.0 109740;2648.0 60.0 109741;7100.0 171.0 109745;5003.0 186.0 109763;9174.0 373.0 109684;9538.0 376.0 109755;7213.0 259.0 109686;387.0 5.0 109752;7243.0 105.0 109723;4232.0 106.0 109756;6242.0 218.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
