
New Run at  02/02/2015 05:06:47
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,843909.0;30466.0;845133.0;33343.0;801461.0;34194.0;850939.0;41752.0;1.092848079;1.18181009169;1.35912385771,1789.0 61.0 109601;1457.0 70.0 109603;59513.0 1768.0 109476;1608.0 99.0 109605;1374.0 33.0 109608;999.0 34.0 109610;600.0 14.0 109611;579.0 40.0 109612;5449.0 186.0 109517;727.0 40.0 109614;1003.0 24.0 109613;803.0 54.0 109617;509.0 9.0 109618;199.0 6.0 109619;2831.0 142.0 109594;900.0 43.0 109615;2516.0 123.0 109596;2165.0 88.0 109598;2141.0 93.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,844954.0;30499.0;846197.0;33365.0;802474.0;34221.0;852001.0;41799.0;1.0923633337;1.18143325796;1.35916835235,1800.0 61.0 109601;1469.0 70.0 109603;60273.0 1780.0 109476;1623.0 99.0 109605;1390.0 33.0 109608;1023.0 34.0 109610;618.0 15.0 109611;602.0 41.0 109612;5460.0 186.0 109517;739.0 41.0 109614;1020.0 24.0 109613;828.0 55.0 109617;516.0 10.0 109618;215.0 6.0 109619;2845.0 142.0 109594;920.0 45.0 109615;2536.0 124.0 109596;2188.0 88.0 109598;2161.0 95.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,846008.0;30525.0;847257.0;33389.0;803475.0;34243.0;853044.0;41831.0;1.09221225132;1.1811858474;1.35908184594,1814.0 61.0 109601;1490.0 71.0 109603;61047.0 1798.0 109476;1637.0 100.0 109605;1396.0 33.0 109608;1042.0 35.0 109610;630.0 15.0 109611;621.0 42.0 109612;5477.0 186.0 109517;761.0 41.0 109614;941.0 45.0 109615;1036.0 24.0 109613;847.0 56.0 109617;524.0 10.0 109618;232.0 6.0 109619;2864.0 142.0 109594;2546.0 124.0 109596;2198.0 88.0 109598;2183.0 96.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,847040.0;30543.0;848376.0;33413.0;804546.0;34280.0;854127.0;41869.0;1.09224313573;1.18163177433;1.35944726435,1831.0 61.0 109601;1510.0 71.0 109603;61829.0 1815.0 109476;1657.0 101.0 109605;1412.0 33.0 109608;1062.0 35.0 109610;646.0 15.0 109611;637.0 42.0 109612;1051.0 24.0 109613;777.0 43.0 109614;966.0 46.0 109615;867.0 56.0 109617;540.0 10.0 109618;250.0 7.0 109619;2880.0 142.0 109594;2569.0 125.0 109596;5492.0 186.0 109517;2221.0 88.0 109598;2208.0 97.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,848043.0;30564.0;849424.0;33435.0;805603.0;34301.0;855183.0;41894.0;1.09215551376;1.18139026922;1.35925347518,1848.0 61.0 109601;1529.0 71.0 109603;62546.0 1831.0 109476;1681.0 101.0 109605;1428.0 33.0 109608;1079.0 35.0 109610;665.0 15.0 109611;653.0 43.0 109612;1067.0 25.0 109613;788.0 43.0 109614;982.0 48.0 109615;888.0 56.0 109617;561.0 11.0 109618;269.0 7.0 109619;2894.0 142.0 109594;2590.0 125.0 109596;5516.0 187.0 109517;2238.0 88.0 109598;2231.0 97.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,849078.0;30590.0;850487.0;33456.0;806628.0;34326.0;856289.0;41933.0;1.09187883348;1.18118525269;1.35926357916,1867.0 61.0 109601;1547.0 71.0 109603;63297.0 1843.0 109476;1698.0 101.0 109605;1445.0 34.0 109608;1095.0 35.0 109610;683.0 17.0 109611;670.0 43.0 109612;1076.0 25.0 109613;809.0 44.0 109614;1003.0 49.0 109615;904.0 58.0 109617;582.0 11.0 109618;282.0 7.0 109619;2912.0 142.0 109594;2609.0 127.0 109596;5531.0 187.0 109517;2252.0 88.0 109598;2254.0 97.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,850144.0;30619.0;851553.0;33475.0;807621.0;34353.0;857378.0;41962.0;1.09146645752;1.18102354986;1.35889323082,1888.0 61.0 109601;1569.0 71.0 109603;64058.0 1852.0 109476;1711.0 102.0 109605;1463.0 34.0 109608;1116.0 35.0 109610;700.0 17.0 109611;682.0 43.0 109612;1087.0 25.0 109613;825.0 45.0 109614;5546.0 188.0 109517;917.0 58.0 109617;605.0 12.0 109618;299.0 8.0 109619;2925.0 143.0 109594;1025.0 50.0 109615;2620.0 127.0 109596;2274.0 90.0 109598;2272.0 98.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
data,1241512500,851174.0;30647.0;852613.0;33488.0;808653.0;34384.0;858358.0;41988.0;1.09085654496;1.18093114609;1.35858592255,1903.0 61.0 109601;1588.0 71.0 109603;64829.0 1861.0 109476;1103.0 25.0 109613;1476.0 34.0 109608;1131.0 35.0 109610;713.0 17.0 109611;699.0 43.0 109612;5568.0 188.0 109517;843.0 45.0 109614;1051.0 50.0 109615;934.0 61.0 109617;615.0 12.0 109618;309.0 8.0 109619;2935.0 144.0 109594;2640.0 127.0 109596;1726.0 102.0 109605;2293.0 90.0 109598;2286.0 98.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1017;109603 1089;109476 1080;109613 1053;109608 1015;109610 1047;109611 1055;109612 1052;109517 1093;109614 1049;109615 1101;109617 1003;109618 1081;109619 1034;109594 1067;109596 1054;109605 1000;109598 1032;109599 1078
data,1241513400,852213.0;30671.0;853684.0;33506.0;809708.0;34418.0;859406.0;42014.0;1.09055019857;1.18107484248;1.35836307838,1930.0 62.0 109601;1607.0 72.0 109603;65565.0 1873.0 109476;1741.0 102.0 109605;1498.0 34.0 109608;5585.0 188.0 109517;736.0 18.0 109611;712.0 44.0 109612;1121.0 26.0 109613;858.0 45.0 109614;1071.0 50.0 109615;944.0 62.0 109617;629.0 12.0 109618;326.0 8.0 109619;2955.0 144.0 109594;2659.0 127.0 109596;1155.0 35.0 109610;2313.0 90.0 109598;2308.0 98.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1070;109603 1042;109476 1005;109605 968;109608 1092;109517 1080;109611 1067;109612 1083;109613 1025;109614 1034;109615 1092;109617 1017;109618 1075;109619 1049;109594 1068;109596 1046;109610 1036;109598 1077;109599 1074
data,1241514300,853322.0;30692.0;854733.0;33517.0;810802.0;34443.0;860449.0;42044.0;1.09024077516;1.18106530927;1.35852190762,1948.0 62.0 109601;1625.0 72.0 109603;66302.0 1881.0 109476;1759.0 103.0 109605;1510.0 34.0 109608;1178.0 35.0 109610;757.0 18.0 109611;725.0 44.0 109612;5605.0 188.0 109517;875.0 45.0 109614;1132.0 26.0 109613;963.0 62.0 109617;643.0 12.0 109618;341.0 8.0 109619;2979.0 144.0 109594;1082.0 51.0 109615;2675.0 127.0 109596;2334.0 91.0 109598;2329.0 98.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1040;109603 1056;109476 1024;109605 985;109608 1061;109610 1065;109611 1087;109612 1100;109517 988;109614 1046;109613 1066;109617 1133;109618 1015;109619 1005;109594 1047;109615 1057;109596 1094;109598 1045;109599 1086
