
New Run at  02/02/2015 10:34:08
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1977271.0;71093.0;1982701.0;92527.0;1871472.0;79837.0;1995918.0;102378.0;1.29792802933;1.1864794789;1.42660355527,1245.0 33.0 109760;8030.0 170.0 109697;961.0 42.0 109762;926.0 28.0 109763;748.0 13.0 109764;917.0 40.0 109766;1161.0 46.0 109761;239.0 7.0 109769;694.0 38.0 109767;806.0 39.0 109740;1251.0 38.0 109741;4199.0 106.0 109745;42726.0 1755.0 109746;567.0 18.0 109731;1561.0 69.0 109684;1501.0 73.0 109755;1853.0 78.0 109686;4828.0 68.0 109723;1545.0 51.0 109756;1372.0 41.0 109758,109760.0 18239;109697.0 18239;109762.0 18239;109763.0 18239;109764.0 18239;109766.0 18239;109767.0 18239;109769.0 18239;109761.0 18239;109740.0 18239;109741.0 18239;109745.0 18239;109746.0 18239;109731.0 18239;109684.0 18239;109755.0 18239;109686.0 18239;109723.0 18239;109756.0 18239;109758.0 18239,109760 914;109697 909;109762 913;109763 901;109764 897;109766 922;109761 961;109769 950;109767 888;109740 908;109741 866;109745 910;109746 927;109731 910;109684 880;109755 912;109686 918;109723 903;109756 924;109758 926
data,1241940300,1978319.0;71123.0;1983719.0;92560.0;1872498.0;79856.0;1996888.0;102404.0;1.29786478206;1.1862396739;1.42642673057,1277.0 33.0 109760;8065.0 171.0 109697;1025.0 45.0 109762;612.0 19.0 109731;778.0 14.0 109764;964.0 43.0 109766;729.0 39.0 109767;281.0 9.0 109769;1215.0 46.0 109761;911.0 46.0 109740;1310.0 38.0 109741;4871.0 70.0 109723;4251.0 107.0 109745;42803.0 1757.0 109746;967.0 28.0 109763;1600.0 70.0 109684;1942.0 84.0 109686;1534.0 73.0 109755;1593.0 51.0 109756;1420.0 43.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 978;109697 958;109762 991;109731 1011;109764 958;109766 960;109767 1033;109769 978;109761 1008;109740 1014;109741 1002;109723 1014;109745 1064;109746 1025;109763 1004;109684 967;109686 1021;109755 990;109756 1002;109758 1022
data,1241941200,1979251.0;71141.0;1984662.0;92578.0;1873519.0;79878.0;1997907.0;102436.0;1.29778319848;1.18617833628;1.426455574,1306.0 34.0 109760;8101.0 171.0 109697;1065.0 46.0 109762;657.0 20.0 109731;828.0 14.0 109764;1018.0 45.0 109766;1243.0 46.0 109761;320.0 10.0 109769;762.0 39.0 109767;1053.0 51.0 109740;1354.0 39.0 109741;4906.0 70.0 109723;4289.0 108.0 109745;42901.0 1760.0 109746;989.0 28.0 109763;1631.0 70.0 109684;2015.0 85.0 109686;1573.0 74.0 109755;1626.0 51.0 109756;1454.0 43.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1027;109697 1015;109762 999;109731 1024;109764 1003;109766 1026;109761 971;109769 1025;109767 995;109740 993;109741 989;109723 1031;109745 954;109746 950;109763 928;109684 998;109686 1015;109755 1051;109756 1002;109758 1004
data,1241942100,1980225.0;71165.0;1985630.0;92601.0;1874522.0;79897.0;1998912.0;102464.0;1.29767350114;1.18600908605;1.42634871808,1334.0 34.0 109760;1285.0 47.0 109761;1122.0 47.0 109762;1017.0 29.0 109763;858.0 14.0 109764;1068.0 46.0 109766;8124.0 171.0 109697;348.0 10.0 109769;794.0 39.0 109767;1264.0 63.0 109740;1384.0 40.0 109741;4935.0 70.0 109723;4336.0 108.0 109745;42984.0 1761.0 109746;696.0 20.0 109731;1664.0 70.0 109684;2106.0 89.0 109686;1598.0 74.0 109755;1650.0 52.0 109756;1492.0 43.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1005;109761 967;109762 986;109763 1040;109764 983;109766 948;109697 1039;109769 1001;109767 1022;109740 1011;109741 935;109723 985;109745 1021;109746 1052;109731 1032;109684 996;109686 1018;109755 962;109756 1004;109758 993
data,1241943000,1981255.0;71190.0;1986609.0;92621.0;1875488.0;79917.0;1999906.0;102490.0;1.29753311234;1.18589507505;1.4262422332,1371.0 38.0 109760;1323.0 48.0 109761;1170.0 47.0 109762;724.0 20.0 109731;878.0 14.0 109764;1131.0 47.0 109766;814.0 39.0 109767;8151.0 171.0 109697;372.0 10.0 109769;1498.0 68.0 109740;1432.0 40.0 109741;4383.0 111.0 109745;43049.0 1761.0 109746;1044.0 29.0 109763;1695.0 70.0 109684;1631.0 75.0 109755;2215.0 91.0 109686;4964.0 70.0 109723;1676.0 53.0 109756;1517.0 45.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1020;109761 1014;109762 989;109731 1013;109764 1011;109766 1025;109767 969;109697 995;109769 1026;109740 952;109741 1005;109745 1020;109746 992;109763 1011;109684 1003;109755 1017;109686 987;109723 987;109756 978;109758 986
data,1241943900,1982304.0;71213.0;1987611.0;92641.0;1876480.0;79931.0;2000881.0;102511.0;1.29742666178;1.18572037308;1.42613351248,1413.0 38.0 109760;1371.0 52.0 109761;1222.0 48.0 109762;1068.0 29.0 109763;898.0 14.0 109764;1191.0 48.0 109766;827.0 39.0 109767;8171.0 171.0 109697;394.0 10.0 109769;1720.0 73.0 109740;1451.0 40.0 109741;4980.0 70.0 109723;4446.0 112.0 109745;43150.0 1764.0 109746;762.0 20.0 109731;1717.0 70.0 109684;2341.0 95.0 109686;1652.0 75.0 109755;1706.0 53.0 109756;1560.0 46.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 975;109761 955;109762 982;109763 1045;109764 995;109766 1008;109767 996;109697 981;109769 965;109740 1010;109741 1035;109723 1002;109745 1005;109746 1023;109731 1059;109684 1001;109686 990;109755 937;109756 998;109758 1038
data,1241945100,1983256.0;71235.0;1988655.0;92665.0;1877516.0;79954.0;2001927.0;102527.0;1.29730362555;1.18561011915;1.42585499416,1451.0 38.0 109760;1435.0 53.0 109761;1264.0 48.0 109762;785.0 20.0 109731;915.0 14.0 109764;1270.0 53.0 109766;854.0 39.0 109767;8190.0 172.0 109697;416.0 11.0 109769;1970.0 81.0 109740;1479.0 40.0 109741;4495.0 113.0 109745;43234.0 1766.0 109746;1090.0 30.0 109763;1753.0 71.0 109684;1678.0 75.0 109755;2463.0 98.0 109686;5005.0 70.0 109723;1735.0 53.0 109756;1602.0 46.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 973;109761 968;109762 975;109731 1022;109764 1031;109766 1031;109767 978;109697 1061;109769 941;109740 1060;109741 957;109745 987;109746 1025;109763 974;109684 1018;109755 1010;109686 1006;109723 981;109756 1018;109758 984
data,1241946000,1980017.0;71150.0;1988366.0;92670.0;1875783.0;79927.0;2002060.0;102542.0;1.29699066207;1.18578221259;1.42534077612,1477.0 38.0 109760;1484.0 53.0 109761;1327.0 53.0 109762;1697.0 75.0 109755;934.0 14.0 109764;804.0 20.0 109731;1379.0 56.0 109766;8207.0 172.0 109697;440.0 11.0 109769;874.0 41.0 109767;2230.0 90.0 109740;1498.0 40.0 109741;4539.0 114.0 109745;43298.0 1767.0 109746;1107.0 31.0 109763;1779.0 73.0 109684;2565.0 101.0 109686;0.0 0.0 109752;5022.0 70.0 109723;1756.0 54.0 109756;1630.0 46.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 5185;109723.0 20000;109756.0 20000;109758.0 20000,109760 1009;109761 978;109762 980;109755 1015;109764 999;109731 1017;109766 1061;109697 987;109769 1035;109767 956;109740 1028;109741 1024;109745 1028;109746 976;109763 983;109684 1041;109686 873;109752 8;109723 1029;109756 988;109758 985
data,1241947200,1981074.0;71177.0;1989352.0;92696.0;1876743.0;79946.0;2003056.0;102568.0;1.29691161008;1.18564030273;1.42521313116,1504.0 38.0 109760;8221.0 172.0 109697;1424.0 58.0 109762;1139.0 32.0 109763;950.0 14.0 109764;1486.0 59.0 109766;895.0 41.0 109767;460.0 11.0 109769;1555.0 58.0 109761;2502.0 98.0 109740;1515.0 40.0 109741;4576.0 114.0 109745;43299.0 1767.0 109746;832.0 22.0 109731;1810.0 74.0 109684;1712.0 75.0 109755;2659.0 102.0 109686;16.0 0.0 109752;5047.0 70.0 109723;1778.0 54.0 109756;1653.0 46.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 287;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1022;109697 961;109762 1022;109763 1018;109764 971;109766 1015;109767 1013;109769 1001;109761 995;109740 977;109741 1028;109745 941;109746 21;109731 1049;109684 986;109755 959;109686 1019;109752 1006;109723 1044;109756 947;109758 1005
data,1241948400,1982083.0;71191.0;1990326.0;92716.0;1877690.0;79962.0;2004092.0;102592.0;1.29696188653;1.18564997921;1.42525503926,1534.0 39.0 109760;1653.0 61.0 109761;1498.0 59.0 109762;861.0 22.0 109731;958.0 14.0 109764;1586.0 62.0 109766;8243.0 172.0 109697;491.0 12.0 109769;918.0 41.0 109767;2790.0 105.0 109740;1525.0 40.0 109741;4606.0 114.0 109745;1168.0 32.0 109763;1841.0 75.0 109684;1729.0 75.0 109755;2741.0 103.0 109686;33.0 1.0 109752;5060.0 70.0 109723;1805.0 55.0 109756;1668.0 46.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 993;109761 987;109762 994;109731 1028;109764 1029;109766 1041;109697 1014;109769 1010;109767 1049;109740 988;109741 996;109745 1004;109763 1089;109684 973;109755 990;109686 964;109752 967;109723 931;109756 957;109758 996
