
New Run at  02/04/2015 22:22:57
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,979.0;28.0;1021.0;36.0;1011.0;25.0;981.0;17.0;1.23282496152;0.864596580472;0.605905053153,56.0 3.0 109473;49.0 1.0 109506;73.0 5.0 109508;53.0 2.0 109509;32.0 0.0 109510;45.0 0.0 109511;49.0 1.0 109512;39.0 0.0 109513;50.0 5.0 109514;53.0 1.0 109515;36.0 1.0 109484;60.0 2.0 109453;50.0 1.0 109492;50.0 5.0 109505;52.0 1.0 109494;48.0 1.0 109495;46.0 1.0 109498;45.0 1.0 109501;44.0 1.0 109502;91.0 4.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1942.0;48.0;2007.0;65.0;1969.0;55.0;1960.0;39.0;1.31030974921;1.13012104283;0.805038265306,143.0 7.0 109473;104.0 4.0 109506;151.0 7.0 109508;99.0 3.0 109509;74.0 4.0 109510;87.0 7.0 109505;78.0 1.0 109512;79.0 2.0 109513;127.0 8.0 109514;96.0 1.0 109515;68.0 2.0 109484;103.0 3.0 109453;16.0 0.0 109519;105.0 2.0 109492;95.0 2.0 109494;90.0 2.0 109495;71.0 0.0 109511;88.0 1.0 109498;81.0 1.0 109501;97.0 2.0 109502;155.0 6.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,2986.0;82.0;3056.0;94.0;2992.0;85.0;2946.0;65.0;1.12008364194;1.03450665188;0.803445763582,261.0 13.0 109473;171.0 8.0 109506;227.0 8.0 109508;168.0 7.0 109509;149.0 5.0 109510;101.0 0.0 109511;107.0 2.0 109512;126.0 2.0 109513;214.0 8.0 109514;121.0 1.0 109515;108.0 4.0 109484;162.0 5.0 109453;39.0 0.0 109519;135.0 2.0 109492;148.0 6.0 109494;130.0 3.0 109495;115.0 1.0 109498;109.0 1.0 109501;157.0 4.0 109502;221.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,3967.0;107.0;4083.0;123.0;3994.0;115.0;3950.0;95.0;1.11687393135;1.06750078389;0.891671595883,383.0 16.0 109473;264.0 11.0 109506;286.0 8.0 109508;242.0 8.0 109509;233.0 7.0 109510;124.0 1.0 109511;122.0 2.0 109512;163.0 3.0 109513;274.0 9.0 109514;137.0 2.0 109515;173.0 6.0 109484;207.0 6.0 109453;61.0 0.0 109519;162.0 2.0 109492;210.0 8.0 109494;159.0 4.0 109495;139.0 1.0 109498;131.0 2.0 109501;210.0 6.0 109502;316.0 14.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,4917.0;127.0;5075.0;153.0;4986.0;137.0;4928.0;126.0;1.16721771847;1.06381174375;0.989911417323,467.0 17.0 109473;343.0 12.0 109506;339.0 8.0 109508;291.0 9.0 109509;300.0 8.0 109510;156.0 2.0 109511;141.0 3.0 109512;204.0 4.0 109513;317.0 11.0 109514;159.0 2.0 109515;232.0 10.0 109484;271.0 11.0 109453;78.0 0.0 109519;179.0 2.0 109492;307.0 16.0 109494;188.0 4.0 109495;165.0 1.0 109498;161.0 2.0 109501;251.0 6.0 109502;439.0 18.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,5941.0;155.0;6071.0;180.0;5972.0;166.0;5924.0;145.0;1.13642329212;1.06540846531;0.938168412799,527.0 17.0 109473;415.0 15.0 109506;368.0 9.0 109508;339.0 10.0 109509;378.0 12.0 109510;180.0 2.0 109511;160.0 3.0 109512;242.0 6.0 109513;358.0 11.0 109514;185.0 2.0 109515;310.0 13.0 109484;322.0 11.0 109453;100.0 0.0 109519;197.0 2.0 109492;438.0 20.0 109494;223.0 5.0 109495;183.0 2.0 109498;186.0 2.0 109501;320.0 9.0 109502;553.0 22.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,6918.0;184.0;7081.0;209.0;6971.0;183.0;6976.0;187.0;1.10972258892;0.987003611234;1.0078545697,576.0 17.0 109473;492.0 17.0 109506;408.0 12.0 109508;398.0 12.0 109509;442.0 13.0 109510;204.0 2.0 109511;182.0 4.0 109512;284.0 7.0 109513;403.0 12.0 109514;202.0 3.0 109515;389.0 16.0 109484;389.0 13.0 109453;116.0 0.0 109519;214.0 2.0 109492;561.0 22.0 109494;247.0 5.0 109495;206.0 2.0 109498;200.0 3.0 109501;366.0 9.0 109502;715.0 31.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,7886.0;211.0;8079.0;231.0;7943.0;205.0;7996.0;222.0;1.06863326546;0.964591911684;1.03765863975,618.0 17.0 109473;545.0 17.0 109506;469.0 15.0 109508;449.0 13.0 109509;505.0 15.0 109510;220.0 2.0 109511;209.0 4.0 109512;322.0 7.0 109513;439.0 12.0 109514;223.0 3.0 109515;457.0 16.0 109484;438.0 13.0 109453;128.0 0.0 109519;237.0 2.0 109492;665.0 23.0 109494;286.0 7.0 109495;217.0 2.0 109498;224.0 4.0 109501;395.0 9.0 109502;946.0 43.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,8885.0;236.0;9066.0;255.0;8975.0;232.0;9002.0;254.0;1.05893644348;0.973192955951;1.06228276955,645.0 17.0 109473;587.0 17.0 109506;547.0 18.0 109508;501.0 13.0 109509;562.0 18.0 109510;242.0 3.0 109511;227.0 4.0 109512;351.0 7.0 109513;465.0 13.0 109514;238.0 3.0 109515;520.0 18.0 109484;493.0 14.0 109453;133.0 0.0 109519;247.0 2.0 109492;763.0 26.0 109494;314.0 7.0 109495;233.0 2.0 109498;254.0 4.0 109501;423.0 10.0 109502;1234.0 52.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,9886.0;266.0;10033.0;283.0;9964.0;256.0;9992.0;289.0;1.04832174126;0.95487212612;1.07494040345,671.0 19.0 109473;624.0 17.0 109506;633.0 22.0 109508;542.0 13.0 109509;670.0 26.0 109510;258.0 3.0 109511;243.0 4.0 109512;371.0 8.0 109513;488.0 13.0 109514;251.0 3.0 109515;580.0 19.0 109484;525.0 15.0 109453;148.0 0.0 109519;261.0 2.0 109492;861.0 30.0 109494;339.0 7.0 109495;248.0 3.0 109498;280.0 4.0 109501;444.0 10.0 109502;1509.0 58.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
