data,1241334900,396965.0;14363.0;400342.0;17459.0;373861.0;13390.0;398095.0;18740.0;1.20530030702;0.989868423013;1.30103781692,873.0 25.0 109568;6056.0 94.0 109536;9018.0 593.0 109571;8818.0 376.0 109476;4774.0 184.0 109541;15342.0 618.0 109542;432.0 14.0 109569;4851.0 163.0 109551;5019.0 147.0 109553;19692.0 879.0 109524;4856.0 168.0 109557;3204.0 94.0 109560;7497.0 296.0 109561;2497.0 65.0 109562;2417.0 64.0 109563;1709.0 42.0 109564;1491.0 42.0 109565;2420.0 79.0 109566;2413.0 88.0 109567,109536.0 5597;109568.0 5597;109571.0 5597;109476.0 5597;109541.0 5597;109542.0 5597;109569.0 5597;109551.0 5597;109553.0 5597;109524.0 5597;109557.0 5597;109560.0 5597;109561.0 5597;109562.0 5597;109563.0 5597;109564.0 5597;109565.0 5597;109566.0 5597;109567.0 5597,109568 296;109536 299;109571 303;109476 271;109541 278;109542 304;109569 294;109551 300;109553 304;109524 308;109557 280;109560 340;109561 298;109562 327;109563 286;109564 259;109565 276;109566 289;109567 285
data,1241335500,397713.0;14383.0;401075.0;17481.0;374625.0;13402.0;398816.0;18756.0;1.20520517313;0.989220628262;1.30043292674,915.0 26.0 109568;6087.0 95.0 109536;9066.0 597.0 109571;8868.0 378.0 109476;4809.0 185.0 109541;15379.0 619.0 109542;495.0 18.0 109569;4879.0 163.0 109551;5059.0 148.0 109553;19717.0 879.0 109524;4889.0 169.0 109557;3240.0 95.0 109560;7534.0 296.0 109561;2538.0 67.0 109562;2440.0 64.0 109563;1743.0 42.0 109564;1532.0 43.0 109565;2472.0 81.0 109566;2450.0 88.0 109567,109536.0 14403;109568.0 14403;109571.0 14403;109476.0 14403;109541.0 14403;109542.0 14403;109569.0 14403;109551.0 14403;109553.0 14403;109524.0 14403;109557.0 14403;109560.0 14403;109561.0 14403;109562.0 14403;109563.0 14403;109564.0 14403;109565.0 14403;109566.0 14403;109567.0 14403,109568 767;109536 789;109571 791;109476 747;109541 779;109542 715;109569 753;109551 773;109553 804;109524 720;109557 790;109560 735;109561 743;109562 718;109563 726;109564 759;109565 786;109566 770;109567 738
data,1241336400,398814.0;14406.0;402147.0;17497.0;375719.0;13421.0;399911.0;18793.0;1.204497058;0.988891635796;1.30094743352,6148.0 95.0 109536;971.0 27.0 109568;9172.0 600.0 109571;8942.0 379.0 109476;4867.0 186.0 109541;15424.0 619.0 109542;587.0 20.0 109569;4930.0 164.0 109551;5097.0 148.0 109553;19739.0 879.0 109524;4966.0 172.0 109557;3289.0 95.0 109560;7578.0 296.0 109561;2603.0 68.0 109562;2483.0 65.0 109563;1780.0 42.0 109564;1579.0 44.0 109565;2535.0 81.0 109566;2494.0 89.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,399837.0;14424.0;403153.0;17527.0;376777.0;13448.0;401008.0;18839.0;1.20513294028;0.989396986244;1.30227311835,6181.0 95.0 109536;1052.0 30.0 109568;9334.0 613.0 109571;8983.0 380.0 109476;4904.0 186.0 109541;15453.0 619.0 109542;663.0 22.0 109569;4975.0 164.0 109551;5141.0 150.0 109553;19770.0 879.0 109524;5033.0 173.0 109557;3343.0 97.0 109560;7611.0 296.0 109561;2661.0 70.0 109562;2524.0 67.0 109563;1808.0 42.0 109564;1634.0 46.0 109565;2585.0 81.0 109566;2535.0 89.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,400941.0;14450.0;404274.0;17566.0;377771.0;13468.0;402111.0;18880.0;1.20561790452;0.989206847718;1.30277272766,1101.0 31.0 109568;763.0 26.0 109569;9651.0 632.0 109571;6206.0 95.0 109536;4964.0 189.0 109541;15494.0 620.0 109542;5008.0 164.0 109551;5203.0 152.0 109553;9022.0 380.0 109476;19792.0 879.0 109524;5079.0 173.0 109557;3386.0 97.0 109560;7636.0 297.0 109561;2722.0 72.0 109562;2569.0 69.0 109563;1843.0 42.0 109564;1696.0 48.0 109565;2606.0 81.0 109566;2570.0 91.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,402030.0;14469.0;405324.0;17597.0;378818.0;13487.0;403205.0;18928.0;1.20630258757;0.989246895278;1.30436387876,6228.0 95.0 109536;844.0 28.0 109569;10011.0 651.0 109571;9057.0 380.0 109476;5021.0 189.0 109541;15526.0 621.0 109542;1132.0 31.0 109568;5027.0 164.0 109551;5254.0 152.0 109553;19830.0 880.0 109524;5112.0 173.0 109557;3406.0 97.0 109560;7670.0 298.0 109561;2765.0 72.0 109562;2656.0 74.0 109563;1851.0 42.0 109564;1733.0 49.0 109565;2631.0 82.0 109566;2607.0 91.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,403121.0;14486.0;406315.0;17624.0;379849.0;13501.0;404222.0;18971.0;1.20705919972;0.989103848527;1.30604222859,6249.0 95.0 109536;920.0 28.0 109569;10436.0 668.0 109571;9076.0 380.0 109476;5044.0 189.0 109541;1159.0 31.0 109568;15553.0 621.0 109542;5043.0 165.0 109551;5284.0 153.0 109553;19857.0 881.0 109524;5140.0 174.0 109557;3437.0 98.0 109560;7698.0 299.0 109561;2789.0 72.0 109562;2743.0 77.0 109563;1867.0 43.0 109564;1774.0 49.0 109565;2654.0 82.0 109566;2629.0 91.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,404183.0;14500.0;407380.0;17662.0;380872.0;13525.0;405256.0;19013.0;1.20850991381;0.989847448976;1.30776959357,1182.0 31.0 109568;947.0 28.0 109569;10958.0 695.0 109571;9092.0 380.0 109476;5063.0 189.0 109541;15580.0 622.0 109542;5076.0 167.0 109551;5326.0 153.0 109553;19874.0 881.0 109524;5196.0 177.0 109557;6269.0 95.0 109536;3462.0 98.0 109560;7722.0 299.0 109561;2835.0 73.0 109562;2800.0 77.0 109563;1888.0 44.0 109564;1816.0 50.0 109565;2667.0 82.0 109566;2664.0 93.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,405215.0;14521.0;408414.0;17698.0;381895.0;13540.0;406323.0;19064.0;1.20924014852;0.98938125981;1.3092772179,1207.0 32.0 109568;976.0 28.0 109569;11529.0 723.0 109571;9106.0 381.0 109476;5091.0 189.0 109541;15599.0 622.0 109542;3483.0 98.0 109560;5105.0 167.0 109551;5353.0 153.0 109553;19897.0 881.0 109524;5233.0 178.0 109557;6291.0 95.0 109536;7750.0 300.0 109561;2849.0 73.0 109562;2854.0 79.0 109563;1907.0 44.0 109564;1843.0 50.0 109565;2693.0 83.0 109566;2685.0 94.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,406266.0;14546.0;409477.0;17742.0;382921.0;13566.0;407332.0;19112.0;1.21015209516;0.98948570245;1.3104622113,6306.0 96.0 109536;1228.0 32.0 109568;12178.0 760.0 109571;9127.0 381.0 109476;5104.0 189.0 109541;15613.0 622.0 109542;1006.0 28.0 109569;5127.0 167.0 109551;5376.0 154.0 109553;19916.0 882.0 109524;5263.0 178.0 109557;3500.0 98.0 109560;7768.0 300.0 109561;2875.0 73.0 109562;2911.0 80.0 109563;1927.0 45.0 109564;1863.0 50.0 109565;2708.0 83.0 109566;2718.0 96.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
data,1241344500,407334.0;14559.0;410523.0;17779.0;383951.0;13589.0;408366.0;19154.0;1.21168282471;0.99021798848;1.31228759318,6336.0 96.0 109536;1030.0 28.0 109569;12847.0 793.0 109571;9144.0 381.0 109476;5115.0 189.0 109541;15631.0 624.0 109542;1248.0 32.0 109568;5142.0 167.0 109551;5396.0 155.0 109553;19931.0 882.0 109524;5289.0 178.0 109557;3513.0 98.0 109560;7783.0 300.0 109561;2899.0 73.0 109562;2953.0 80.0 109563;1946.0 45.0 109564;1878.0 50.0 109565;2728.0 84.0 109566;2751.0 96.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1057;109569 1111;109571 1033;109476 998;109541 1099;109542 1036;109568 1031;109551 1044;109553 1043;109524 1076;109557 1031;109560 1061;109561 1056;109562 1052;109563 1012;109564 1052;109565 1037;109566 1066;109567 1105
