data,1241395200,526666.0;18357.0;529952.0;22270.0;497045.0;17067.0;528328.0;24220.0;1.20563891126;0.985133422725;1.31523720521,5778.0 183.0 109569;6452.0 276.0 109572;2711.0 101.0 109573;4105.0 164.0 109574;4325.0 179.0 109575;2054.0 78.0 109576;3518.0 167.0 109577;1379.0 44.0 109578;2170.0 92.0 109579;1479.0 56.0 109580;876.0 26.0 109581;3130.0 165.0 109582;132.0 4.0 109583;90.0 4.0 109585;80.0 0.0 109586;13640.0 520.0 109476;2781.0 98.0 109517;26788.0 1147.0 109524;8623.0 115.0 109536;2969.0 108.0 109539;11837.0 429.0 109551;13425.0 514.0 109561,109569.0 9853;109572.0 9853;109573.0 9853;109574.0 9853;109575.0 9853;109576.0 9853;109577.0 9853;109578.0 9853;109579.0 9853;109580.0 9853;109581.0 9853;109582.0 9853;109583.0 9853;109585.0 9853;109586.0 9853;109476.0 9853;109517.0 9853;109524.0 9853;109536.0 9853;109539.0 9853;109551.0 9853;109561.0 9853,109569 459;109572 458;109573 500;109574 436;109575 425;109576 453;109577 426;109578 439;109579 430;109580 472;109581 433;109582 453;109583 433;109585 452;109586 476;109476 430;109517 450;109524 445;109536 422;109539 438;109551 480;109561 443
data,1241395200,527139.0;18375.0;530409.0;22288.0;497510.0;17085.0;528822.0;24232.0;1.20547446432;0.985169525461;1.31455132304,5803.0 186.0 109569;6472.0 276.0 109572;2745.0 104.0 109573;4126.0 165.0 109574;4345.0 179.0 109575;2065.0 78.0 109576;3535.0 168.0 109577;1398.0 44.0 109578;2203.0 95.0 109579;1496.0 56.0 109580;897.0 26.0 109581;3159.0 168.0 109582;151.0 4.0 109583;112.0 4.0 109585;98.0 0.0 109586;13664.0 520.0 109476;2801.0 98.0 109517;26808.0 1148.0 109524;8645.0 115.0 109536;2984.0 108.0 109539;11853.0 431.0 109551;13439.0 515.0 109561,109569.0 10147;109572.0 10147;109573.0 10147;109574.0 10147;109575.0 10147;109576.0 10147;109577.0 10147;109578.0 10147;109579.0 10147;109580.0 10147;109581.0 10147;109582.0 10147;109583.0 10147;109585.0 10147;109586.0 10147;109476.0 10147;109517.0 10147;109524.0 10147;109536.0 10147;109539.0 10147;109551.0 10147;109561.0 10147,109569 519;109572 416;109573 469;109574 438;109575 484;109576 449;109577 409;109578 489;109579 441;109580 483;109581 475;109582 484;109583 477;109585 425;109586 426;109476 447;109517 430;109524 466;109536 469;109539 490;109551 474;109561 487
data,1241395800,528015.0;18396.0;531341.0;22321.0;498399.0;17105.0;529742.0;24269.0;1.20576640125;0.985073816602;1.31495331474,5859.0 188.0 109569;6499.0 277.0 109572;2796.0 105.0 109573;4161.0 165.0 109574;4378.0 179.0 109575;2111.0 79.0 109576;3579.0 170.0 109577;1438.0 44.0 109578;2254.0 95.0 109579;1531.0 59.0 109580;932.0 28.0 109581;3260.0 173.0 109582;178.0 4.0 109583;139.0 5.0 109585;136.0 3.0 109586;13696.0 520.0 109476;2826.0 100.0 109517;26848.0 1149.0 109524;8675.0 115.0 109536;3017.0 108.0 109539;11912.0 434.0 109551;13506.0 521.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 914;109572 929;109573 898;109574 905;109575 881;109576 920;109577 952;109578 922;109579 973;109580 873;109581 896;109582 923;109583 943;109585 889;109586 899;109476 884;109517 983;109524 884;109536 863;109539 875;109551 930;109561 864
data,1241396100,528939.0;18425.0;532240.0;22352.0;499302.0;17138.0;530664.0;24306.0;1.20561036094;0.985359994792;1.31489768442,5906.0 192.0 109569;6530.0 277.0 109572;2849.0 106.0 109573;4187.0 165.0 109574;4406.0 180.0 109575;2133.0 79.0 109576;3617.0 171.0 109577;1452.0 44.0 109578;2326.0 100.0 109579;1567.0 59.0 109580;955.0 28.0 109581;3358.0 179.0 109582;202.0 4.0 109583;166.0 5.0 109585;178.0 3.0 109586;13716.0 520.0 109476;2877.0 102.0 109517;26899.0 1152.0 109524;8699.0 115.0 109536;3038.0 108.0 109539;11977.0 436.0 109551;13592.0 527.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 863;109572 943;109573 923;109574 872;109575 937;109576 933;109577 897;109578 903;109579 946;109580 987;109581 907;109582 925;109583 877;109585 885;109586 879;109476 884;109517 920;109524 898;109536 893;109539 886;109551 888;109561 954
data,1241396400,529837.0;18461.0;533142.0;22386.0;500254.0;17173.0;531579.0;24334.0;1.20509327617;0.985241418274;1.31381056103,5994.0 195.0 109569;6556.0 278.0 109572;2889.0 107.0 109573;4206.0 165.0 109574;4443.0 183.0 109575;2153.0 79.0 109576;3646.0 172.0 109577;1469.0 44.0 109578;2379.0 101.0 109579;1594.0 59.0 109580;980.0 30.0 109581;3507.0 189.0 109582;230.0 7.0 109583;184.0 5.0 109585;210.0 4.0 109586;13740.0 520.0 109476;2916.0 103.0 109517;26948.0 1154.0 109524;8717.0 115.0 109536;3067.0 110.0 109539;12025.0 438.0 109551;13679.0 528.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 869;109572 926;109573 909;109574 915;109575 922;109576 861;109577 837;109578 940;109579 900;109580 945;109581 889;109582 955;109583 924;109585 909;109586 876;109476 902;109517 918;109524 881;109536 909;109539 964;109551 935;109561 914
data,1241396700,530817.0;18493.0;534048.0;22420.0;501167.0;17204.0;532481.0;24360.0;1.20501587611;0.985336159865;1.31313876294,6077.0 199.0 109569;6585.0 280.0 109572;2923.0 108.0 109573;4218.0 165.0 109574;4488.0 185.0 109575;2179.0 81.0 109576;3673.0 172.0 109577;1484.0 44.0 109578;2428.0 102.0 109579;1609.0 60.0 109580;1012.0 32.0 109581;3678.0 197.0 109582;279.0 10.0 109583;209.0 6.0 109585;246.0 5.0 109586;13755.0 521.0 109476;2956.0 104.0 109517;27000.0 1155.0 109524;8739.0 115.0 109536;3089.0 110.0 109539;12067.0 440.0 109551;13744.0 529.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 865;109572 914;109573 926;109574 901;109575 960;109576 875;109577 919;109578 896;109579 933;109580 838;109581 867;109582 909;109583 920;109585 952;109586 831;109476 980;109517 968;109524 927;109536 885;109539 882;109551 924;109561 928
data,1241397000,531732.0;18515.0;534977.0;22454.0;502058.0;17229.0;533416.0;24398.0;1.20539028849;0.985542279568;1.31358224433,6167.0 203.0 109569;6617.0 282.0 109572;2947.0 108.0 109573;4225.0 165.0 109574;4535.0 186.0 109575;2205.0 82.0 109576;3702.0 172.0 109577;1503.0 44.0 109578;2485.0 105.0 109579;1630.0 60.0 109580;1069.0 34.0 109581;3859.0 206.0 109582;349.0 14.0 109583;223.0 6.0 109585;264.0 5.0 109586;13770.0 521.0 109476;2993.0 105.0 109517;27038.0 1156.0 109524;8756.0 116.0 109536;3102.0 110.0 109539;12122.0 442.0 109551;13806.0 532.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 881;109572 972;109573 932;109574 864;109575 919;109576 896;109577 896;109578 953;109579 939;109580 933;109581 836;109582 922;109583 921;109585 931;109586 901;109476 894;109517 910;109524 881;109536 879;109539 868;109551 918;109561 954
data,1241397300,532675.0;18543.0;535900.0;22488.0;502954.0;17254.0;534337.0;24438.0;1.20545052875;0.985470988455;1.31381050139,6261.0 206.0 109569;6663.0 285.0 109572;2970.0 108.0 109573;4236.0 165.0 109574;4579.0 188.0 109575;2229.0 83.0 109576;3720.0 173.0 109577;1514.0 44.0 109578;2551.0 108.0 109579;1649.0 61.0 109580;1112.0 36.0 109581;4056.0 216.0 109582;394.0 15.0 109583;238.0 7.0 109585;284.0 5.0 109586;13786.0 521.0 109476;3027.0 106.0 109517;27087.0 1159.0 109524;8776.0 116.0 109536;3123.0 110.0 109539;12178.0 444.0 109551;13857.0 532.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 911;109572 920;109573 912;109574 881;109575 895;109576 936;109577 893;109578 911;109579 942;109580 986;109581 917;109582 879;109583 905;109585 890;109586 877;109476 940;109517 857;109524 934;109536 936;109539 877;109551 931;109561 870
data,1241397600,533587.0;18563.0;536823.0;22520.0;503870.0;17282.0;535303.0;24468.0;1.20585294087;0.985899337266;1.31388050877,6358.0 210.0 109569;6706.0 286.0 109572;2985.0 108.0 109573;4248.0 166.0 109574;4608.0 188.0 109575;2256.0 84.0 109576;3737.0 173.0 109577;1536.0 45.0 109578;2625.0 111.0 109579;1678.0 62.0 109580;1142.0 36.0 109581;4265.0 222.0 109582;467.0 19.0 109583;255.0 7.0 109585;299.0 5.0 109586;13800.0 521.0 109476;3074.0 111.0 109517;27127.0 1161.0 109524;8784.0 116.0 109536;3147.0 111.0 109539;12229.0 445.0 109551;13887.0 533.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 921;109572 889;109573 915;109574 929;109575 849;109576 862;109577 904;109578 933;109579 999;109580 927;109581 867;109582 933;109583 933;109585 871;109586 928;109476 927;109517 902;109524 926;109536 912;109539 878;109551 914;109561 881
data,1241397900,534502.0;18602.0;537738.0;22567.0;504763.0;17313.0;536230.0;24508.0;1.20584863436;0.98554057885;1.31324712524,6434.0 212.0 109569;6748.0 287.0 109572;3009.0 110.0 109573;4267.0 167.0 109574;4637.0 190.0 109575;2287.0 86.0 109576;3757.0 174.0 109577;1553.0 46.0 109578;2673.0 113.0 109579;1697.0 62.0 109580;1168.0 37.0 109581;4483.0 238.0 109582;531.0 21.0 109583;267.0 7.0 109585;312.0 5.0 109586;13813.0 521.0 109476;3151.0 115.0 109517;27173.0 1163.0 109524;8791.0 116.0 109536;3160.0 111.0 109539;12302.0 453.0 109551;13915.0 533.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 893;109572 950;109573 945;109574 853;109575 952;109576 921;109577 870;109578 926;109579 910;109580 912;109581 936;109582 881;109583 975;109585 887;109586 894;109476 964;109517 859;109524 934;109536 867;109539 846;109551 938;109561 887
data,1241398200,535443.0;18635.0;538667.0;22596.0;505666.0;17349.0;537111.0;24535.0;1.20529968703;0.985813001783;1.31251980015,6497.0 216.0 109569;6798.0 291.0 109572;3037.0 112.0 109573;4280.0 167.0 109574;4679.0 191.0 109575;2321.0 87.0 109576;3786.0 175.0 109577;1566.0 46.0 109578;2735.0 115.0 109579;1720.0 63.0 109580;1196.0 37.0 109581;4699.0 244.0 109582;575.0 22.0 109583;282.0 7.0 109585;317.0 5.0 109586;13820.0 521.0 109476;3218.0 115.0 109517;27223.0 1165.0 109524;8800.0 116.0 109536;3181.0 111.0 109539;12384.0 456.0 109551;13943.0 534.0 109561,109569.0 20000;109572.0 20000;109573.0 20000;109574.0 20000;109575.0 20000;109576.0 20000;109577.0 20000;109578.0 20000;109579.0 20000;109580.0 20000;109581.0 20000;109582.0 20000;109583.0 20000;109585.0 20000;109586.0 20000;109476.0 20000;109517.0 20000;109524.0 20000;109536.0 20000;109539.0 20000;109551.0 20000;109561.0 20000,109569 892;109572 928;109573 865;109574 932;109575 894;109576 940;109577 907;109578 900;109579 889;109580 946;109581 939;109582 893;109583 905;109585 879;109586 875;109476 879;109517 938;109524 871;109536 943;109539 896;109551 909;109561 980
