data,1241842800,1790360.0;64920.0;1802570.0;83005.0;1686452.0;62122.0;1803440.0;92967.0;1.26991300341;1.01585868916;1.42163783746,7607.0 184.0 109697;4238.0 191.0 109711;211.0 2.0 109714;4207.0 121.0 109720;24798.0 1350.0 109721;4853.0 177.0 109722;2474.0 38.0 109723;2496.0 75.0 109725;2150.0 53.0 109726;2095.0 47.0 109728;4855.0 232.0 109732;2825.0 136.0 109734;1271.0 27.0 109735;4633.0 226.0 109737;7010.0 406.0 109742;3880.0 204.0 109743;794.0 14.0 109744;811.0 27.0 109745;1663.0 76.0 109746;868.0 32.0 109747;573.0 24.0 109748;2108.0 127.0 109749;12224.0 269.0 109667,109697.0 16553;109711.0 16553;109714.0 16553;109720.0 16553;109721.0 16553;109722.0 16553;109723.0 16553;109725.0 16553;109726.0 16553;109728.0 16553;109732.0 16553;109734.0 16553;109735.0 16553;109737.0 16553;109742.0 16553;109743.0 16553;109744.0 16553;109745.0 16553;109746.0 16553;109747.0 16553;109748.0 16553;109749.0 16553;109667.0 16553,109697 746;109711 695;109714 741;109720 752;109721 714;109722 766;109723 742;109725 760;109726 696;109728 682;109732 722;109734 752;109735 728;109737 692;109742 726;109743 731;109744 709;109745 685;109746 709;109747 684;109748 763;109749 692;109667 666
data,1241843100,1790512.0;64926.0;1802704.0;83010.0;1686594.0;62126.0;1803578.0;92972.0;1.26988554607;1.01583092491;1.42159482209,7612.0 184.0 109697;4245.0 191.0 109711;215.0 2.0 109714;4215.0 121.0 109720;24803.0 1350.0 109721;4857.0 177.0 109722;2478.0 38.0 109723;2501.0 75.0 109725;2156.0 53.0 109726;2106.0 47.0 109728;4865.0 234.0 109732;2832.0 137.0 109734;1278.0 28.0 109735;4637.0 226.0 109737;7013.0 406.0 109742;3887.0 204.0 109743;800.0 14.0 109744;820.0 27.0 109745;1667.0 76.0 109746;873.0 33.0 109747;575.0 24.0 109748;2117.0 127.0 109749;12226.0 269.0 109667,109697.0 3447;109711.0 3447;109714.0 3447;109720.0 3447;109721.0 3447;109722.0 3447;109723.0 3447;109725.0 3447;109726.0 3447;109728.0 3447;109732.0 3447;109734.0 3447;109735.0 3447;109737.0 3447;109742.0 3447;109743.0 3447;109744.0 3447;109745.0 3447;109746.0 3447;109747.0 3447;109748.0 3447;109749.0 3447;109667.0 3447,109697 166;109711 135;109714 125;109720 169;109721 141;109722 152;109723 158;109725 140;109726 160;109728 166;109732 135;109734 143;109735 144;109737 157;109742 130;109743 155;109744 164;109745 177;109746 133;109747 151;109748 143;109749 154;109667 149
data,1241843400,1791370.0;64955.0;1803578.0;83034.0;1687447.0;62149.0;1804446.0;93013.0;1.26967842608;1.01572633713;1.42158382058,7636.0 185.0 109697;4281.0 191.0 109711;248.0 2.0 109714;4247.0 121.0 109720;24843.0 1351.0 109721;4889.0 177.0 109722;2510.0 40.0 109723;2556.0 77.0 109725;2179.0 53.0 109726;2138.0 47.0 109728;4929.0 235.0 109732;2892.0 141.0 109734;1318.0 30.0 109735;4672.0 229.0 109737;7050.0 406.0 109742;3920.0 204.0 109743;827.0 14.0 109744;859.0 27.0 109745;1705.0 77.0 109746;924.0 36.0 109747;620.0 25.0 109748;2162.0 130.0 109749;12247.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 845;109711 900;109714 881;109720 880;109721 872;109722 835;109723 927;109725 896;109726 869;109728 836;109732 896;109734 854;109735 835;109737 883;109742 892;109743 909;109744 819;109745 835;109746 873;109747 841;109748 844;109749 906;109667 872
data,1241844000,1792232.0;64978.0;1804407.0;83061.0;1688335.0;62181.0;1805368.0;93050.0;1.26966906917;1.01584387401;1.42160363291,7669.0 186.0 109697;4298.0 191.0 109711;269.0 2.0 109714;4268.0 121.0 109720;24890.0 1355.0 109721;4915.0 178.0 109722;2542.0 40.0 109723;2624.0 80.0 109725;2202.0 53.0 109726;2160.0 48.0 109728;4975.0 237.0 109732;2958.0 143.0 109734;1372.0 31.0 109735;4715.0 229.0 109737;7080.0 407.0 109742;3939.0 205.0 109743;849.0 15.0 109744;883.0 27.0 109745;1744.0 79.0 109746;982.0 38.0 109747;659.0 28.0 109748;2216.0 132.0 109749;12272.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 874;109711 855;109714 874;109720 864;109721 833;109722 872;109723 844;109725 900;109726 831;109728 845;109732 830;109734 877;109735 887;109737 920;109742 922;109743 922;109744 851;109745 825;109746 868;109747 930;109748 824;109749 897;109667 855
data,1241844300,1793123.0;64998.0;1805335.0;83101.0;1689164.0;62204.0;1806291.0;93095.0;1.26986787235;1.0159131534;1.42183344574,7709.0 188.0 109697;4321.0 193.0 109711;300.0 3.0 109714;4291.0 122.0 109720;24962.0 1361.0 109721;4937.0 179.0 109722;2575.0 41.0 109723;2664.0 80.0 109725;2225.0 54.0 109726;2202.0 50.0 109728;5034.0 237.0 109732;3030.0 150.0 109734;1411.0 33.0 109735;4804.0 238.0 109737;7111.0 407.0 109742;3979.0 207.0 109743;868.0 15.0 109744;911.0 27.0 109745;1781.0 80.0 109746;1036.0 39.0 109747;693.0 28.0 109748;2269.0 133.0 109749;12296.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 879;109711 903;109714 848;109720 889;109721 875;109722 878;109723 854;109725 879;109726 812;109728 891;109732 871;109734 902;109735 802;109737 886;109742 924;109743 887;109744 844;109745 900;109746 818;109747 865;109748 821;109749 919;109667 853
data,1241844900,1793931.0;65035.0;1806194.0;83137.0;1690035.0;62235.0;1807234.0;93142.0;1.26966323417;1.01577515295;1.42164041344,7752.0 190.0 109697;4346.0 194.0 109711;326.0 4.0 109714;4305.0 122.0 109720;25071.0 1366.0 109721;4967.0 181.0 109722;2600.0 41.0 109723;2693.0 81.0 109725;2242.0 55.0 109726;2231.0 50.0 109728;5072.0 240.0 109732;3107.0 153.0 109734;1455.0 34.0 109735;4895.0 242.0 109737;7141.0 407.0 109742;4017.0 209.0 109743;888.0 15.0 109744;934.0 28.0 109745;1840.0 88.0 109746;1071.0 40.0 109747;713.0 28.0 109748;2291.0 133.0 109749;12311.0 269.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 918;109714 833;109720 863;109721 860;109722 807;109723 858;109725 918;109726 828;109728 874;109732 821;109734 891;109735 881;109737 878;109742 878;109743 889;109744 892;109745 911;109746 913;109747 885;109748 863;109749 836;109667 839
data,1241845500,1794799.0;65065.0;1807078.0;83174.0;1690933.0;62253.0;1808114.0;93181.0;1.26963554973;1.01555224378;1.42157554163,7785.0 190.0 109697;4373.0 195.0 109711;344.0 4.0 109714;4332.0 125.0 109720;25138.0 1366.0 109721;4989.0 181.0 109722;2618.0 42.0 109723;2719.0 82.0 109725;2262.0 57.0 109726;2255.0 51.0 109728;5111.0 241.0 109732;3198.0 156.0 109734;1485.0 34.0 109735;4996.0 246.0 109737;7158.0 407.0 109742;4056.0 211.0 109743;908.0 15.0 109744;958.0 31.0 109745;1952.0 94.0 109746;1108.0 40.0 109747;752.0 31.0 109748;2323.0 136.0 109749;12332.0 272.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 864;109711 853;109714 896;109720 881;109721 879;109722 884;109723 843;109725 825;109726 854;109728 898;109732 869;109734 867;109735 832;109737 887;109742 881;109743 829;109744 867;109745 867;109746 901;109747 889;109748 823;109749 935;109667 876
data,1241846100,1795636.0;65100.0;1807949.0;83199.0;1691772.0;62287.0;1809033.0;93220.0;1.26931451456;1.01553032474;1.42134636972,7808.0 190.0 109697;4410.0 196.0 109711;360.0 4.0 109714;4347.0 125.0 109720;25191.0 1368.0 109721;5009.0 181.0 109722;2647.0 42.0 109723;2745.0 83.0 109725;2297.0 57.0 109726;2273.0 51.0 109728;5151.0 242.0 109732;3279.0 159.0 109734;1508.0 34.0 109735;5107.0 252.0 109737;7170.0 407.0 109742;4104.0 212.0 109743;921.0 15.0 109744;982.0 31.0 109745;2051.0 96.0 109746;1133.0 41.0 109747;811.0 37.0 109748;2365.0 137.0 109749;12354.0 272.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 837;109711 888;109714 895;109720 860;109721 941;109722 854;109723 852;109725 885;109726 841;109728 874;109732 932;109734 849;109735 862;109737 896;109742 838;109743 893;109744 889;109745 851;109746 835;109747 875;109748 855;109749 865;109667 833
data,1241846700,1796470.0;65128.0;1808848.0;83225.0;1692643.0;62313.0;1809907.0;93264.0;1.26912370839;1.0154663074;1.42137936309,7828.0 190.0 109697;4450.0 197.0 109711;374.0 4.0 109714;4377.0 126.0 109720;25242.0 1368.0 109721;5028.0 181.0 109722;2669.0 42.0 109723;2777.0 84.0 109725;2327.0 58.0 109726;2285.0 52.0 109728;5178.0 242.0 109732;3366.0 163.0 109734;1531.0 34.0 109735;5213.0 256.0 109737;7199.0 410.0 109742;4136.0 212.0 109743;941.0 16.0 109744;1007.0 31.0 109745;2153.0 99.0 109746;1154.0 41.0 109747;893.0 40.0 109748;2419.0 140.0 109749;12375.0 272.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 905;109711 877;109714 852;109720 919;109721 874;109722 860;109723 897;109725 876;109726 909;109728 894;109732 864;109734 855;109735 862;109737 870;109742 861;109743 834;109744 873;109745 850;109746 832;109747 841;109748 858;109749 896;109667 841
data,1241847300,1797347.0;65158.0;1809775.0;83266.0;1693547.0;62334.0;1810793.0;93303.0;1.26913348663;1.01529425455;1.42131711856,7846.0 190.0 109697;4495.0 200.0 109711;395.0 5.0 109714;4392.0 126.0 109720;25283.0 1371.0 109721;5041.0 181.0 109722;2684.0 42.0 109723;2808.0 85.0 109725;2344.0 58.0 109726;2306.0 53.0 109728;5200.0 242.0 109732;3499.0 169.0 109734;1553.0 34.0 109735;5336.0 263.0 109737;7224.0 411.0 109742;4176.0 216.0 109743;965.0 17.0 109744;1032.0 31.0 109745;2231.0 102.0 109746;1183.0 41.0 109747;979.0 45.0 109748;2492.0 145.0 109749;12385.0 272.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 836;109711 845;109714 869;109720 835;109721 856;109722 853;109723 875;109725 826;109726 830;109728 910;109732 923;109734 842;109735 874;109737 901;109742 865;109743 912;109744 837;109745 876;109746 878;109747 881;109748 965;109749 878;109667 833
data,1241847900,1798229.0;65183.0;1810597.0;83299.0;1694417.0;62359.0;1811680.0;93352.0;1.26919585145;1.01528856463;1.42151939472,7858.0 191.0 109697;4518.0 201.0 109711;409.0 5.0 109714;4399.0 126.0 109720;25333.0 1372.0 109721;5054.0 181.0 109722;2701.0 42.0 109723;2830.0 86.0 109725;2354.0 58.0 109726;2328.0 54.0 109728;5225.0 244.0 109732;3617.0 174.0 109734;1572.0 35.0 109735;5447.0 266.0 109737;7252.0 414.0 109742;4224.0 217.0 109743;985.0 18.0 109744;1048.0 31.0 109745;2311.0 107.0 109746;1194.0 41.0 109747;1066.0 51.0 109748;2548.0 146.0 109749;12398.0 272.0 109667,109697.0 20000;109711.0 20000;109714.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109725.0 20000;109726.0 20000;109728.0 20000;109732.0 20000;109734.0 20000;109735.0 20000;109737.0 20000;109742.0 20000;109743.0 20000;109744.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109667.0 20000,109697 859;109711 858;109714 916;109720 835;109721 906;109722 836;109723 864;109725 844;109726 813;109728 886;109732 887;109734 860;109735 932;109737 847;109742 887;109743 856;109744 812;109745 856;109746 918;109747 894;109748 896;109749 875;109667 863
