data,1241954400,1987399.0;71069.0;2002193.0;90435.0;1877949.0;68005.0;2003493.0;101156.0;1.26309340223;1.01265593757;1.41191541804,3401.0 90.0 109760;7692.0 338.0 109761;6816.0 284.0 109762;3674.0 111.0 109763;1611.0 24.0 109764;3604.0 135.0 109766;3415.0 129.0 109767;11968.0 264.0 109697;1193.0 33.0 109769;6812.0 300.0 109740;3630.0 112.0 109741;7097.0 107.0 109723;7854.0 229.0 109745;3211.0 118.0 109731;12903.0 608.0 109684;5357.0 201.0 109686;147.0 2.0 109752;5250.0 177.0 109755;3628.0 104.0 109756;5001.0 160.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1987940.0;71080.0;2002750.0;90448.0;1878526.0;68014.0;2004102.0;101177.0;1.26307192214;1.01259775448;1.41194516251,3431.0 92.0 109760;7717.0 338.0 109761;6844.0 285.0 109762;3239.0 119.0 109731;1630.0 24.0 109764;3619.0 135.0 109766;3445.0 130.0 109767;11996.0 264.0 109697;1221.0 34.0 109769;6860.0 304.0 109740;3653.0 112.0 109741;7126.0 108.0 109723;7884.0 229.0 109745;3708.0 111.0 109763;12936.0 608.0 109684;5377.0 201.0 109686;180.0 3.0 109752;5283.0 177.0 109755;3646.0 104.0 109756;5026.0 161.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1988928.0;71102.0;2003744.0;90477.0;1879528.0;68042.0;2005132.0;101207.0;1.26308681548;1.01266433641;1.41190289397,3503.0 94.0 109760;12047.0 266.0 109697;6903.0 288.0 109762;3286.0 119.0 109731;1674.0 26.0 109764;3669.0 136.0 109766;7763.0 339.0 109761;1258.0 35.0 109769;3497.0 131.0 109767;6950.0 309.0 109740;3687.0 112.0 109741;7929.0 229.0 109745;3737.0 111.0 109763;12993.0 612.0 109684;5325.0 179.0 109755;5415.0 202.0 109686;256.0 6.0 109752;7178.0 109.0 109723;3689.0 104.0 109756;5056.0 161.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1989910.0;71130.0;2004747.0;90511.0;1880498.0;68068.0;2006133.0;101234.0;1.2630554488;1.01262988471;1.41171588355,3563.0 98.0 109760;12104.0 268.0 109697;6981.0 292.0 109762;3787.0 115.0 109763;1718.0 26.0 109764;3746.0 142.0 109766;3541.0 132.0 109767;1290.0 35.0 109769;7801.0 340.0 109761;7052.0 311.0 109740;3722.0 113.0 109741;7221.0 109.0 109723;7971.0 231.0 109745;3320.0 120.0 109731;13063.0 615.0 109684;5446.0 202.0 109686;315.0 6.0 109752;5366.0 179.0 109755;3724.0 107.0 109756;5087.0 161.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1990944.0;71146.0;2005752.0;90532.0;1881463.0;68098.0;2007088.0;101255.0;1.26308750068;1.01285489571;1.41175267801,3656.0 99.0 109760;7845.0 340.0 109761;7057.0 296.0 109762;3349.0 120.0 109731;1750.0 26.0 109764;3836.0 144.0 109766;3580.0 132.0 109767;12157.0 269.0 109697;1323.0 35.0 109769;7129.0 313.0 109740;3750.0 114.0 109741;7265.0 110.0 109723;8011.0 232.0 109745;3837.0 117.0 109763;13126.0 615.0 109684;5465.0 203.0 109686;367.0 6.0 109752;5409.0 181.0 109755;3791.0 108.0 109756;5120.0 163.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1991889.0;71174.0;2006750.0;90569.0;1882473.0;68125.0;2008042.0;101284.0;1.2630776785;1.01279493008;1.41160052632,3710.0 101.0 109760;7864.0 340.0 109761;7184.0 302.0 109762;5451.0 182.0 109755;1776.0 26.0 109764;3369.0 120.0 109731;3919.0 147.0 109766;12207.0 271.0 109697;1346.0 35.0 109769;3625.0 134.0 109767;7228.0 317.0 109740;3786.0 116.0 109741;8060.0 234.0 109745;3920.0 119.0 109763;13189.0 617.0 109684;5488.0 203.0 109686;403.0 7.0 109752;7287.0 111.0 109723;3849.0 111.0 109756;5160.0 167.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,1992888.0;71208.0;2007707.0;90608.0;1883435.0;68143.0;2008998.0;101329.0;1.26304933685;1.01256920901;1.41158929565,3773.0 103.0 109760;12260.0 272.0 109697;7279.0 305.0 109762;3964.0 120.0 109763;1794.0 27.0 109764;3986.0 149.0 109766;3664.0 135.0 109767;1365.0 35.0 109769;7903.0 344.0 109761;7322.0 322.0 109740;3818.0 117.0 109741;8109.0 236.0 109745;3392.0 120.0 109731;13255.0 623.0 109684;5481.0 182.0 109755;5518.0 205.0 109686;429.0 7.0 109752;7317.0 112.0 109723;3902.0 113.0 109756;5247.0 172.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,1993887.0;71237.0;2008722.0;90643.0;1884430.0;68164.0;2010039.0;101368.0;1.26301746158;1.01244159249;1.4115339039,3823.0 104.0 109760;7947.0 344.0 109761;7398.0 311.0 109762;5517.0 184.0 109755;1818.0 28.0 109764;4050.0 151.0 109766;12299.0 274.0 109697;1382.0 35.0 109769;4004.0 120.0 109763;3685.0 135.0 109767;7447.0 327.0 109740;3852.0 118.0 109741;8143.0 236.0 109745;3411.0 122.0 109731;13353.0 627.0 109684;5556.0 206.0 109686;458.0 8.0 109752;7343.0 112.0 109723;3945.0 114.0 109756;5362.0 178.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,1994938.0;71268.0;2009687.0;90675.0;1885411.0;68190.0;2011027.0;101405.0;1.26297272782;1.01239382025;1.41148510506,3859.0 105.0 109760;12331.0 275.0 109697;7520.0 314.0 109762;4032.0 120.0 109763;1844.0 29.0 109764;4109.0 153.0 109766;3711.0 136.0 109767;1406.0 35.0 109769;7981.0 347.0 109761;7565.0 334.0 109740;3875.0 118.0 109741;7355.0 112.0 109723;8195.0 238.0 109745;3439.0 124.0 109731;13468.0 630.0 109684;5584.0 207.0 109686;479.0 8.0 109752;5550.0 185.0 109755;3980.0 115.0 109756;5475.0 181.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,1995895.0;71293.0;2010664.0;90717.0;1886369.0;68222.0;2012064.0;101442.0;1.26310652202;1.01248499652;1.41145427154,3903.0 107.0 109760;12356.0 275.0 109697;7631.0 317.0 109762;5609.0 192.0 109755;1863.0 29.0 109764;4153.0 153.0 109766;3743.0 137.0 109767;1428.0 36.0 109769;4057.0 123.0 109763;7738.0 346.0 109740;3893.0 118.0 109741;8240.0 240.0 109745;3466.0 124.0 109731;13566.0 635.0 109684;5621.0 209.0 109686;500.0 8.0 109752;8027.0 348.0 109761;7373.0 112.0 109723;4020.0 115.0 109756;5548.0 184.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,1996904.0;71321.0;2011664.0;90757.0;1887389.0;68254.0;2013060.0;101482.0;1.26317770204;1.01252662394;1.41147133079,3931.0 107.0 109760;8091.0 352.0 109761;7712.0 319.0 109762;3490.0 124.0 109731;1880.0 30.0 109764;4184.0 154.0 109766;3766.0 138.0 109767;12378.0 276.0 109697;1438.0 36.0 109769;7979.0 353.0 109740;3911.0 118.0 109741;8282.0 243.0 109745;4090.0 123.0 109763;13664.0 639.0 109684;5687.0 198.0 109755;5642.0 210.0 109686;512.0 8.0 109752;7389.0 112.0 109723;4057.0 115.0 109756;5652.0 193.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
