
New Run at  02/05/2015 06:30:46
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241766300,1585893.0;58335.0;1586495.0;61790.0;1507673.0;68142.0;1597454.0;83463.0;1.05882495261;1.22871850438;1.42039884276,1973.0 38.0 109697;1966.0 72.0 109698;224123.0 9453.0 109635;1769.0 70.0 109699;1501.0 48.0 109701;1364.0 33.0 109702;1282.0 64.0 109704;2692.0 108.0 109673;1079.0 34.0 109706;1015.0 51.0 109675;646.0 29.0 109708;602.0 23.0 109709;481.0 14.0 109710;655.0 21.0 109707;1996.0 54.0 109651;45.0 1.0 109716;2739.0 113.0 109689;2438.0 94.0 109690;5163.0 101.0 109667;5714.0 64.0 109660,109697.0 11555;109635.0 11555;109667.0 11555;109699.0 11555;109701.0 11555;109702.0 11555;109704.0 11555;109673.0 11555;109706.0 11555;109707.0 11555;109708.0 11555;109709.0 11555;109710.0 11555;109651.0 11555;109716.0 11555;109698.0 11555;109689.0 11555;109690.0 11555;109675.0 11555;109660.0 11555,109697 568;109698 594;109635 570;109699 570;109701 602;109702 549;109704 602;109673 571;109706 581;109675 561;109708 589;109709 604;109710 584;109707 559;109651 581;109716 592;109689 590;109690 578;109667 555;109660 555
data,1241766900,1586924.0;58358.0;1587531.0;61814.0;1508702.0;68164.0;1598411.0;83492.0;1.05881567436;1.2285910021;1.42040480708,1990.0 38.0 109697;1981.0 73.0 109698;5176.0 101.0 109667;1789.0 71.0 109699;1510.0 48.0 109701;1387.0 33.0 109702;1297.0 65.0 109704;2708.0 109.0 109673;1100.0 36.0 109706;1030.0 51.0 109675;662.0 30.0 109708;619.0 24.0 109709;507.0 14.0 109710;2015.0 54.0 109651;675.0 21.0 109707;224845.0 9468.0 109635;2752.0 113.0 109689;56.0 2.0 109716;2451.0 94.0 109690;5729.0 64.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1003;109698 1008;109667 1045;109699 1015;109701 986;109702 979;109704 958;109673 963;109706 998;109675 976;109708 1020;109709 1037;109710 1035;109651 976;109707 1038;109635 1023;109689 940;109716 1023;109690 985;109660 992
data,1241767800,1587939.0;58369.0;1588563.0;61841.0;1509691.0;68184.0;1599478.0;83515.0;1.05906745653;1.22870032095;1.42048867884,2014.0 38.0 109697;2002.0 73.0 109698;5195.0 101.0 109667;1527.0 48.0 109701;1404.0 33.0 109702;1310.0 66.0 109704;2728.0 109.0 109673;1123.0 36.0 109706;689.0 22.0 109707;679.0 31.0 109708;631.0 25.0 109709;525.0 14.0 109710;2034.0 54.0 109651;1804.0 71.0 109699;72.0 2.0 109716;225551.0 9490.0 109635;2767.0 113.0 109689;2467.0 94.0 109690;1048.0 52.0 109675;5741.0 64.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 993;109698 993;109667 1018;109701 949;109702 959;109704 1026;109673 1025;109706 946;109707 996;109708 967;109709 1053;109710 1061;109651 967;109699 1031;109716 1000;109635 997;109689 1021;109690 963;109675 984;109660 1051
data,1241768700,1588928.0;58386.0;1589562.0;61868.0;1510690.0;68215.0;1600527.0;83534.0;1.05921494577;1.22885325544;1.4203512846,2034.0 38.0 109697;2023.0 73.0 109698;226252.0 9511.0 109635;1827.0 71.0 109699;1541.0 48.0 109701;1427.0 33.0 109702;1322.0 66.0 109704;2741.0 110.0 109673;1135.0 38.0 109706;706.0 22.0 109707;697.0 31.0 109708;648.0 25.0 109709;538.0 15.0 109710;2043.0 54.0 109651;85.0 2.0 109716;5210.0 101.0 109667;2785.0 114.0 109689;2480.0 94.0 109690;1060.0 53.0 109675;5756.0 64.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 969;109698 1042;109635 1001;109699 1001;109701 1055;109702 1029;109704 955;109673 1064;109706 1048;109707 1000;109708 1002;109709 955;109710 988;109651 967;109716 1003;109667 924;109689 979;109690 1021;109675 1016;109660 981
data,1241769300,1589921.0;58400.0;1590576.0;61901.0;1511689.0;68237.0;1601523.0;83563.0;1.05951214276;1.2289102617;1.42050753465,2043.0 38.0 109697;226967.0 9539.0 109635;1841.0 71.0 109699;1554.0 48.0 109701;1445.0 33.0 109702;1338.0 66.0 109704;2760.0 111.0 109673;1152.0 39.0 109706;722.0 22.0 109707;714.0 31.0 109708;660.0 25.0 109709;552.0 15.0 109710;2061.0 54.0 109651;101.0 2.0 109716;2041.0 74.0 109698;5231.0 101.0 109667;2802.0 115.0 109689;2495.0 94.0 109690;1074.0 54.0 109675;5771.0 64.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 974;109635 1019;109699 982;109701 989;109702 964;109704 1026;109673 993;109706 997;109707 971;109708 1024;109709 1028;109710 1000;109651 1008;109716 932;109698 987;109667 952;109689 986;109690 1072;109675 994;109660 1102
data,1241770200,1590881.0;58419.0;1591617.0;61933.0;1512681.0;68253.0;1602498.0;83578.0;1.05966142468;1.22873426586;1.4202933535,2060.0 38.0 109697;227712.0 9566.0 109635;1851.0 72.0 109699;1572.0 48.0 109701;1467.0 33.0 109702;1351.0 66.0 109704;2773.0 112.0 109673;1165.0 39.0 109706;1089.0 54.0 109675;732.0 31.0 109708;673.0 25.0 109709;568.0 16.0 109710;737.0 22.0 109707;2076.0 55.0 109651;117.0 3.0 109716;2055.0 74.0 109698;2819.0 115.0 109689;2509.0 94.0 109690;5248.0 101.0 109667;5791.0 64.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1020;109635 1058;109699 1001;109701 965;109702 1021;109704 1029;109673 968;109706 948;109675 990;109708 1004;109709 1007;109710 969;109707 1065;109651 1012;109716 983;109698 1043;109689 913;109690 996;109667 1022;109660 986
data,1241771100,1591883.0;58431.0;1592625.0;61959.0;1513706.0;68274.0;1603541.0;83597.0;1.05988488058;1.22880124104;1.42029464523,2075.0 38.0 109697;2069.0 75.0 109698;1861.0 72.0 109699;1583.0 48.0 109701;1477.0 33.0 109702;1369.0 66.0 109704;2792.0 112.0 109673;1185.0 40.0 109706;1103.0 54.0 109675;744.0 31.0 109708;682.0 25.0 109709;574.0 16.0 109710;752.0 22.0 109707;228440.0 9585.0 109635;5263.0 101.0 109667;133.0 4.0 109716;2086.0 55.0 109651;2842.0 116.0 109689;2533.0 96.0 109690;5810.0 65.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 989;109698 1033;109699 1022;109701 997;109702 1020;109704 1028;109673 955;109706 1013;109675 993;109708 952;109709 982;109710 962;109707 960;109635 1040;109667 985;109716 1003;109651 948;109689 1090;109690 1018;109660 1010
data,1241772000,1592899.0;58445.0;1593605.0;61978.0;1514736.0;68288.0;1604562.0;83619.0;1.05998019442;1.22870697278;1.42033027177,2090.0 39.0 109697;2089.0 76.0 109698;766.0 22.0 109707;1868.0 73.0 109699;1596.0 48.0 109701;1492.0 33.0 109702;1382.0 66.0 109704;2806.0 112.0 109673;1207.0 40.0 109706;1118.0 54.0 109675;755.0 31.0 109708;699.0 25.0 109709;588.0 17.0 109710;2104.0 55.0 109651;146.0 4.0 109716;229136.0 9599.0 109635;2864.0 116.0 109689;2548.0 97.0 109690;5279.0 101.0 109667;5820.0 65.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 1006;109698 1027;109707 987;109699 959;109701 998;109702 1028;109704 1031;109673 972;109706 1051;109675 958;109708 1042;109709 989;109710 1011;109651 928;109716 1013;109635 1003;109689 1015;109690 999;109667 1018;109660 965
data,1241772900,1593930.0;58461.0;1594594.0;62003.0;1515760.0;68309.0;1605574.0;83644.0;1.0601457642;1.22871310505;1.42038955977,2101.0 39.0 109697;2106.0 76.0 109698;229841.0 9619.0 109635;1619.0 49.0 109701;1509.0 33.0 109702;1135.0 54.0 109675;1400.0 67.0 109704;2816.0 112.0 109673;1216.0 40.0 109706;779.0 22.0 109707;772.0 31.0 109708;711.0 26.0 109709;602.0 18.0 109710;1883.0 73.0 109699;158.0 4.0 109716;2121.0 55.0 109651;2880.0 116.0 109689;2565.0 98.0 109690;5294.0 101.0 109667;5834.0 65.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 972;109698 1031;109635 988;109701 978;109702 958;109675 996;109704 1083;109673 994;109706 981;109707 991;109708 1001;109709 987;109710 975;109699 1008;109716 1034;109651 1012;109689 1003;109690 975;109667 983;109660 1050
data,1241773800,1594959.0;58479.0;1595593.0;62028.0;1516802.0;68324.0;1606595.0;83668.0;1.06026699361;1.2285532282;1.42037350561,2111.0 39.0 109697;2115.0 76.0 109698;230547.0 9637.0 109635;1902.0 73.0 109699;1634.0 49.0 109701;1524.0 34.0 109702;1409.0 67.0 109704;2830.0 112.0 109673;1229.0 41.0 109706;799.0 22.0 109707;790.0 31.0 109708;730.0 26.0 109709;618.0 19.0 109710;2137.0 55.0 109651;175.0 4.0 109716;5308.0 103.0 109667;2901.0 116.0 109689;2584.0 98.0 109690;1148.0 56.0 109675;5850.0 65.0 109660,109697.0 20000;109635.0 20000;109667.0 20000;109699.0 20000;109701.0 20000;109702.0 20000;109704.0 20000;109673.0 20000;109706.0 20000;109707.0 20000;109708.0 20000;109709.0 20000;109710.0 20000;109651.0 20000;109716.0 20000;109698.0 20000;109689.0 20000;109690.0 20000;109675.0 20000;109660.0 20000,109697 943;109698 1024;109635 987;109699 987;109701 958;109702 974;109704 1040;109673 998;109706 1017;109707 997;109708 1023;109709 1005;109710 1012;109651 1012;109716 974;109667 945;109689 1006;109690 1087;109675 1007;109660 1004
