
New Run at  02/05/2015 00:24:47
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,396709.0;14415.0;399349.0;18090.0;376315.0;15210.0;400463.0;19698.0;1.24664664374;1.11233368916;1.35368352443,489.0 14.0 109568;3961.0 54.0 109536;262.0 13.0 109571;1613.0 62.0 109476;1491.0 50.0 109541;12136.0 416.0 109542;335.0 11.0 109569;1916.0 78.0 109551;1889.0 44.0 109553;28838.0 1088.0 109524;1434.0 41.0 109557;1363.0 39.0 109560;1112.0 34.0 109561;1070.0 31.0 109562;1150.0 35.0 109563;847.0 23.0 109564;838.0 17.0 109565;759.0 15.0 109566;769.0 33.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,397769.0;14430.0;400398.0;18113.0;377352.0;15227.0;401521.0;19719.0;1.2469903425;1.11232652578;1.3537585892,591.0 20.0 109568;4004.0 56.0 109536;320.0 16.0 109571;1644.0 62.0 109476;1589.0 51.0 109541;12194.0 419.0 109542;427.0 14.0 109569;1947.0 78.0 109551;1922.0 44.0 109553;28872.0 1088.0 109524;1469.0 41.0 109557;1421.0 40.0 109560;1152.0 35.0 109561;1142.0 32.0 109562;1216.0 35.0 109563;896.0 23.0 109564;880.0 17.0 109565;821.0 16.0 109566;814.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,398811.0;14454.0;401491.0;18133.0;378459.0;15255.0;402567.0;19746.0;1.24615747034;1.11217326894;1.35338088923,4048.0 57.0 109536;737.0 23.0 109568;410.0 21.0 109571;1692.0 62.0 109476;1679.0 54.0 109541;12283.0 420.0 109542;516.0 16.0 109569;1984.0 80.0 109551;1955.0 44.0 109553;28908.0 1089.0 109524;1503.0 41.0 109557;1449.0 40.0 109560;1189.0 35.0 109561;1211.0 33.0 109562;1274.0 36.0 109563;930.0 23.0 109564;906.0 17.0 109565;868.0 16.0 109566;872.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,399908.0;14473.0;402509.0;18160.0;379499.0;15268.0;403629.0;19778.0;1.24664206962;1.11166272959;1.35394661437,4085.0 57.0 109536;876.0 26.0 109568;560.0 30.0 109571;1716.0 62.0 109476;1812.0 58.0 109541;12333.0 420.0 109542;579.0 18.0 109569;2024.0 80.0 109551;1977.0 44.0 109553;28951.0 1089.0 109524;1526.0 43.0 109557;1480.0 40.0 109560;1223.0 35.0 109561;1245.0 33.0 109562;1337.0 40.0 109563;962.0 23.0 109564;937.0 19.0 109565;900.0 17.0 109566;909.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,400976.0;14491.0;403603.0;18187.0;380554.0;15289.0;404667.0;19798.0;1.24688587102;1.11168772983;1.35376584515,957.0 27.0 109568;679.0 20.0 109569;838.0 41.0 109571;4109.0 57.0 109536;1927.0 61.0 109541;12392.0 422.0 109542;2054.0 80.0 109551;1999.0 44.0 109553;1740.0 62.0 109476;28971.0 1089.0 109524;1550.0 44.0 109557;1527.0 43.0 109560;1253.0 35.0 109561;1278.0 33.0 109562;1422.0 40.0 109563;987.0 25.0 109564;976.0 21.0 109565;934.0 17.0 109566;933.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,401978.0;14516.0;404657.0;18214.0;381597.0;15308.0;405708.0;19817.0;1.24644637906;1.11088429582;1.35263201832,4140.0 57.0 109536;745.0 20.0 109569;1100.0 51.0 109571;1761.0 62.0 109476;2042.0 64.0 109541;12438.0 422.0 109542;1028.0 28.0 109568;2097.0 82.0 109551;2021.0 44.0 109553;29010.0 1093.0 109524;1594.0 44.0 109557;1564.0 43.0 109560;1278.0 36.0 109561;1300.0 33.0 109562;1472.0 41.0 109563;1021.0 25.0 109564;1032.0 24.0 109565;968.0 18.0 109566;969.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,403017.0;14533.0;405735.0;18242.0;382635.0;15324.0;406736.0;19843.0;1.24680366653;1.11059456238;1.35289101161,4162.0 57.0 109536;800.0 22.0 109569;1448.0 66.0 109571;1779.0 62.0 109476;2150.0 67.0 109541;1095.0 30.0 109568;12470.0 423.0 109542;2146.0 83.0 109551;2041.0 45.0 109553;29052.0 1093.0 109524;1631.0 44.0 109557;1603.0 43.0 109560;1302.0 36.0 109561;1323.0 33.0 109562;1524.0 42.0 109563;1046.0 25.0 109564;1091.0 26.0 109565;1002.0 18.0 109566;993.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,404058.0;14557.0;406747.0;18280.0;383704.0;15345.0;407787.0;19877.0;1.24745147479;1.11004962385;1.35297349552,1168.0 33.0 109568;853.0 22.0 109569;1857.0 89.0 109571;1795.0 62.0 109476;2227.0 68.0 109541;12494.0 424.0 109542;2203.0 86.0 109551;2058.0 45.0 109553;29086.0 1094.0 109524;1663.0 46.0 109557;4180.0 57.0 109536;1621.0 43.0 109560;1324.0 37.0 109561;1346.0 34.0 109562;1575.0 44.0 109563;1062.0 25.0 109564;1127.0 26.0 109565;1023.0 18.0 109566;1008.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,405067.0;14581.0;407809.0;18326.0;384762.0;15361.0;408843.0;19894.0;1.24839042703;1.10909020337;1.35177714932,1212.0 33.0 109568;883.0 22.0 109569;2350.0 117.0 109571;1807.0 62.0 109476;2292.0 72.0 109541;12517.0 425.0 109542;1646.0 45.0 109560;2266.0 91.0 109551;2081.0 45.0 109553;29133.0 1096.0 109524;1683.0 46.0 109557;4189.0 57.0 109536;1357.0 37.0 109561;1368.0 34.0 109562;1617.0 44.0 109563;1082.0 25.0 109564;1171.0 28.0 109565;1052.0 20.0 109566;1026.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,406153.0;14603.0;408889.0;18364.0;385859.0;15380.0;409918.0;19918.0;1.24913517225;1.10860103894;1.35143859994,4212.0 57.0 109536;1271.0 35.0 109568;2858.0 145.0 109571;1819.0 62.0 109476;2378.0 74.0 109541;12553.0 426.0 109542;911.0 23.0 109569;2325.0 91.0 109551;2096.0 45.0 109553;29175.0 1097.0 109524;1710.0 46.0 109557;1667.0 45.0 109560;1385.0 39.0 109561;1378.0 34.0 109562;1642.0 44.0 109563;1100.0 25.0 109564;1207.0 29.0 109565;1080.0 20.0 109566;1045.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
