data,1241866500,1426632.0;51299.0;1428929.0;53871.0;1393013.0;50951.0;1.04844933614;1.01718654011,17768.0 471.0 109728;24.0 0.0 109697;39362.0 721.0 109667;7.0 0.0 109734;17.0 0.0 109735;14.0 0.0 109711;5.0 0.0 109714;9295.0 537.0 109742;14.0 0.0 109743;16875.0 467.0 109745;8.0 0.0 109746;15389.0 249.0 109747;2.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;22.0 0.0 109723;14040.0 211.0 109726,109728.0 2936;109697.0 2936;109667.0 2936;109734.0 2936;109735.0 2936;109711.0 2936;109714.0 2936;109742.0 2936;109743.0 2936;109745.0 2936;109746.0 2936;109747.0 2936;109748.0 2936;109749.0 2936;109720.0 2936;109721.0 2936;109722.0 2936;109723.0 2936;109726.0 2936,109728 166;109697 158;109667 152;109734 156;109735 159;109711 125;109714 163;109742 153;109743 146;109745 137;109746 164;109747 144;109748 146;109749 178;109720 162;109721 167;109722 164;109723 162;109726 134
data,1241867100,1427491.0;51318.0;1429909.0;53908.0;1393935.0;50978.0;1.04869325912;1.01728801162,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;5.0 0.0 109714;9295.0 537.0 109742;14.0 0.0 109711;22.0 0.0 109723;16875.0 467.0 109745;983.0 37.0 109746;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;14.0 0.0 109743;14040.0 211.0 109726,109728.0 17064;109697.0 17064;109667.0 17064;109734.0 17064;109735.0 17064;109711.0 17064;109714.0 17064;109742.0 17064;109743.0 17064;109745.0 17064;109746.0 17064;109747.0 17064;109748.0 17064;109749.0 17064;109720.0 17064;109721.0 17064;109722.0 17064;109723.0 17064;109726.0 17064,109728 864;109697 905;109667 847;109734 891;109735 908;109714 877;109742 929;109711 860;109723 914;109745 905;109746 978;109747 914;109748 949;109749 874;109720 895;109721 904;109722 861;109743 906;109726 883
data,1241867700,1428540.0;51352.0;1430973.0;53953.0;1394990.0;50996.0;1.04886405317;1.01695107748,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;3.0 0.0 109748;2047.0 82.0 109746;9295.0 537.0 109742;14.0 0.0 109711;16875.0 467.0 109745;5.0 0.0 109714;15389.0 249.0 109747;22.0 0.0 109723;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;14.0 0.0 109743;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1062;109697 1012;109667 1037;109734 1069;109735 1048;109748 1072;109746 1064;109742 1048;109711 1078;109745 1028;109714 1014;109747 1119;109723 1031;109749 1015;109720 1102;109721 1064;109722 1011;109743 1062;109726 1064
data,1241868600,1429550.0;51384.0;1431998.0;54003.0;1396071.0;51027.0;1.04917254191;1.01686657242,17768.0 471.0 109728;26.0 0.0 109697;22.0 0.0 109723;8.0 0.0 109734;17.0 0.0 109735;39363.0 721.0 109667;5.0 0.0 109714;9295.0 537.0 109742;14.0 0.0 109711;16875.0 467.0 109745;3072.0 132.0 109746;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;14.0 0.0 109743;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 985;109697 1043;109723 1067;109734 1043;109735 1037;109667 1040;109714 1123;109742 1060;109711 1050;109745 1039;109746 1025;109747 1059;109748 1079;109749 1068;109720 1058;109721 1066;109722 1019;109743 1092;109726 1047
data,1241869200,1430573.0;51421.0;1433020.0;54038.0;1397102.0;51059.0;1.04909911616;1.01674886509,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;5.0 0.0 109714;9295.0 537.0 109742;14.0 0.0 109711;22.0 0.0 109723;16875.0 467.0 109745;4094.0 167.0 109746;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;14.0 0.0 109743;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 999;109667 1034;109734 1109;109735 1044;109714 1082;109742 1103;109711 1042;109723 1019;109745 1061;109746 1022;109747 1108;109748 1037;109749 1030;109720 1013;109721 1051;109722 1104;109743 1005;109726 1060
data,1241869800,1431615.0;51452.0;1434057.0;54081.0;1398124.0;51084.0;1.04930629644;1.0166306164,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;14.0 0.0 109743;8.0 0.0 109734;17.0 0.0 109735;5.0 0.0 109714;9295.0 537.0 109742;14.0 0.0 109711;16875.0 467.0 109745;5131.0 210.0 109746;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;22.0 0.0 109723;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1020;109697 1016;109667 1071;109743 1043;109734 1144;109735 1076;109714 1050;109742 1011;109711 1062;109745 1059;109746 1037;109747 1115;109748 1033;109749 1044;109720 1031;109721 1049;109722 1084;109723 998;109726 1057
data,1241870400,1432675.0;51483.0;1435081.0;54126.0;1399147.0;51120.0;1.04957470409;1.01674333945,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;6155.0 255.0 109746;14.0 0.0 109743;9295.0 537.0 109742;14.0 0.0 109711;16875.0 467.0 109745;5.0 0.0 109714;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;22.0 0.0 109723;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1038;109697 993;109667 996;109734 1031;109735 1060;109746 1024;109743 1084;109742 1022;109711 1032;109745 1041;109714 1055;109747 1099;109748 1077;109749 1093;109720 1075;109721 1030;109722 1096;109723 1111;109726 1043
data,1241871000,1433762.0;51522.0;1436095.0;54175.0;1400239.0;51153.0;1.04978436999;1.01660745933,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;3.0 0.0 109748;7169.0 304.0 109746;9295.0 537.0 109742;14.0 0.0 109743;16875.0 467.0 109745;5.0 0.0 109714;15389.0 249.0 109747;22.0 0.0 109723;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;14.0 0.0 109711;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1034;109697 1046;109667 1057;109734 1102;109735 1015;109748 1050;109746 1014;109742 1080;109743 1069;109745 1065;109714 1050;109747 1065;109723 1106;109749 1041;109720 1081;109721 1003;109722 1069;109711 1013;109726 1040
data,1241871600,1434857.0;51552.0;1437146.0;54228.0;1401281.0;51185.0;1.05023333512;1.01667132895,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;8220.0 357.0 109746;9295.0 537.0 109742;14.0 0.0 109743;22.0 0.0 109723;16875.0 467.0 109745;5.0 0.0 109714;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;14.0 0.0 109711;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1069;109697 1041;109667 1024;109734 1042;109735 1048;109746 1051;109742 1032;109743 1089;109723 1086;109745 1047;109714 999;109747 1072;109748 1067;109749 1067;109720 1087;109721 1050;109722 1021;109711 1029;109726 1079
data,1241871900,1435912.0;51583.0;1438242.0;54279.0;1402330.0;51221.0;1.05056057635;1.01676141412,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;5.0 0.0 109714;17.0 0.0 109735;14.0 0.0 109743;9295.0 537.0 109742;14.0 0.0 109711;16875.0 467.0 109745;9316.0 408.0 109746;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;22.0 0.0 109723;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1044;109697 1056;109667 997;109734 1079;109714 1025;109735 1074;109743 1081;109742 1050;109711 1079;109745 1065;109746 1096;109747 1033;109748 1001;109749 1074;109720 1021;109721 1060;109722 1046;109723 1040;109726 1079
data,1241872500,1436913.0;51616.0;1439297.0;54327.0;1403375.0;51253.0;1.05077911312;1.01669733149,17768.0 471.0 109728;26.0 0.0 109697;39363.0 721.0 109667;8.0 0.0 109734;17.0 0.0 109735;10371.0 456.0 109746;14.0 0.0 109743;9295.0 537.0 109742;14.0 0.0 109711;16875.0 467.0 109745;5.0 0.0 109714;15389.0 249.0 109747;3.0 0.0 109748;10.0 0.0 109749;17504.0 542.0 109720;26.0 0.0 109721;24.0 0.0 109722;22.0 0.0 109723;14040.0 211.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1066;109697 1012;109667 1034;109734 1091;109735 1053;109746 1055;109743 1026;109742 1069;109711 1073;109745 1089;109714 1099;109747 1025;109748 1075;109749 1037;109720 1044;109721 1030;109722 1026;109723 1071;109726 1025
