data,1242005400,1720930.0;60721.0;1724464.0;64686.0;1680673.0;60347.0;1.06311551;1.01764605215,15.0 0.0 109762;15483.0 522.0 109763;6.0 0.0 109765;10.0 0.0 109773;16909.0 467.0 109745;46495.0 1326.0 109769;10.0 0.0 109770;14921.0 388.0 109771;21.0 0.0 109740;0.0 0.0 109730;14.0 0.0 109774;7395.0 408.0 109775;4.0 0.0 109776;3.0 0.0 109777;5.0 0.0 109778;2.0 0.0 109779;1.0 0.0 109780;0.0 0.0 109782;0.0 0.0 109783;18.0 0.0 109684;15115.0 501.0 109731,109730.0 316;109731.0 316;109765.0 316;109763.0 316;109777.0 316;109762.0 316;109769.0 316;109770.0 316;109771.0 316;109740.0 316;109773.0 316;109774.0 316;109775.0 316;109776.0 316;109745.0 316;109778.0 316;109779.0 316;109780.0 316;109782.0 316;109783.0 316;109684.0 316,109762 18;109763 22;109765 15;109773 12;109745 19;109769 20;109770 16;109771 14;109740 15;109730 11;109774 19;109775 12;109776 9;109777 19;109778 11;109779 16;109780 21;109782 13;109783 20;109684 11;109731 3
data,1242005700,1721864.0;60747.0;1725381.0;64726.0;1681573.0;60379.0;1.06332926968;1.01775724209,16.0 0.0 109762;15115.0 501.0 109731;8.0 0.0 109765;5.0 0.0 109779;16910.0 467.0 109745;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;3.0 0.0 109730;17.0 0.0 109774;12.0 0.0 109773;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;15484.0 522.0 109763;20.0 0.0 109684;1.0 0.0 109782;0.0 0.0 109783;3.0 0.0 109780;8277.0 448.0 109775,109730.0 19684;109731.0 19684;109765.0 19684;109763.0 19684;109777.0 19684;109762.0 19684;109769.0 19684;109770.0 19684;109771.0 19684;109740.0 19684;109773.0 19684;109774.0 19684;109775.0 19684;109776.0 19684;109745.0 19684;109778.0 19684;109779.0 19684;109780.0 19684;109782.0 19684;109783.0 19684;109684.0 19684,109762 897;109731 911;109765 947;109779 945;109745 981;109769 989;109770 915;109771 923;109740 940;109730 974;109774 940;109773 948;109776 942;109777 932;109778 944;109763 966;109684 924;109782 936;109783 880;109780 927;109775 923
data,1242006000,1722795.0;60775.0;1726335.0;64769.0;1682577.0;60411.0;1.06353246458;1.01777015591,3.0 0.0 109730;15484.0 522.0 109763;8.0 0.0 109765;16910.0 467.0 109745;16.0 0.0 109762;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;9231.0 491.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;20.0 0.0 109684;1.0 0.0 109782;0.0 0.0 109783;3.0 0.0 109780;15115.0 501.0 109731,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 925;109763 960;109765 991;109745 965;109762 959;109769 952;109770 948;109771 914;109740 965;109773 1012;109774 925;109775 954;109776 942;109777 942;109778 916;109779 950;109684 959;109782 964;109783 977;109780 951;109731 929
data,1242006300,1723769.0;60813.0;1727322.0;64811.0;1683526.0;60445.0;1.06355035232;1.01770800787,16910.0 467.0 109745;16.0 0.0 109762;15115.0 501.0 109731;8.0 0.0 109765;5.0 0.0 109779;3.0 0.0 109730;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;10218.0 533.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;15484.0 522.0 109763;20.0 0.0 109684;1.0 0.0 109782;0.0 0.0 109783;3.0 0.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 950;109762 982;109731 966;109765 947;109779 970;109730 975;109769 954;109770 946;109771 977;109740 977;109773 950;109774 957;109775 987;109776 952;109777 940;109778 895;109763 944;109684 949;109782 944;109783 930;109780 908
data,1242006600,1724765.0;60849.0;1728291.0;64850.0;1684481.0;60484.0;1.06357861682;1.01777287748,3.0 0.0 109730;15115.0 501.0 109731;8.0 0.0 109765;5.0 0.0 109779;5.0 0.0 109777;16.0 0.0 109762;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;11187.0 572.0 109775;5.0 0.0 109776;16910.0 467.0 109745;7.0 0.0 109778;15484.0 522.0 109763;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 951;109731 929;109765 963;109779 994;109777 958;109762 954;109769 922;109770 957;109771 946;109740 952;109773 962;109774 975;109775 969;109776 966;109745 926;109778 883;109763 980;109780 968;109782 978;109783 947;109684 920
data,1242006900,1725760.0;60879.0;1729272.0;64894.0;1685490.0;60513.0;1.06378563986;1.01773659874,3.0 0.0 109730;15115.0 501.0 109731;8.0 0.0 109765;5.0 0.0 109779;5.0 0.0 109777;16.0 0.0 109762;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;12168.0 616.0 109775;5.0 0.0 109776;16910.0 467.0 109745;7.0 0.0 109778;15484.0 522.0 109763;20.0 0.0 109684;1.0 0.0 109782;0.0 0.0 109783;3.0 0.0 109780,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 991;109731 993;109765 939;109779 941;109777 901;109762 948;109769 963;109770 983;109771 958;109740 951;109773 950;109774 1000;109775 981;109776 947;109745 903;109778 967;109763 940;109684 904;109782 937;109783 961;109780 942
data,1242007200,1726681.0;60917.0;1730218.0;64930.0;1686453.0;60546.0;1.06369760129;1.01761808613,3.0 0.0 109730;15115.0 501.0 109731;8.0 0.0 109765;12.0 0.0 109773;5.0 0.0 109777;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;16.0 0.0 109762;17.0 0.0 109774;13114.0 652.0 109775;5.0 0.0 109776;16910.0 467.0 109745;7.0 0.0 109778;5.0 0.0 109779;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;15484.0 522.0 109763,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 1023;109731 944;109765 996;109773 956;109777 958;109769 936;109770 925;109771 893;109740 918;109762 977;109774 943;109775 946;109776 979;109745 929;109778 889;109779 968;109780 962;109782 1015;109783 944;109684 967;109763 932
data,1242007500,1727647.0;60953.0;1731133.0;64971.0;1687381.0;60576.0;1.06377318986;1.0175303277,16910.0 467.0 109745;16.0 0.0 109762;15115.0 501.0 109731;8.0 0.0 109765;15484.0 522.0 109763;3.0 0.0 109730;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;14029.0 693.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109745 970;109762 957;109731 937;109765 982;109763 971;109730 958;109769 944;109770 920;109771 906;109740 947;109773 973;109774 976;109775 915;109776 931;109777 959;109778 969;109779 970;109780 945;109782 990;109783 948;109684 932
data,1242007800,1728663.0;60991.0;1732133.0;65017.0;1688333.0;60607.0;1.06387419078;1.01744106105,3.0 0.0 109730;15484.0 522.0 109763;8.0 0.0 109765;5.0 0.0 109777;16.0 0.0 109762;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;15029.0 739.0 109775;5.0 0.0 109776;16910.0 467.0 109745;7.0 0.0 109778;5.0 0.0 109779;20.0 0.0 109684;1.0 0.0 109782;0.0 0.0 109783;3.0 0.0 109780;15115.0 501.0 109731,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 960;109763 933;109765 939;109777 950;109762 933;109769 921;109770 965;109771 936;109740 961;109773 961;109774 948;109775 1000;109776 909;109745 959;109778 997;109779 906;109684 983;109782 987;109783 932;109780 945;109731 975
data,1242008100,1729631.0;61019.0;1733128.0;65071.0;1689281.0;60634.0;1.06425381773;1.01742568326,3.0 0.0 109730;15484.0 522.0 109763;15115.0 501.0 109731;16910.0 467.0 109745;16.0 0.0 109762;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;16024.0 793.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;8.0 0.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 939;109763 968;109731 955;109745 938;109762 889;109769 984;109770 985;109771 910;109740 905;109773 959;109774 981;109775 995;109776 920;109777 942;109778 953;109779 980;109780 933;109782 998;109783 925;109684 1026;109765 915
data,1242008400,1730564.0;61041.0;1734066.0;65104.0;1690253.0;60662.0;1.06440786447;1.01749207326,3.0 0.0 109730;15484.0 522.0 109763;15115.0 501.0 109731;16910.0 467.0 109745;16.0 0.0 109762;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;16962.0 826.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;8.0 0.0 109765,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 925;109763 1032;109731 929;109745 937;109762 986;109769 948;109770 948;109771 886;109740 977;109773 927;109774 950;109775 938;109776 964;109777 953;109778 976;109779 940;109780 963;109782 976;109783 903;109684 950;109765 992
data,1242008700,1731499.0;61076.0;1734973.0;65151.0;1691182.0;60695.0;1.0645842191;1.01745269577,3.0 0.0 109730;15484.0 522.0 109763;8.0 0.0 109765;5.0 0.0 109777;7.0 0.0 109778;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;16.0 0.0 109762;17.0 0.0 109774;17869.0 873.0 109775;5.0 0.0 109776;16910.0 467.0 109745;12.0 0.0 109773;5.0 0.0 109779;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;15115.0 501.0 109731,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109730 980;109763 969;109765 893;109777 888;109778 1002;109769 944;109770 912;109771 1033;109740 925;109762 1015;109774 964;109775 907;109776 898;109745 959;109773 965;109779 1012;109780 920;109782 988;109783 961;109684 906;109731 959
data,1242009000,1732455.0;61122.0;1735951.0;65194.0;1692171.0;60727.0;1.06447280839;1.01718977324,16.0 0.0 109762;15484.0 522.0 109763;8.0 0.0 109765;5.0 0.0 109779;16910.0 467.0 109745;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;3.0 0.0 109730;12.0 0.0 109773;17.0 0.0 109774;18847.0 916.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;15115.0 501.0 109731;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;22.0 0.0 109740,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 944;109763 903;109765 983;109779 946;109745 969;109769 970;109770 975;109771 983;109730 1011;109773 944;109774 968;109775 978;109776 919;109777 912;109778 941;109731 935;109780 959;109782 952;109783 960;109684 960;109740 888
data,1242009300,1733366.0;61151.0;1736894.0;65242.0;1693146.0;60756.0;1.06473286887;1.01714173543,16.0 0.0 109762;15484.0 522.0 109763;8.0 0.0 109765;12.0 0.0 109773;16910.0 467.0 109745;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;3.0 0.0 109730;17.0 0.0 109774;19790.0 964.0 109775;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;20.0 0.0 109684;1.0 0.0 109782;0.0 0.0 109783;3.0 0.0 109780;15115.0 501.0 109731,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 980;109763 994;109765 990;109773 909;109745 952;109769 908;109770 996;109771 987;109740 936;109730 955;109774 966;109775 943;109776 946;109777 908;109778 955;109779 929;109684 927;109782 951;109783 938;109780 991;109731 939
data,1242009600,1734311.0;61184.0;1737874.0;65284.0;1694154.0;60806.0;1.06482339076;1.01737874944,16.0 0.0 109762;15484.0 522.0 109763;8.0 0.0 109765;5.0 0.0 109779;16910.0 467.0 109745;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;12.0 0.0 109773;17.0 0.0 109774;3.0 0.0 109730;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;15115.0 501.0 109731;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;20770.0 1006.0 109775,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 934;109763 972;109765 965;109779 956;109745 918;109769 933;109770 917;109771 1002;109740 1015;109773 957;109774 951;109730 942;109776 1023;109777 917;109778 916;109731 934;109780 930;109782 946;109783 939;109684 953;109775 980
data,1242009900,1735265.0;61219.0;1738871.0;65340.0;1695178.0;60846.0;1.06510234672;1.01741070211,16.0 0.0 109762;15115.0 501.0 109731;8.0 0.0 109765;15484.0 522.0 109763;16910.0 467.0 109745;46499.0 1326.0 109769;13.0 0.0 109770;14922.0 388.0 109771;22.0 0.0 109740;3.0 0.0 109730;17.0 0.0 109774;12.0 0.0 109773;5.0 0.0 109776;5.0 0.0 109777;7.0 0.0 109778;5.0 0.0 109779;3.0 0.0 109780;1.0 0.0 109782;0.0 0.0 109783;20.0 0.0 109684;21767.0 1062.0 109775,109730.0 20000;109731.0 20000;109765.0 20000;109763.0 20000;109777.0 20000;109762.0 20000;109769.0 20000;109770.0 20000;109771.0 20000;109740.0 20000;109773.0 20000;109774.0 20000;109775.0 20000;109776.0 20000;109745.0 20000;109778.0 20000;109779.0 20000;109780.0 20000;109782.0 20000;109783.0 20000;109684.0 20000,109762 941;109731 934;109765 949;109763 999;109745 923;109769 940;109770 977;109771 968;109740 997;109730 991;109774 894;109773 943;109776 901;109777 914;109778 987;109779 910;109780 955;109782 959;109783 934;109684 987;109775 997
