data,1241954400,1598577.0;56737.0;1602094.0;60423.0;1561925.0;56360.0;1.06262855439;1.01666529769,27330.0 756.0 109760;28121.0 588.0 109697;2.0 0.0 109762;2.0 0.0 109763;0.0 0.0 109764;2.0 0.0 109766;0.0 0.0 109767;15782.0 374.0 109769;13901.0 645.0 109761;1.0 0.0 109740;5.0 0.0 109741;16890.0 467.0 109745;0.0 0.0 109731;6.0 0.0 109684;7.0 0.0 109755;5.0 0.0 109686;11.0 0.0 109752;33.0 0.0 109723;6.0 0.0 109756;13906.0 486.0 109758,109760.0 6892;109697.0 6892;109762.0 6892;109731.0 6892;109764.0 6892;109766.0 6892;109767.0 6892;109769.0 6892;109761.0 6892;109740.0 6892;109741.0 6892;109745.0 6892;109763.0 6892;109684.0 6892;109755.0 6892;109686.0 6892;109752.0 6892;109723.0 6892;109756.0 6892;109758.0 6892,109760 328;109697 332;109762 352;109763 370;109764 363;109766 371;109767 366;109769 368;109761 336;109740 344;109741 352;109745 343;109731 340;109684 360;109755 313;109686 341;109752 331;109723 304;109756 312;109758 366
data,1241955000,1599177.0;56747.0;1602758.0;60437.0;1562556.0;56375.0;1.06264590555;1.01672755083,27333.0 756.0 109760;13907.0 645.0 109761;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;28123.0 588.0 109697;15785.0 374.0 109769;7.0 0.0 109740;11.0 0.0 109741;37.0 0.0 109723;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;6.0 0.0 109686;14.0 0.0 109752;9.0 0.0 109755;9.0 0.0 109756;14496.0 500.0 109758,109760.0 13108;109697.0 13108;109762.0 13108;109731.0 13108;109764.0 13108;109766.0 13108;109767.0 13108;109769.0 13108;109761.0 13108;109740.0 13108;109741.0 13108;109745.0 13108;109763.0 13108;109684.0 13108;109755.0 13108;109686.0 13108;109752.0 13108;109723.0 13108;109756.0 13108;109758.0 13108,109760 651;109761 631;109762 671;109731 640;109764 623;109766 655;109767 673;109697 649;109769 623;109740 641;109741 686;109723 655;109745 686;109763 680;109684 658;109686 623;109752 677;109755 689;109756 646;109758 651
data,1241955900,1600190.0;56777.0;1603700.0;60466.0;1563583.0;56405.0;1.06264259738;1.01670690777,27333.0 756.0 109760;28123.0 588.0 109697;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;15785.0 374.0 109769;13907.0 645.0 109761;7.0 0.0 109740;11.0 0.0 109741;37.0 0.0 109723;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;6.0 0.0 109686;14.0 0.0 109752;9.0 0.0 109755;9.0 0.0 109756;15438.0 529.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1040;109697 974;109762 980;109731 1021;109764 1047;109766 1029;109767 963;109769 970;109761 1026;109740 1015;109741 1054;109723 1001;109745 1015;109763 970;109684 975;109686 997;109752 1005;109755 965;109756 1011;109758 942
data,1241956500,1601213.0;56804.0;1604736.0;60502.0;1564601.0;56431.0;1.06276275121;1.01668012007,27333.0 756.0 109760;13907.0 645.0 109761;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;28123.0 588.0 109697;15785.0 374.0 109769;7.0 0.0 109740;11.0 0.0 109741;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;9.0 0.0 109755;6.0 0.0 109686;14.0 0.0 109752;37.0 0.0 109723;9.0 0.0 109756;16474.0 565.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1023;109761 976;109762 986;109731 982;109764 971;109766 1022;109767 1013;109697 1017;109769 998;109740 1050;109741 960;109745 1000;109763 989;109684 1024;109755 984;109686 971;109752 992;109723 1029;109756 977;109758 1036
data,1241957100,1602222.0;56834.0;1605730.0;60538.0;1565617.0;56458.0;1.06284519964;1.0166101203,27333.0 756.0 109760;28123.0 588.0 109697;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;15785.0 374.0 109769;13907.0 645.0 109761;7.0 0.0 109740;11.0 0.0 109741;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;9.0 0.0 109755;6.0 0.0 109686;14.0 0.0 109752;37.0 0.0 109723;9.0 0.0 109756;17468.0 601.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1019;109697 1031;109762 1019;109731 968;109764 940;109766 1017;109767 955;109769 1040;109761 1053;109740 983;109741 1003;109745 993;109763 961;109684 1040;109755 980;109686 966;109752 1074;109723 1000;109756 964;109758 994
data,1241957700,1603267.0;56867.0;1606774.0;60570.0;1566580.0;56488.0;1.06279209106;1.01659777897,27333.0 756.0 109760;28123.0 588.0 109697;7.0 0.0 109762;37.0 0.0 109723;4.0 0.0 109764;2.0 0.0 109731;5.0 0.0 109766;13907.0 645.0 109761;15785.0 374.0 109769;3.0 0.0 109767;7.0 0.0 109740;11.0 0.0 109741;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;6.0 0.0 109686;14.0 0.0 109752;9.0 0.0 109755;9.0 0.0 109756;18512.0 633.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 991;109697 956;109762 1036;109723 1031;109764 960;109731 1039;109766 1027;109761 951;109769 995;109767 1024;109740 998;109741 944;109745 976;109763 1009;109684 1031;109686 1041;109752 989;109755 953;109756 1005;109758 1044
data,1241958300,1604246.0;56898.0;1607777.0;60594.0;1567589.0;56521.0;1.06261948489;1.0166034843,27333.0 756.0 109760;28123.0 588.0 109697;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;15785.0 374.0 109769;13907.0 645.0 109761;7.0 0.0 109740;11.0 0.0 109741;37.0 0.0 109723;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;6.0 0.0 109686;14.0 0.0 109752;9.0 0.0 109755;9.0 0.0 109756;19515.0 657.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 994;109697 1063;109762 1004;109731 995;109764 962;109766 995;109767 1023;109769 1045;109761 999;109740 981;109741 1012;109723 990;109745 1035;109763 1033;109684 1003;109686 964;109752 960;109755 945;109756 994;109758 1003
data,1241958900,1605268.0;56922.0;1608826.0;60635.0;1568569.0;56551.0;1.06287380333;1.01672630238,27333.0 756.0 109760;13907.0 645.0 109761;7.0 0.0 109762;9.0 0.0 109763;4.0 0.0 109764;5.0 0.0 109766;28123.0 588.0 109697;15785.0 374.0 109769;3.0 0.0 109767;7.0 0.0 109740;11.0 0.0 109741;37.0 0.0 109723;16896.0 467.0 109745;2.0 0.0 109731;11.0 0.0 109684;6.0 0.0 109686;14.0 0.0 109752;9.0 0.0 109755;9.0 0.0 109756;20564.0 698.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1001;109761 997;109762 1017;109763 1019;109764 1022;109766 1010;109697 1038;109769 1008;109767 980;109740 990;109741 1029;109723 1012;109745 918;109731 964;109684 1039;109686 1017;109752 960;109755 957;109756 973;109758 1049
data,1241959500,1606273.0;56957.0;1609856.0;60668.0;1569539.0;56580.0;1.06278373794;1.01663038218,27333.0 756.0 109760;13907.0 645.0 109761;7.0 0.0 109762;9.0 0.0 109755;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;28123.0 588.0 109697;15785.0 374.0 109769;9.0 0.0 109763;7.0 0.0 109740;11.0 0.0 109741;16896.0 467.0 109745;2.0 0.0 109731;11.0 0.0 109684;6.0 0.0 109686;14.0 0.0 109752;37.0 0.0 109723;9.0 0.0 109756;21594.0 731.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 997;109761 1012;109762 986;109755 1002;109764 999;109766 961;109767 949;109697 988;109769 1063;109763 993;109740 997;109741 979;109745 1005;109731 978;109684 1038;109686 1032;109752 991;109723 1016;109756 984;109758 1030
data,1241960100,1607317.0;56995.0;1610883.0;60702.0;1570547.0;56611.0;1.06268311998;1.01651705376,27333.0 756.0 109760;13907.0 645.0 109761;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;3.0 0.0 109767;28123.0 588.0 109697;15785.0 374.0 109769;7.0 0.0 109740;11.0 0.0 109741;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;9.0 0.0 109755;6.0 0.0 109686;14.0 0.0 109752;37.0 0.0 109723;9.0 0.0 109756;22621.0 765.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1039;109761 1034;109762 972;109731 943;109764 965;109766 1002;109767 984;109697 1018;109769 1016;109740 1027;109741 976;109745 1013;109763 990;109684 984;109755 1013;109686 1010;109752 983;109723 1000;109756 1004;109758 1027
data,1241960400,1608300.0;57027.0;1611913.0;60735.0;1571544.0;56644.0;1.06263465338;1.01651526724,27333.0 756.0 109760;28123.0 588.0 109697;7.0 0.0 109762;2.0 0.0 109731;4.0 0.0 109764;5.0 0.0 109766;13907.0 645.0 109761;15785.0 374.0 109769;3.0 0.0 109767;7.0 0.0 109740;11.0 0.0 109741;16896.0 467.0 109745;9.0 0.0 109763;11.0 0.0 109684;9.0 0.0 109755;6.0 0.0 109686;14.0 0.0 109752;37.0 0.0 109723;9.0 0.0 109756;23651.0 798.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 962;109697 969;109762 1042;109731 1045;109764 999;109766 1004;109761 908;109769 985;109767 1023;109740 1014;109741 1019;109745 990;109763 1017;109684 977;109755 977;109686 1021;109752 1006;109723 1026;109756 986;109758 1030
