
New Run at  01/25/2015 16:24:28
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; exp3CTRRatio; ucb1CTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241939400,1584262.0;56387.0;1585504.0;64908.0;1504654.0;58847.0;1.15021466836;1.09884313638,0.0 0.0 109760;994.0 18.0 109697;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;2.0 0.0 109761;0.0 0.0 109769;0.0 0.0 109767;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;1.0 0.0 109684;0.0 0.0 109755;81640.0 3113.0 109686;2.0 0.0 109723;0.0 0.0 109756;0.0 0.0 109758,109760.0 19926;109697.0 19926;109762.0 19926;109763.0 19926;109764.0 19926;109766.0 19926;109767.0 19926;109769.0 19926;109761.0 19926;109740.0 19926;109741.0 19926;109745.0 19926;109746.0 19926;109731.0 19926;109684.0 19926;109755.0 19926;109686.0 19926;109723.0 19926;109756.0 19926;109758.0 19926,109760 999;109697 994;109762 1000;109763 980;109764 938;109766 997;109761 1045;109769 1043;109767 989;109740 998;109741 937;109745 1015;109746 1000;109731 1009;109684 957;109755 1010;109686 1004;109723 986;109756 1010;109758 1015
data,1241940300,1585291.0;56413.0;1586444.0;64917.0;1505657.0;58868.0;1.14990905376;1.09870988513,0.0 0.0 109760;2.0 0.0 109761;0.0 0.0 109762;0.0 0.0 109755;0.0 0.0 109764;1.0 0.0 109731;1.0 0.0 109766;0.0 0.0 109767;1934.0 27.0 109697;0.0 0.0 109769;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;2.0 0.0 109746;0.0 0.0 109763;1.0 0.0 109684;81640.0 3113.0 109686;2.0 0.0 109723;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 979;109761 1012;109762 979;109755 977;109764 1016;109731 990;109766 967;109767 1012;109697 940;109769 973;109740 997;109741 1013;109745 1040;109746 1038;109763 1016;109684 991;109686 1016;109723 1007;109756 1021;109758 1016
data,1241941200,1586318.0;56434.0;1587472.0;64930.0;1506681.0;58889.0;1.14971116098;1.09865740274,0.0 0.0 109760;2.0 0.0 109761;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;0.0 0.0 109767;2962.0 40.0 109697;0.0 0.0 109769;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;1.0 0.0 109684;0.0 0.0 109755;81640.0 3113.0 109686;2.0 0.0 109723;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1025;109761 974;109762 992;109763 931;109764 972;109766 1027;109767 980;109697 1028;109769 1028;109740 1004;109741 981;109745 942;109746 967;109731 1043;109684 987;109755 1050;109686 1019;109723 1048;109756 1002;109758 1000
data,1241942100,1587345.0;56462.0;1588513.0;64941.0;1507662.0;58907.0;1.14932609997;1.09844416844,0.0 0.0 109760;2.0 0.0 109761;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;0.0 0.0 109767;4003.0 51.0 109697;0.0 0.0 109769;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109723;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;1.0 0.0 109684;81640.0 3113.0 109686;0.0 0.0 109755;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 997;109761 966;109762 1011;109763 1030;109764 998;109766 954;109767 1043;109697 1041;109769 992;109740 1021;109741 931;109723 983;109745 1037;109746 1026;109731 1012;109684 1005;109686 1006;109755 953;109756 989;109758 1005
data,1241943000,1588342.0;56486.0;1589512.0;64954.0;1508619.0;58928.0;1.14906683048;1.09836156376,0.0 0.0 109760;5002.0 64.0 109697;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;2.0 0.0 109761;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;2.0 0.0 109723;81640.0 3113.0 109686;1.0 0.0 109684;0.0 0.0 109755;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1021;109697 999;109762 963;109763 1032;109764 1003;109766 1023;109767 971;109769 1034;109761 997;109740 949;109741 1026;109745 1016;109746 1003;109731 1019;109723 975;109686 1005;109684 994;109755 1003;109756 974;109758 993
data,1241944200,1589306.0;56503.0;1590488.0;64971.0;1509632.0;58955.0;1.14901360323;1.09846333767,0.0 0.0 109760;5978.0 81.0 109697;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;2.0 0.0 109761;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;1.0 0.0 109684;0.0 0.0 109755;81640.0 3113.0 109686;2.0 0.0 109723;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 976;109697 976;109762 989;109763 1021;109764 1026;109766 1007;109767 978;109769 975;109761 978;109740 1007;109741 1024;109745 1000;109746 1032;109731 1056;109684 988;109755 969;109686 978;109723 997;109756 1005;109758 1018
data,1241945100,1590310.0;56527.0;1591554.0;64994.0;1510570.0;58977.0;1.14888812425;1.09841808481,0.0 0.0 109760;7044.0 104.0 109697;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;2.0 0.0 109761;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109723;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;1.0 0.0 109684;81640.0 3113.0 109686;0.0 0.0 109755;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 20000;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 977;109697 1066;109762 979;109763 969;109764 1002;109766 1042;109767 982;109769 928;109761 968;109740 1052;109741 965;109723 989;109745 1006;109746 1002;109731 1033;109684 1034;109686 996;109755 1005;109756 1015;109758 990
data,1241946300,1591308.0;56546.0;1592530.0;65009.0;1511294.0;58988.0;1.14878358297;1.09841655717,0.0 0.0 109760;2.0 0.0 109761;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;8020.0 119.0 109697;0.0 0.0 109769;0.0 0.0 109767;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109723;2.0 0.0 109745;2.0 0.0 109746;1.0 0.0 109731;1.0 0.0 109684;81640.0 3113.0 109686;0.0 0.0 109752;0.0 0.0 109755;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109763.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109746.0 18600;109731.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 6872;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109761 960;109762 993;109763 1003;109764 999;109766 1046;109697 976;109769 1039;109767 944;109740 1030;109741 1020;109723 1031;109745 1014;109746 923;109731 1015;109684 1047;109686 888;109752 87;109755 997;109756 979;109758 997
data,1241947200,1592294.0;56571.0;1593493.0;65026.0;1512344.0;59010.0;1.14859331032;1.09825813742,0.0 0.0 109760;2.0 0.0 109761;0.0 0.0 109762;0.0 0.0 109763;0.0 0.0 109764;1.0 0.0 109766;0.0 0.0 109767;8983.0 136.0 109697;0.0 0.0 109769;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;1.0 0.0 109731;1.0 0.0 109684;0.0 0.0 109755;81640.0 3113.0 109686;0.0 0.0 109752;2.0 0.0 109723;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1021;109761 1006;109762 1014;109763 1027;109764 987;109766 1016;109767 1024;109697 963;109769 992;109740 961;109741 1025;109745 949;109731 1049;109684 974;109755 977;109686 1032;109752 1006;109723 1046;109756 932;109758 999
data,1241948400,1593357.0;56593.0;1594504.0;65041.0;1513330.0;59031.0;1.14844968494;1.09823903256,0.0 0.0 109760;9994.0 151.0 109697;0.0 0.0 109762;0.0 0.0 109755;0.0 0.0 109764;1.0 0.0 109731;1.0 0.0 109766;0.0 0.0 109767;0.0 0.0 109769;2.0 0.0 109761;0.0 0.0 109740;3.0 0.0 109741;2.0 0.0 109745;0.0 0.0 109763;1.0 0.0 109684;81640.0 3113.0 109686;0.0 0.0 109752;2.0 0.0 109723;0.0 0.0 109756;0.0 0.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1007;109697 1011;109762 1014;109755 993;109764 1024;109731 1025;109766 1049;109767 1044;109769 1010;109761 972;109740 998;109741 1015;109745 994;109763 1079;109684 958;109686 943;109752 969;109723 942;109756 969;109758 984
