data,1241298600,324447.0;12168.0;324884.0;14444.0;303162.0;11014.0;326892.0;13766.0;1.18545130185;0.968712425538;1.12286626625,3978.0 55.0 109536;5511.0 253.0 109476;1074.0 38.0 109541;11151.0 449.0 109542;6076.0 200.0 109544;4732.0 105.0 109545;74.0 3.0 109561;4638.0 137.0 109547;2236.0 81.0 109518;2332.0 77.0 109551;2584.0 80.0 109553;2221.0 75.0 109554;2529.0 82.0 109555;15654.0 663.0 109524;1037.0 31.0 109557;615.0 17.0 109558;504.0 11.0 109559;510.0 16.0 109560;2386.0 97.0 109556;93.0 3.0 109562;77.0 1.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,324963.0;12184.0;325441.0;14460.0;303710.0;11025.0;327448.0;13790.0;1.18505921667;0.968196551443;1.12322289978,4003.0 55.0 109536;5541.0 255.0 109476;1096.0 38.0 109541;11178.0 449.0 109542;6111.0 202.0 109544;4757.0 106.0 109545;108.0 4.0 109561;4649.0 137.0 109547;2262.0 81.0 109518;2357.0 78.0 109551;2617.0 81.0 109553;2238.0 75.0 109554;2557.0 83.0 109555;15683.0 664.0 109524;1059.0 32.0 109557;638.0 18.0 109558;531.0 12.0 109559;540.0 16.0 109560;2419.0 99.0 109556;120.0 4.0 109562;105.0 1.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,325966.0;12213.0;326379.0;14488.0;304711.0;11066.0;328468.0;13835.0;1.18477580318;0.969287204158;1.1241804888,4050.0 57.0 109536;5598.0 256.0 109476;1138.0 40.0 109541;11214.0 450.0 109542;6160.0 203.0 109544;4811.0 109.0 109545;4677.0 137.0 109547;2297.0 81.0 109518;2388.0 78.0 109551;2659.0 81.0 109553;2286.0 78.0 109554;2601.0 83.0 109555;2517.0 107.0 109556;1115.0 34.0 109557;668.0 18.0 109558;584.0 13.0 109559;570.0 17.0 109560;155.0 4.0 109561;169.0 5.0 109562;136.0 1.0 109563;15714.0 666.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,326875.0;12242.0;327299.0;14523.0;305701.0;11100.0;329467.0;13873.0;1.1847889362;0.969517048745;1.12431445919,4078.0 57.0 109536;5672.0 260.0 109476;1197.0 43.0 109541;11240.0 450.0 109542;6227.0 208.0 109544;4865.0 109.0 109545;187.0 4.0 109561;4711.0 140.0 109547;2323.0 82.0 109518;2424.0 80.0 109551;2679.0 81.0 109553;2327.0 79.0 109554;2630.0 84.0 109555;2644.0 111.0 109556;1154.0 35.0 109557;703.0 18.0 109558;618.0 14.0 109559;612.0 21.0 109560;15757.0 668.0 109524;210.0 7.0 109562;169.0 2.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,327835.0;12271.0;328233.0;14556.0;306616.0;11118.0;330437.0;13910.0;1.1847730482;0.968739966272;1.12464076327,4102.0 57.0 109536;5759.0 267.0 109476;1257.0 44.0 109541;11265.0 450.0 109542;6314.0 211.0 109544;4925.0 112.0 109545;4751.0 143.0 109547;2349.0 83.0 109518;2466.0 80.0 109551;2701.0 81.0 109553;2370.0 80.0 109554;2662.0 84.0 109555;2737.0 114.0 109556;1201.0 38.0 109557;720.0 18.0 109558;639.0 14.0 109559;667.0 23.0 109560;213.0 7.0 109561;246.0 7.0 109562;192.0 2.0 109563;15825.0 671.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,328796.0;12299.0;329202.0;14599.0;307561.0;11149.0;331420.0;13946.0;1.18554315533;0.969083892595;1.1249356286,4130.0 58.0 109536;5861.0 271.0 109476;1296.0 44.0 109541;11305.0 452.0 109542;6371.0 211.0 109544;4986.0 115.0 109545;4804.0 146.0 109547;2376.0 83.0 109518;2489.0 81.0 109551;2730.0 82.0 109553;2400.0 80.0 109554;2692.0 85.0 109555;2854.0 122.0 109556;1258.0 40.0 109557;743.0 18.0 109558;655.0 14.0 109559;713.0 25.0 109560;260.0 11.0 109561;298.0 12.0 109562;213.0 2.0 109563;15896.0 677.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,329699.0;12323.0;330176.0;14638.0;308539.0;11179.0;332350.0;13984.0;1.18614401647;0.9693800329;1.12573693044,4151.0 59.0 109536;5964.0 275.0 109476;1331.0 46.0 109541;11321.0 452.0 109542;6424.0 214.0 109544;5037.0 116.0 109545;4878.0 148.0 109547;2397.0 83.0 109518;2520.0 83.0 109551;2757.0 85.0 109553;2426.0 81.0 109554;2716.0 85.0 109555;2987.0 130.0 109556;1301.0 41.0 109557;759.0 18.0 109558;677.0 15.0 109559;797.0 31.0 109560;329.0 14.0 109561;356.0 13.0 109562;231.0 2.0 109563;15945.0 677.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,330715.0;12367.0;331072.0;14676.0;309510.0;11196.0;333299.0;14023.0;1.18542691395;0.967336860826;1.12511381144,4169.0 59.0 109536;6045.0 277.0 109476;1357.0 46.0 109541;11336.0 452.0 109542;6475.0 215.0 109544;5068.0 117.0 109545;4939.0 150.0 109547;2415.0 83.0 109518;2549.0 83.0 109551;2794.0 89.0 109553;2447.0 81.0 109554;2733.0 86.0 109555;3170.0 144.0 109556;1338.0 43.0 109557;773.0 18.0 109558;414.0 21.0 109561;876.0 33.0 109560;15979.0 679.0 109524;384.0 13.0 109562;245.0 2.0 109563;694.0 15.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,331625.0;12400.0;332060.0;14714.0;310474.0;11220.0;334275.0;14068.0;1.18505843532;0.966480726556;1.12552213384,4187.0 59.0 109536;6105.0 277.0 109476;1395.0 49.0 109541;11354.0 454.0 109542;6516.0 216.0 109544;5090.0 117.0 109545;4991.0 152.0 109547;2441.0 86.0 109518;2579.0 85.0 109551;2832.0 90.0 109553;2473.0 82.0 109554;2751.0 86.0 109555;16032.0 682.0 109524;1390.0 46.0 109557;793.0 18.0 109558;718.0 16.0 109559;949.0 36.0 109560;495.0 22.0 109561;422.0 14.0 109562;264.0 2.0 109563;3411.0 155.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,332576.0;12432.0;333012.0;14751.0;311401.0;11247.0;335266.0;14107.0;1.18498126402;0.966199028357;1.12562844028,4203.0 59.0 109536;6171.0 281.0 109476;1442.0 51.0 109541;11378.0 457.0 109542;6544.0 216.0 109544;5109.0 117.0 109545;5055.0 156.0 109547;2458.0 87.0 109518;2623.0 87.0 109551;2864.0 90.0 109553;2492.0 82.0 109554;2765.0 86.0 109555;3644.0 165.0 109556;1453.0 50.0 109557;803.0 19.0 109558;733.0 16.0 109559;1033.0 39.0 109560;567.0 24.0 109561;451.0 14.0 109562;282.0 2.0 109563;16070.0 683.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,333558.0;12471.0;333947.0;14780.0;312338.0;11282.0;336207.0;14144.0;1.18376901898;0.966120621968;1.12521516881,4217.0 59.0 109536;6238.0 283.0 109476;1497.0 53.0 109541;11429.0 460.0 109542;6565.0 217.0 109544;5127.0 119.0 109545;5111.0 156.0 109547;2473.0 87.0 109518;2660.0 89.0 109551;2898.0 91.0 109553;2507.0 82.0 109554;2778.0 87.0 109555;16120.0 685.0 109524;1526.0 52.0 109557;818.0 20.0 109558;749.0 16.0 109559;1086.0 39.0 109560;610.0 24.0 109561;474.0 15.0 109562;294.0 2.0 109563;3898.0 174.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
