data,1241584500,1078941.0;39922.0;1084438.0;49536.0;1018283.0;37800.0;1082637.0;44978.0;1.23452990223;1.00324894762;1.12280071655,7650.0 230.0 109601;5407.0 77.0 109613;5811.0 304.0 109616;4597.0 193.0 109624;4741.0 215.0 109625;2571.0 55.0 109627;2597.0 56.0 109628;3838.0 145.0 109629;10648.0 609.0 109631;9821.0 555.0 109632;1771.0 36.0 109633;1629.0 33.0 109634;6151.0 348.0 109635;925.0 28.0 109636;1554.0 47.0 109637;5837.0 326.0 109638;8751.0 472.0 109641;715.0 22.0 109644;778.0 30.0 109646;80.0 1.0 109647;2876.0 126.0 109650;298.0 9.0 109652;171.0 6.0 109653,109601.0 11277;109613.0 11277;109616.0 11277;109624.0 11277;109625.0 11277;109627.0 11277;109628.0 11277;109629.0 11277;109631.0 11277;109632.0 11277;109633.0 11277;109634.0 11277;109635.0 11277;109636.0 11277;109637.0 11277;109638.0 11277;109641.0 11277;109644.0 11277;109646.0 11277;109647.0 11277;109650.0 11277;109652.0 11277;109653.0 11277,109601 485;109613 477;109616 488;109624 518;109625 482;109627 466;109628 520;109629 512;109631 474;109632 530;109633 476;109634 484;109635 495;109636 503;109637 512;109638 497;109641 457;109644 491;109646 498;109647 481;109650 483;109652 462;109653 486
data,1241584800,1079325.0;39928.0;1084822.0;49545.0;1018643.0;37814.0;1083017.0;44989.0;1.23457087844;1.00347208238;1.12291205933,7669.0 231.0 109601;5426.0 77.0 109613;5826.0 304.0 109616;4613.0 194.0 109624;4754.0 215.0 109625;2593.0 55.0 109627;2617.0 57.0 109628;3861.0 146.0 109629;10663.0 609.0 109631;9841.0 556.0 109632;1783.0 36.0 109633;1642.0 33.0 109634;6164.0 348.0 109635;940.0 28.0 109636;1579.0 48.0 109637;5851.0 326.0 109638;8768.0 472.0 109641;732.0 23.0 109644;793.0 30.0 109646;100.0 1.0 109647;2897.0 128.0 109650;312.0 9.0 109652;177.0 6.0 109653,109601.0 8723;109613.0 8723;109616.0 8723;109624.0 8723;109625.0 8723;109627.0 8723;109628.0 8723;109629.0 8723;109631.0 8723;109632.0 8723;109633.0 8723;109634.0 8723;109635.0 8723;109636.0 8723;109637.0 8723;109638.0 8723;109641.0 8723;109644.0 8723;109646.0 8723;109647.0 8723;109650.0 8723;109652.0 8723;109653.0 8723,109601 380;109613 394;109616 389;109624 359;109625 382;109627 386;109628 381;109629 372;109631 374;109632 382;109633 398;109634 370;109635 362;109636 353;109637 380;109638 390;109641 393;109644 362;109646 394;109647 371;109650 363;109652 390;109653 398
data,1241585100,1080182.0;39959.0;1085707.0;49576.0;1019500.0;37834.0;1083873.0;45017.0;1.23435809644;1.00317650967;1.12274331152,7731.0 234.0 109601;5457.0 77.0 109613;5867.0 306.0 109616;4657.0 196.0 109624;4796.0 216.0 109625;2622.0 55.0 109627;2654.0 58.0 109628;3894.0 146.0 109629;10696.0 612.0 109631;9878.0 558.0 109632;1819.0 36.0 109633;1676.0 34.0 109634;6187.0 349.0 109635;986.0 31.0 109636;1608.0 48.0 109637;5895.0 329.0 109638;8818.0 474.0 109641;770.0 23.0 109644;812.0 31.0 109646;152.0 3.0 109647;2949.0 129.0 109650;353.0 11.0 109652;209.0 7.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 867;109613 881;109616 859;109624 887;109625 856;109627 859;109628 857;109629 940;109631 885;109632 880;109633 876;109634 848;109635 902;109636 884;109637 817;109638 851;109641 865;109644 867;109646 822;109647 918;109650 873;109652 855;109653 851
data,1241585700,1081006.0;39988.0;1086558.0;49599.0;1020341.0;37868.0;1084754.0;45063.0;1.23400928588;1.00328761546;1.12301940752,7782.0 235.0 109601;5478.0 78.0 109613;5903.0 307.0 109616;4717.0 198.0 109624;4836.0 217.0 109625;2648.0 55.0 109627;2691.0 58.0 109628;3932.0 147.0 109629;10733.0 613.0 109631;9909.0 558.0 109632;1852.0 37.0 109633;1704.0 34.0 109634;6218.0 349.0 109635;1030.0 32.0 109636;1639.0 48.0 109637;5949.0 334.0 109638;8847.0 475.0 109641;804.0 25.0 109644;845.0 32.0 109646;183.0 3.0 109647;3009.0 132.0 109650;388.0 12.0 109652;240.0 7.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 828;109613 876;109616 845;109624 874;109625 881;109627 881;109628 906;109629 858;109631 927;109632 867;109633 845;109634 878;109635 887;109636 900;109637 914;109638 853;109641 855;109644 865;109646 833;109647 810;109650 887;109652 837;109653 893
data,1241586000,1081915.0;40007.0;1087430.0;49623.0;1021191.0;37885.0;1085587.0;45088.0;1.23406734944;1.00326917464;1.12319068558,7844.0 236.0 109601;5500.0 78.0 109613;5937.0 307.0 109616;4756.0 199.0 109624;4865.0 219.0 109625;2673.0 55.0 109627;2714.0 58.0 109628;3962.0 147.0 109629;10800.0 614.0 109631;9953.0 561.0 109632;1879.0 37.0 109633;1724.0 35.0 109634;6248.0 349.0 109635;1073.0 34.0 109636;1660.0 48.0 109637;6017.0 337.0 109638;8877.0 475.0 109641;839.0 25.0 109644;889.0 34.0 109646;229.0 7.0 109647;3080.0 135.0 109650;421.0 13.0 109652;269.0 7.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 891;109613 887;109616 861;109624 880;109625 833;109627 887;109628 849;109629 873;109631 952;109632 830;109633 916;109634 871;109635 857;109636 829;109637 896;109638 885;109641 818;109644 849;109646 833;109647 871;109650 867;109652 901;109653 864
data,1241586600,1082758.0;40042.0;1088262.0;49654.0;1022085.0;37916.0;1086476.0;45114.0;1.23377627618;1.00311595898;1.12281146312,7898.0 239.0 109601;5526.0 78.0 109613;5969.0 307.0 109616;4789.0 201.0 109624;4911.0 221.0 109625;2684.0 55.0 109627;2743.0 58.0 109628;3983.0 148.0 109629;10843.0 617.0 109631;10022.0 565.0 109632;1899.0 37.0 109633;1751.0 35.0 109634;6273.0 351.0 109635;1134.0 36.0 109636;1670.0 48.0 109637;6084.0 340.0 109638;8904.0 476.0 109641;869.0 27.0 109644;925.0 36.0 109646;281.0 8.0 109647;3134.0 135.0 109650;456.0 15.0 109652;293.0 8.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 858;109613 852;109616 830;109624 799;109625 889;109627 913;109628 891;109629 896;109631 855;109632 860;109633 828;109634 850;109635 908;109636 909;109637 850;109638 866;109641 899;109644 891;109646 909;109647 919;109650 881;109652 852;109653 795
data,1241587200,1083624.0;40065.0;1089098.0;49688.0;1022959.0;37937.0;1087370.0;45139.0;1.23395131127;1.00303993661;1.12276290317,7955.0 242.0 109601;5539.0 78.0 109613;5996.0 307.0 109616;4843.0 203.0 109624;4953.0 221.0 109625;2698.0 56.0 109627;2752.0 58.0 109628;4006.0 149.0 109629;10884.0 618.0 109631;10087.0 566.0 109632;1913.0 37.0 109633;1774.0 35.0 109634;6292.0 352.0 109635;1173.0 36.0 109636;1685.0 48.0 109637;6211.0 351.0 109638;8928.0 477.0 109641;909.0 29.0 109644;974.0 39.0 109646;319.0 11.0 109647;3173.0 137.0 109650;501.0 17.0 109652;312.0 8.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 877;109613 922;109616 855;109624 908;109625 894;109627 892;109628 885;109629 872;109631 859;109632 886;109633 854;109634 888;109635 809;109636 854;109637 848;109638 825;109641 848;109644 863;109646 915;109647 829;109650 859;109652 869;109653 889
data,1241587500,1084491.0;40099.0;1089982.0;49721.0;1023797.0;37961.0;1088271.0;45172.0;1.23370958438;1.00280433309;1.12259905722,8005.0 244.0 109601;5555.0 78.0 109613;6014.0 307.0 109616;4879.0 204.0 109624;4986.0 223.0 109625;2716.0 57.0 109627;2775.0 58.0 109628;4025.0 149.0 109629;10941.0 621.0 109631;10145.0 567.0 109632;1929.0 38.0 109633;1798.0 36.0 109634;6360.0 359.0 109635;1211.0 37.0 109636;1708.0 49.0 109637;6326.0 357.0 109638;8958.0 478.0 109641;940.0 29.0 109644;1026.0 40.0 109646;385.0 12.0 109647;3218.0 139.0 109650;537.0 18.0 109652;324.0 8.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 857;109613 850;109616 894;109624 844;109625 901;109627 860;109628 823;109629 860;109631 856;109632 892;109633 925;109634 917;109635 893;109636 828;109637 884;109638 872;109641 895;109644 887;109646 819;109647 870;109650 885;109652 829;109653 859
data,1241588100,1085383.0;40125.0;1090832.0;49753.0;1024634.0;37985.0;1089155.0;45192.0;1.23375627036;1.00279310141;1.12237979993,8047.0 245.0 109601;5571.0 78.0 109613;6028.0 308.0 109616;4908.0 204.0 109624;5019.0 223.0 109625;2730.0 57.0 109627;2791.0 58.0 109628;4042.0 149.0 109629;10998.0 623.0 109631;10191.0 569.0 109632;1935.0 38.0 109633;1815.0 36.0 109634;6416.0 359.0 109635;1239.0 38.0 109636;1715.0 49.0 109637;6514.0 370.0 109638;8973.0 479.0 109641;964.0 30.0 109644;1055.0 40.0 109646;438.0 14.0 109647;3269.0 141.0 109650;590.0 20.0 109652;363.0 12.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 881;109613 860;109616 922;109624 864;109625 884;109627 874;109628 864;109629 838;109631 842;109632 867;109633 883;109634 877;109635 902;109636 892;109637 812;109638 861;109641 841;109644 910;109646 866;109647 843;109650 857;109652 872;109653 888
data,1241588700,1086245.0;40156.0;1091727.0;49791.0;1025475.0;38017.0;1090034.0;45202.0;1.23371300377;1.00283644912;1.1217470892,8093.0 247.0 109601;5578.0 78.0 109613;6050.0 309.0 109616;4930.0 205.0 109624;5046.0 223.0 109625;2739.0 57.0 109627;2812.0 58.0 109628;4065.0 151.0 109629;11062.0 628.0 109631;10258.0 573.0 109632;1953.0 38.0 109633;1826.0 36.0 109634;6459.0 361.0 109635;1293.0 41.0 109636;1732.0 49.0 109637;6689.0 377.0 109638;8997.0 479.0 109641;1000.0 31.0 109644;1101.0 43.0 109646;467.0 14.0 109647;3313.0 142.0 109650;635.0 23.0 109652;408.0 15.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 848;109613 928;109616 841;109624 881;109625 879;109627 871;109628 887;109629 892;109631 861;109632 817;109633 857;109634 842;109635 913;109636 871;109637 869;109638 844;109641 868;109644 906;109646 877;109647 880;109650 885;109652 854;109653 829
data,1241589300,1087108.0;40181.0;1092571.0;49815.0;1026279.0;38031.0;1090897.0;45221.0;1.23356607324;1.00259204271;1.12152346684,8136.0 247.0 109601;5589.0 78.0 109613;6086.0 313.0 109616;4957.0 206.0 109624;5061.0 223.0 109625;2753.0 57.0 109627;2822.0 58.0 109628;4094.0 151.0 109629;11129.0 628.0 109631;10302.0 573.0 109632;1962.0 38.0 109633;1833.0 36.0 109634;6513.0 368.0 109635;1336.0 42.0 109636;1744.0 49.0 109637;6871.0 382.0 109638;9016.0 479.0 109641;1030.0 32.0 109644;1137.0 44.0 109646;493.0 14.0 109647;3367.0 145.0 109650;681.0 24.0 109652;438.0 15.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 929;109613 851;109616 882;109624 878;109625 863;109627 865;109628 891;109629 889;109631 863;109632 814;109633 851;109634 852;109635 901;109636 861;109637 824;109638 906;109641 917;109644 857;109646 889;109647 848;109650 893;109652 804;109653 872
