
New Run at  02/05/2015 01:09:36
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241161800,966.0;29.0;997.0;27.0;977.0;31.0;1025.0;38.0;0.902085567046;1.05693008153;1.23492010093,56.0 1.0 109473;38.0 0.0 109506;50.0 2.0 109508;56.0 3.0 109509;76.0 4.0 109510;51.0 1.0 109511;56.0 3.0 109512;71.0 2.0 109513;47.0 3.0 109514;30.0 0.0 109515;44.0 1.0 109484;34.0 0.0 109453;40.0 0.0 109492;67.0 3.0 109505;47.0 0.0 109494;56.0 1.0 109495;41.0 0.0 109498;34.0 0.0 109501;43.0 1.0 109502;60.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1010;109506 986;109508 1024;109509 960;109510 1058;109511 1019;109512 969;109513 1024;109514 1013;109515 976;109484 1006;109453 982;109492 1019;109505 949;109494 955;109495 1003;109498 1004;109501 984;109502 1002;109503 1057
data,1241162700,1999.0;60.0;1971.0;60.0;1911.0;61.0;1993.0;71.0;1.01420598681;1.06348334205;1.18689580197,86.0 1.0 109473;89.0 3.0 109506;104.0 2.0 109508;131.0 6.0 109509;166.0 7.0 109510;105.0 5.0 109505;138.0 7.0 109512;109.0 4.0 109513;103.0 4.0 109514;70.0 0.0 109515;82.0 3.0 109484;87.0 3.0 109453;21.0 1.0 109519;69.0 0.0 109492;84.0 3.0 109494;100.0 3.0 109495;88.0 2.0 109511;95.0 3.0 109498;66.0 0.0 109501;69.0 1.0 109502;109.0 2.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109505.0 15120;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 11554;109492.0 20000;109494.0 20000;109495.0 20000;109511.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1017;109506 995;109508 1017;109509 1011;109510 982;109505 478;109512 1010;109513 968;109514 975;109515 1068;109484 1026;109453 952;109519 495;109492 983;109494 1060;109495 988;109511 983;109498 1012;109501 1003;109502 962;109503 1015
data,1241163600,3048.0;91.0;2967.0;85.0;2906.0;80.0;2996.0;96.0;0.959566217402;0.922078609622;1.07325518273,113.0 1.0 109473;142.0 4.0 109506;157.0 4.0 109508;218.0 8.0 109509;229.0 10.0 109510;123.0 2.0 109511;213.0 7.0 109512;171.0 5.0 109513;146.0 6.0 109514;94.0 0.0 109515;126.0 3.0 109484;130.0 3.0 109453;59.0 1.0 109519;103.0 1.0 109492;161.0 9.0 109494;139.0 3.0 109495;147.0 3.0 109498;90.0 0.0 109501;136.0 5.0 109502;165.0 5.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1012;109506 1030;109508 1021;109509 933;109510 1020;109511 1022;109512 972;109513 1003;109514 1027;109515 972;109484 954;109453 1072;109519 995;109492 998;109494 1023;109495 964;109498 999;109501 1022;109502 975;109503 986
data,1241164800,4018.0;120.0;4000.0;116.0;3935.0;104.0;4046.0;128.0;0.971016666667;0.884947056332;1.05928489043,141.0 2.0 109473;197.0 5.0 109506;197.0 5.0 109508;298.0 11.0 109509;303.0 11.0 109510;160.0 4.0 109511;303.0 12.0 109512;219.0 6.0 109513;216.0 9.0 109514;113.0 0.0 109515;158.0 4.0 109484;176.0 3.0 109453;95.0 1.0 109519;129.0 3.0 109492;287.0 15.0 109494;173.0 4.0 109495;192.0 3.0 109498;110.0 1.0 109501;198.0 5.0 109502;230.0 7.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 998;109506 1013;109508 1011;109509 1017;109510 1005;109511 1031;109512 990;109513 1050;109514 968;109515 1023;109484 1018;109453 953;109519 996;109492 974;109494 980;109495 938;109498 1030;109501 1006;109502 1018;109503 981
data,1241165700,5045.0;157.0;5030.0;140.0;4988.0;123.0;5015.0;163.0;0.894378949235;0.792392187109;1.04442722787,174.0 3.0 109473;248.0 6.0 109506;250.0 7.0 109508;383.0 13.0 109509;373.0 12.0 109510;198.0 6.0 109511;389.0 13.0 109512;266.0 6.0 109513;284.0 10.0 109514;135.0 0.0 109515;181.0 4.0 109484;204.0 3.0 109453;116.0 1.0 109519;175.0 5.0 109492;445.0 22.0 109494;208.0 4.0 109495;223.0 3.0 109498;133.0 1.0 109501;247.0 8.0 109502;293.0 8.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1013;109506 1022;109508 1062;109509 991;109510 1046;109511 991;109512 991;109513 969;109514 976;109515 965;109484 1036;109453 1007;109519 975;109492 937;109494 981;109495 984;109498 1021;109501 1054;109502 979;109503 1000
data,1241166900,6090.0;187.0;6067.0;172.0;6007.0;155.0;5992.0;191.0;0.923273005802;0.84032977569;1.03809535709,200.0 3.0 109473;286.0 7.0 109506;299.0 7.0 109508;464.0 15.0 109509;418.0 12.0 109510;256.0 7.0 109511;456.0 13.0 109512;298.0 7.0 109513;336.0 11.0 109514;156.0 0.0 109515;206.0 5.0 109484;226.0 4.0 109453;135.0 1.0 109519;243.0 7.0 109492;662.0 32.0 109494;254.0 7.0 109495;247.0 5.0 109498;163.0 3.0 109501;295.0 8.0 109502;362.0 13.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1069;109506 979;109508 971;109509 1037;109510 1013;109511 1017;109512 983;109513 977;109514 982;109515 953;109484 980;109453 958;109519 1012;109492 979;109494 1059;109495 963;109498 982;109501 1095;109502 977;109503 1014
data,1241167800,7084.0;202.0;7084.0;195.0;6990.0;174.0;6986.0;214.0;0.965346534653;0.872969872095;1.07426734657,220.0 3.0 109473;320.0 7.0 109506;341.0 8.0 109508;528.0 15.0 109509;473.0 13.0 109510;298.0 7.0 109511;507.0 14.0 109512;330.0 7.0 109513;393.0 11.0 109514;166.0 0.0 109515;230.0 5.0 109484;254.0 4.0 109453;152.0 3.0 109519;285.0 7.0 109492;891.0 39.0 109494;298.0 7.0 109495;294.0 7.0 109498;194.0 4.0 109501;321.0 8.0 109502;484.0 21.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 1004;109506 982;109508 976;109509 1019;109510 1053;109511 1108;109512 970;109513 994;109514 1038;109515 983;109484 980;109453 957;109519 997;109492 1005;109494 974;109495 1008;109498 975;109501 1020;109502 945;109503 1012
data,1241169000,8071.0;227.0;8050.0;221.0;8005.0;210.0;8001.0;239.0;0.976108025283;0.932737523629;1.06207483976,251.0 4.0 109473;338.0 7.0 109506;387.0 9.0 109508;575.0 16.0 109509;519.0 15.0 109510;324.0 7.0 109511;551.0 14.0 109512;353.0 7.0 109513;441.0 12.0 109514;183.0 0.0 109515;256.0 7.0 109484;278.0 6.0 109453;169.0 3.0 109519;317.0 7.0 109492;1088.0 46.0 109494;330.0 8.0 109495;349.0 8.0 109498;227.0 4.0 109501;354.0 9.0 109502;655.0 27.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 994;109506 979;109508 987;109509 1014;109510 1003;109511 1009;109512 1052;109513 1015;109514 1023;109515 1028;109484 985;109453 953;109519 930;109492 1015;109494 971;109495 988;109498 1011;109501 985;109502 1050;109503 1008
data,1241169900,9074.0;245.0;9000.0;239.0;9066.0;227.0;8993.0;271.0;0.98353106576;0.927348199372;1.1160852999,267.0 4.0 109473;362.0 7.0 109506;439.0 11.0 109508;611.0 16.0 109509;567.0 16.0 109510;342.0 7.0 109511;583.0 14.0 109512;378.0 7.0 109513;485.0 14.0 109514;196.0 0.0 109515;294.0 9.0 109484;300.0 6.0 109453;188.0 3.0 109519;346.0 7.0 109492;1311.0 51.0 109494;359.0 8.0 109495;384.0 8.0 109498;252.0 4.0 109501;407.0 12.0 109502;824.0 30.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 955;109506 981;109508 1031;109509 966;109510 1001;109511 971;109512 976;109513 992;109514 963;109515 989;109484 1014;109453 1008;109519 1032;109492 962;109494 1067;109495 998;109498 1001;109501 1045;109502 1011;109503 1037
data,1241171100,10067.0;268.0;10059.0;268.0;10038.0;257.0;9991.0;296.0;1.00079530768;0.961725666348;1.11287920322,285.0 4.0 109473;383.0 7.0 109506;509.0 13.0 109508;661.0 16.0 109509;617.0 17.0 109510;371.0 8.0 109511;611.0 14.0 109512;400.0 7.0 109513;523.0 14.0 109514;214.0 0.0 109515;367.0 13.0 109484;322.0 7.0 109453;207.0 3.0 109519;373.0 7.0 109492;1589.0 61.0 109494;388.0 8.0 109495;413.0 8.0 109498;271.0 4.0 109501;437.0 12.0 109502;1013.0 40.0 109503,109473.0 20000;109506.0 20000;109508.0 20000;109509.0 20000;109510.0 20000;109511.0 20000;109512.0 20000;109513.0 20000;109514.0 20000;109515.0 20000;109484.0 20000;109453.0 20000;109519.0 20000;109492.0 20000;109494.0 20000;109495.0 20000;109498.0 20000;109501.0 20000;109502.0 20000;109503.0 20000,109473 954;109506 987;109508 1019;109509 995;109510 1028;109511 1011;109512 992;109513 998;109514 958;109515 953;109484 1027;109453 1008;109519 977;109492 1029;109494 1032;109495 960;109498 1030;109501 1011;109502 1051;109503 980
