
New Run at  02/05/2015 03:00:03
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,397289.0;14422.0;399660.0;18227.0;375597.0;15161.0;395340.0;16767.0;1.25633528948;1.11195389993;1.16833034245,542.0 10.0 109568;4109.0 59.0 109536;309.0 24.0 109571;1595.0 48.0 109476;1385.0 49.0 109541;13200.0 492.0 109542;327.0 13.0 109569;2006.0 85.0 109551;1977.0 55.0 109553;75012.0 3002.0 109524;1490.0 46.0 109557;1267.0 39.0 109560;1190.0 46.0 109561;1115.0 23.0 109562;1113.0 38.0 109563;870.0 21.0 109564;817.0 26.0 109565;755.0 16.0 109566;758.0 31.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,398339.0;14449.0;400714.0;18265.0;376666.0;15184.0;396352.0;16793.0;1.25660909392;1.11133454092;1.16805225365,579.0 12.0 109568;4148.0 59.0 109536;516.0 39.0 109571;1633.0 48.0 109476;1429.0 49.0 109541;13269.0 495.0 109542;359.0 13.0 109569;2067.0 87.0 109551;2018.0 56.0 109553;75048.0 3002.0 109524;1532.0 47.0 109557;1302.0 40.0 109560;1225.0 46.0 109561;1177.0 25.0 109562;1193.0 41.0 109563;899.0 22.0 109564;870.0 30.0 109565;806.0 16.0 109566;821.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,399377.0;14472.0;401814.0;18304.0;377723.0;15214.0;397424.0;16812.0;1.25711624703;1.11153841883;1.16740026542,4172.0 59.0 109536;617.0 12.0 109568;843.0 61.0 109571;1659.0 48.0 109476;1459.0 49.0 109541;13345.0 499.0 109542;388.0 13.0 109569;2137.0 89.0 109551;2058.0 57.0 109553;75102.0 3004.0 109524;1566.0 49.0 109557;1335.0 41.0 109560;1257.0 46.0 109561;1221.0 25.0 109562;1253.0 42.0 109563;927.0 22.0 109564;956.0 33.0 109565;841.0 17.0 109566;855.0 34.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,400463.0;14494.0;402887.0;18343.0;378807.0;15231.0;398500.0;16841.0;1.25794383593;1.11092454395;1.16765270465,4190.0 59.0 109536;658.0 14.0 109568;1270.0 83.0 109571;1676.0 48.0 109476;1485.0 49.0 109541;13408.0 501.0 109542;413.0 14.0 109569;2206.0 91.0 109551;2080.0 57.0 109553;75123.0 3005.0 109524;1613.0 51.0 109557;1380.0 42.0 109560;1276.0 48.0 109561;1263.0 25.0 109562;1296.0 43.0 109563;956.0 23.0 109564;1015.0 34.0 109565;864.0 17.0 109566;892.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,401517.0;14513.0;403899.0;18384.0;379898.0;15245.0;399529.0;16861.0;1.25925584669;1.11021518737;1.16756686831,693.0 15.0 109568;436.0 14.0 109569;1718.0 105.0 109571;4217.0 60.0 109536;1502.0 49.0 109541;13476.0 503.0 109542;2267.0 95.0 109551;2103.0 58.0 109553;1695.0 48.0 109476;75148.0 3006.0 109524;1651.0 53.0 109557;1410.0 42.0 109560;1313.0 50.0 109561;1276.0 26.0 109562;1324.0 43.0 109563;980.0 24.0 109564;1057.0 36.0 109565;893.0 18.0 109566;917.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,402624.0;14528.0;404949.0;18419.0;380853.0;15264.0;400594.0;16889.0;1.26054845673;1.11072054336;1.16840477574,4231.0 61.0 109536;465.0 15.0 109569;2239.0 130.0 109571;1714.0 48.0 109476;1530.0 51.0 109541;13517.0 503.0 109542;710.0 15.0 109568;2338.0 97.0 109551;2133.0 58.0 109553;75176.0 3006.0 109524;1680.0 53.0 109557;1430.0 42.0 109560;1353.0 53.0 109561;1309.0 27.0 109562;1347.0 43.0 109563;1001.0 24.0 109564;1098.0 36.0 109565;914.0 18.0 109566;941.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,403646.0;14546.0;406016.0;18456.0;381908.0;15278.0;401628.0;16902.0;1.26139615578;1.11010694519;1.16780729723,4253.0 62.0 109536;492.0 15.0 109569;2802.0 155.0 109571;1734.0 49.0 109476;1554.0 52.0 109541;737.0 15.0 109568;13546.0 503.0 109542;2397.0 99.0 109551;2153.0 58.0 109553;75206.0 3006.0 109524;1718.0 56.0 109557;1448.0 43.0 109560;1403.0 53.0 109561;1332.0 28.0 109562;1368.0 44.0 109563;1015.0 24.0 109564;1142.0 37.0 109565;933.0 18.0 109566;960.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,404668.0;14571.0;407105.0;18492.0;382922.0;15297.0;402644.0;16913.0;1.26149912377;1.10944417144;1.16656494491,752.0 15.0 109568;518.0 17.0 109569;3419.0 184.0 109571;1748.0 49.0 109476;1587.0 53.0 109541;13576.0 503.0 109542;2468.0 101.0 109551;2167.0 59.0 109553;75238.0 3006.0 109524;1769.0 56.0 109557;4272.0 62.0 109536;1467.0 43.0 109560;1426.0 53.0 109561;1360.0 29.0 109562;1384.0 44.0 109563;1029.0 24.0 109564;1174.0 37.0 109565;947.0 18.0 109566;981.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,405740.0;14594.0;408188.0;18533.0;383976.0;15312.0;403726.0;16942.0;1.26228951725;1.10866751702;1.16667916309,769.0 15.0 109568;538.0 18.0 109569;4096.0 215.0 109571;1774.0 52.0 109476;1612.0 53.0 109541;13598.0 503.0 109542;1486.0 44.0 109560;2514.0 102.0 109551;2181.0 60.0 109553;75256.0 3006.0 109524;1799.0 56.0 109557;4293.0 62.0 109536;1448.0 54.0 109561;1385.0 30.0 109562;1407.0 44.0 109563;1053.0 24.0 109564;1200.0 38.0 109565;959.0 18.0 109566;997.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,406855.0;14618.0;409189.0;18578.0;385005.0;15329.0;404752.0;16970.0;1.26364972816;1.10815154066;1.16692928501,4309.0 62.0 109536;788.0 15.0 109568;4742.0 252.0 109571;1784.0 52.0 109476;1638.0 55.0 109541;13615.0 504.0 109542;552.0 18.0 109569;2545.0 103.0 109551;2198.0 60.0 109553;75278.0 3006.0 109524;1823.0 56.0 109557;1504.0 45.0 109560;1480.0 56.0 109561;1405.0 30.0 109562;1419.0 44.0 109563;1074.0 25.0 109564;1228.0 38.0 109565;975.0 18.0 109566;1009.0 35.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
