data,1241298600,324428.0;12165.0;326369.0;14633.0;303424.0;11440.0;327796.0;15833.0;1.19572328834;1.00550054691;1.28814804303;1.08896822341,3800.0 51.0 109536;4409.0 203.0 109476;768.0 21.0 109541;8366.0 339.0 109542;8965.0 343.0 109544;3741.0 80.0 109545;94.0 3.0 109561;10053.0 426.0 109547;1236.0 38.0 109518;3448.0 124.0 109551;2034.0 58.0 109553;1912.0 50.0 109554;2169.0 66.0 109555;14584.0 636.0 109524;929.0 30.0 109557;816.0 28.0 109558;451.0 6.0 109559;359.0 9.0 109560;3078.0 134.0 109556;75.0 1.0 109562;67.0 4.0 109563,109536.0 8493;109476.0 8493;109541.0 8493;109542.0 8493;109544.0 8493;109545.0 8493;109547.0 8493;109518.0 8493;109551.0 8493;109553.0 8493;109554.0 8493;109555.0 8493;109524.0 8493;109557.0 8493;109558.0 8493;109559.0 8493;109560.0 8493;109561.0 8493;109562.0 8493;109563.0 8493;109556.0 8493,109536 417;109476 432;109541 406;109542 382;109544 385;109545 427;109561 452;109547 403;109518 398;109551 425;109553 397;109554 431;109555 388;109524 363;109557 428;109558 364;109559 384;109560 385;109556 391;109562 397;109563 438
data,1241298900,324970.0;12181.0;326962.0;14648.0;304003.0;11460.0;328314.0;15848.0;1.19520218177;1.00569681666;1.28779100528;1.08904898448,3829.0 51.0 109536;4439.0 205.0 109476;793.0 21.0 109541;8391.0 340.0 109542;8995.0 344.0 109544;3780.0 82.0 109545;123.0 5.0 109561;10088.0 428.0 109547;1256.0 38.0 109518;3465.0 124.0 109551;2054.0 58.0 109553;1945.0 50.0 109554;2193.0 66.0 109555;14607.0 636.0 109524;957.0 30.0 109557;852.0 29.0 109558;478.0 6.0 109559;389.0 10.0 109560;3102.0 134.0 109556;105.0 3.0 109562;106.0 5.0 109563,109536.0 11507;109476.0 11507;109541.0 11507;109542.0 11507;109544.0 11507;109545.0 11507;109547.0 11507;109518.0 11507;109551.0 11507;109553.0 11507;109554.0 11507;109555.0 11507;109524.0 11507;109557.0 11507;109558.0 11507;109559.0 11507;109560.0 11507;109561.0 11507;109562.0 11507;109563.0 11507;109556.0 11507,109536 537;109476 560;109541 561;109542 563;109544 564;109545 545;109561 557;109547 521;109518 531;109551 529;109553 578;109554 564;109555 549;109524 538;109557 553;109558 517;109559 541;109560 575;109556 556;109562 534;109563 534
data,1241299200,325944.0;12200.0;327923.0;14678.0;304947.0;11484.0;329275.0;15881.0;1.19585401271;1.00612508908;1.28855288482;1.09088604588,3853.0 51.0 109536;4498.0 206.0 109476;830.0 22.0 109541;8423.0 340.0 109542;9033.0 344.0 109544;3833.0 83.0 109545;10169.0 432.0 109547;1293.0 40.0 109518;3507.0 125.0 109551;2081.0 58.0 109553;1984.0 50.0 109554;2230.0 67.0 109555;3150.0 138.0 109556;996.0 34.0 109557;913.0 33.0 109558;508.0 6.0 109559;439.0 13.0 109560;183.0 6.0 109561;179.0 4.0 109562;156.0 5.0 109563;14650.0 638.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 953;109476 966;109541 915;109542 1009;109544 923;109545 945;109547 951;109518 916;109551 927;109553 936;109554 936;109555 927;109556 1020;109557 935;109558 1029;109559 942;109560 965;109561 974;109562 944;109563 934;109524 953
data,1241299800,326928.0;12231.0;328913.0;14717.0;305904.0;11523.0;330239.0;15932.0;1.19599235186;1.00686340742;1.28953189604;1.09117916962,3884.0 52.0 109536;4543.0 207.0 109476;872.0 24.0 109541;8457.0 342.0 109542;9075.0 347.0 109544;3881.0 84.0 109545;250.0 12.0 109561;10276.0 439.0 109547;1326.0 41.0 109518;3536.0 125.0 109551;2103.0 58.0 109553;2007.0 51.0 109554;2256.0 68.0 109555;3227.0 141.0 109556;1042.0 35.0 109557;997.0 37.0 109558;536.0 6.0 109559;527.0 16.0 109560;14688.0 638.0 109524;226.0 4.0 109562;189.0 7.0 109563,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 912;109476 1011;109541 928;109542 935;109544 953;109545 1006;109561 998;109547 964;109518 948;109551 953;109553 859;109554 940;109555 971;109556 999;109557 939;109558 975;109559 923;109560 987;109524 928;109562 914;109563 957
data,1241300100,327904.0;12268.0;329874.0;14760.0;306891.0;11550.0;331149.0;15973.0;1.19594502909;1.00593699214;1.28924658875;1.09092528267,3912.0 52.0 109536;4597.0 210.0 109476;902.0 26.0 109541;8499.0 343.0 109542;9113.0 347.0 109544;3917.0 86.0 109545;10381.0 443.0 109547;1363.0 42.0 109518;3571.0 128.0 109551;2123.0 59.0 109553;2045.0 54.0 109554;2295.0 69.0 109555;3302.0 146.0 109556;1080.0 35.0 109557;1068.0 41.0 109558;558.0 6.0 109559;611.0 23.0 109560;318.0 14.0 109561;261.0 6.0 109562;223.0 7.0 109563;14720.0 640.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 1002;109476 945;109541 966;109542 936;109544 977;109545 893;109547 910;109518 971;109551 965;109553 948;109554 908;109555 1010;109556 970;109557 919;109558 969;109559 959;109560 939;109561 927;109562 961;109563 960;109524 965
data,1241300700,328877.0;12304.0;330808.0;14791.0;307769.0;11571.0;332086.0;16006.0;1.19511229174;1.00492395726;1.28830717396;1.09062788431,3924.0 52.0 109536;4637.0 212.0 109476;941.0 27.0 109541;8542.0 344.0 109542;9141.0 347.0 109544;3952.0 86.0 109545;10474.0 445.0 109547;1397.0 44.0 109518;3619.0 130.0 109551;2139.0 59.0 109553;2084.0 55.0 109554;2325.0 71.0 109555;3381.0 148.0 109556;1102.0 36.0 109557;1166.0 46.0 109558;576.0 6.0 109559;717.0 30.0 109560;398.0 17.0 109561;295.0 6.0 109562;244.0 7.0 109563;14739.0 640.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 938;109476 986;109541 956;109542 981;109544 967;109545 985;109547 937;109518 961;109551 992;109553 974;109554 913;109555 930;109556 983;109557 924;109558 910;109559 975;109560 950;109561 921;109562 971;109563 906;109524 940
data,1241301000,329834.0;12341.0;331717.0;14824.0;308746.0;11602.0;333058.0;16045.0;1.19438061635;1.0043303588;1.28755242439;1.09052644673,3943.0 52.0 109536;4692.0 214.0 109476;980.0 28.0 109541;8570.0 345.0 109542;9161.0 347.0 109544;3979.0 86.0 109545;10549.0 445.0 109547;1421.0 44.0 109518;3651.0 130.0 109551;2158.0 59.0 109553;2112.0 56.0 109554;2365.0 72.0 109555;3474.0 157.0 109556;1147.0 38.0 109557;1260.0 50.0 109558;593.0 6.0 109559;823.0 34.0 109560;479.0 21.0 109561;322.0 8.0 109562;265.0 8.0 109563;14758.0 641.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 978;109476 911;109541 948;109542 970;109544 930;109545 1009;109547 972;109518 921;109551 924;109553 955;109554 933;109555 949;109556 930;109557 1005;109558 936;109559 982;109560 956;109561 943;109562 965;109563 924;109524 959
data,1241301300,330782.0;12376.0;332635.0;14852.0;309715.0;11624.0;334030.0;16086.0;1.19337947648;1.00312471312;1.28713517481;1.09059022332,3957.0 52.0 109536;4742.0 215.0 109476;1007.0 28.0 109541;8585.0 345.0 109542;9177.0 348.0 109544;3998.0 86.0 109545;10622.0 450.0 109547;1444.0 44.0 109518;3686.0 131.0 109551;2172.0 59.0 109553;2141.0 56.0 109554;2393.0 72.0 109555;3603.0 160.0 109556;1203.0 43.0 109557;1362.0 52.0 109558;553.0 22.0 109561;954.0 39.0 109560;14783.0 643.0 109524;350.0 8.0 109562;286.0 8.0 109563;602.0 8.0 109559,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 949;109476 973;109541 944;109542 961;109544 931;109545 981;109547 972;109518 913;109551 919;109553 944;109554 911;109555 1001;109556 949;109557 964;109558 956;109561 970;109560 922;109524 972;109562 961;109563 925;109559 982
data,1241301900,331685.0;12403.0;333592.0;14884.0;310634.0;11643.0;334952.0;16119.0;1.19317218917;1.00233984847;1.28692906037;1.09160182782,3970.0 52.0 109536;4800.0 217.0 109476;1038.0 28.0 109541;8608.0 347.0 109542;9196.0 349.0 109544;4027.0 86.0 109545;10703.0 451.0 109547;1472.0 45.0 109518;3719.0 132.0 109551;2186.0 60.0 109553;2171.0 56.0 109554;2418.0 73.0 109555;14821.0 644.0 109524;1267.0 44.0 109557;1465.0 57.0 109558;616.0 8.0 109559;1081.0 41.0 109560;607.0 23.0 109561;375.0 8.0 109562;303.0 11.0 109563;3734.0 169.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 915;109476 973;109541 998;109542 947;109544 916;109545 982;109547 922;109518 992;109551 952;109553 941;109554 926;109555 948;109524 933;109557 946;109558 963;109559 943;109560 942;109561 950;109562 1025;109563 910;109556 976
data,1241302200,332627.0;12430.0;334511.0;14909.0;311545.0;11677.0;335930.0;16156.0;1.19268149594;1.00299060452;1.28697889427;1.09220800478,3989.0 52.0 109536;4841.0 220.0 109476;1061.0 30.0 109541;8646.0 350.0 109542;9223.0 349.0 109544;4041.0 86.0 109545;10787.0 454.0 109547;1490.0 45.0 109518;3753.0 134.0 109551;2201.0 60.0 109553;2186.0 56.0 109554;2451.0 74.0 109555;3932.0 177.0 109556;1304.0 44.0 109557;1577.0 59.0 109558;629.0 9.0 109559;1157.0 41.0 109560;655.0 23.0 109561;402.0 8.0 109562;331.0 11.0 109563;14840.0 644.0 109524,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 975;109476 940;109541 975;109542 944;109544 915;109545 911;109547 978;109518 944;109551 997;109553 869;109554 954;109555 1017;109556 991;109557 942;109558 966;109559 946;109560 945;109561 920;109562 916;109563 1015;109524 940
data,1241302500,333564.0;12454.0;335449.0;14942.0;312520.0;11710.0;336909.0;16188.0;1.19303323511;1.0035739765;1.28691805768;1.09306167926,3998.0 52.0 109536;4912.0 222.0 109476;1095.0 31.0 109541;8697.0 352.0 109542;9239.0 349.0 109544;4057.0 88.0 109545;10852.0 454.0 109547;1507.0 46.0 109518;3803.0 138.0 109551;2211.0 60.0 109553;2200.0 56.0 109554;2478.0 74.0 109555;14892.0 647.0 109524;1373.0 47.0 109557;1661.0 61.0 109558;646.0 10.0 109559;1199.0 41.0 109560;696.0 24.0 109561;418.0 8.0 109562;355.0 11.0 109563;4145.0 188.0 109556,109536.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109544.0 20000;109545.0 20000;109547.0 20000;109518.0 20000;109551.0 20000;109553.0 20000;109554.0 20000;109555.0 20000;109524.0 20000;109557.0 20000;109558.0 20000;109559.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109556.0 20000,109536 980;109476 969;109541 962;109542 911;109544 966;109545 935;109547 979;109518 936;109551 977;109553 946;109554 914;109555 943;109524 968;109557 972;109558 957;109559 939;109560 959;109561 929;109562 1006;109563 911;109556 941
