data,1241334900,398465.0;14495.0;400184.0;17264.0;373271.0;13594.0;401239.0;18961.0;1.18591528614;1.0011403739;1.29906253961;1.06796056967,2740.0 105.0 109568;5426.0 71.0 109536;7832.0 482.0 109571;7307.0 288.0 109476;3779.0 128.0 109541;12406.0 494.0 109542;448.0 14.0 109569;7810.0 292.0 109551;4086.0 109.0 109553;18708.0 777.0 109524;3802.0 118.0 109557;3145.0 91.0 109560;3045.0 96.0 109561;2915.0 80.0 109562;2032.0 52.0 109563;1240.0 19.0 109564;2977.0 102.0 109565;1527.0 41.0 109566;1969.0 63.0 109567,109536.0 5597;109568.0 5597;109571.0 5597;109476.0 5597;109541.0 5597;109542.0 5597;109569.0 5597;109551.0 5597;109553.0 5597;109524.0 5597;109557.0 5597;109560.0 5597;109561.0 5597;109562.0 5597;109563.0 5597;109564.0 5597;109565.0 5597;109566.0 5597;109567.0 5597,109568 296;109536 299;109571 303;109476 271;109541 278;109542 304;109569 294;109551 300;109553 304;109524 308;109557 280;109560 340;109561 298;109562 327;109563 286;109564 259;109565 276;109566 289;109567 285
data,1241335500,399213.0;14515.0;400945.0;17285.0;374042.0;13613.0;401998.0;18982.0;1.18569289372;1.00097010977;1.29869064375;1.06812822724,2790.0 106.0 109568;5469.0 74.0 109536;7873.0 484.0 109571;7342.0 289.0 109476;3811.0 128.0 109541;12453.0 495.0 109542;488.0 15.0 109569;7846.0 293.0 109551;4142.0 110.0 109553;18736.0 777.0 109524;3840.0 118.0 109557;3189.0 94.0 109560;3093.0 98.0 109561;2944.0 82.0 109562;2076.0 52.0 109563;1276.0 19.0 109564;3011.0 103.0 109565;1578.0 43.0 109566;1998.0 63.0 109567,109536.0 14403;109568.0 14403;109571.0 14403;109476.0 14403;109541.0 14403;109542.0 14403;109569.0 14403;109551.0 14403;109553.0 14403;109524.0 14403;109557.0 14403;109560.0 14403;109561.0 14403;109562.0 14403;109563.0 14403;109564.0 14403;109565.0 14403;109566.0 14403;109567.0 14403,109568 767;109536 789;109571 791;109476 747;109541 779;109542 715;109569 753;109551 773;109553 804;109524 720;109557 790;109560 735;109561 743;109562 718;109563 726;109564 759;109565 786;109566 770;109567 738
data,1241336400,400283.0;14538.0;402050.0;17316.0;375059.0;13636.0;403055.0;18995.0;1.1858506397;1.00103642996;1.29758992948;1.06866990781,5550.0 75.0 109536;2842.0 108.0 109568;7966.0 488.0 109571;7398.0 290.0 109476;3858.0 130.0 109541;12505.0 495.0 109542;546.0 20.0 109569;7898.0 294.0 109551;4221.0 113.0 109553;18779.0 780.0 109524;3880.0 119.0 109557;3263.0 95.0 109560;3136.0 98.0 109561;3017.0 82.0 109562;2115.0 53.0 109563;1310.0 19.0 109564;3079.0 106.0 109565;1643.0 44.0 109566;2054.0 65.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,401373.0;14561.0;403062.0;17352.0;376071.0;13653.0;404131.0;19019.0;1.18668276849;1.00072603358;1.29724637446;1.068449612,5606.0 75.0 109536;2907.0 110.0 109568;8068.0 496.0 109571;7440.0 293.0 109476;3900.0 132.0 109541;12543.0 496.0 109542;633.0 24.0 109569;7941.0 295.0 109551;4286.0 114.0 109553;18843.0 783.0 109524;3903.0 120.0 109557;3314.0 96.0 109560;3187.0 100.0 109561;3040.0 82.0 109562;2156.0 56.0 109563;1346.0 20.0 109564;3170.0 109.0 109565;1691.0 44.0 109566;2098.0 65.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,402410.0;14579.0;404124.0;17380.0;377142.0;13682.0;405219.0;19053.0;1.18706953044;1.00134956808;1.29782039747;1.06838773751,2959.0 110.0 109568;759.0 29.0 109569;8275.0 508.0 109571;5643.0 75.0 109536;3955.0 134.0 109541;12575.0 497.0 109542;7976.0 295.0 109551;4339.0 115.0 109553;7517.0 296.0 109476;18909.0 786.0 109524;3932.0 120.0 109557;3346.0 96.0 109560;3228.0 100.0 109561;3065.0 82.0 109562;2207.0 56.0 109563;1371.0 20.0 109564;3225.0 110.0 109565;1723.0 44.0 109566;2130.0 65.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,403467.0;14594.0;405212.0;17407.0;378205.0;13695.0;406311.0;19080.0;1.18761399946;1.00107922264;1.29823546058;1.06865933548,5688.0 75.0 109536;864.0 30.0 109569;8524.0 520.0 109571;7578.0 296.0 109476;4009.0 136.0 109541;12610.0 498.0 109542;2998.0 111.0 109568;8019.0 296.0 109551;4394.0 116.0 109553;19015.0 790.0 109524;3958.0 120.0 109557;3377.0 96.0 109560;3261.0 100.0 109561;3083.0 82.0 109562;2240.0 56.0 109563;1396.0 20.0 109564;3300.0 112.0 109565;1749.0 44.0 109566;2159.0 67.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,404528.0;14612.0;406230.0;17431.0;379257.0;13719.0;407424.0;19108.0;1.18792557895;1.00144654948;1.29839713381;1.06854775562,5716.0 75.0 109536;939.0 30.0 109569;8839.0 534.0 109571;7619.0 298.0 109476;4067.0 136.0 109541;3036.0 112.0 109568;12647.0 498.0 109542;8039.0 296.0 109551;4433.0 116.0 109553;19121.0 795.0 109524;3974.0 120.0 109557;3415.0 96.0 109560;3306.0 101.0 109561;3103.0 82.0 109562;2261.0 56.0 109563;1421.0 20.0 109564;3347.0 112.0 109565;1764.0 44.0 109566;2193.0 68.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,405558.0;14632.0;407305.0;17474.0;380280.0;13744.0;408418.0;19123.0;1.1891095585;1.0017490551;1.29777806951;1.06933665395,3086.0 114.0 109568;984.0 31.0 109569;9277.0 562.0 109571;7658.0 298.0 109476;4112.0 136.0 109541;12692.0 499.0 109542;8060.0 296.0 109551;4462.0 116.0 109553;19209.0 796.0 109524;3997.0 120.0 109557;5734.0 75.0 109536;3445.0 99.0 109560;3344.0 103.0 109561;3121.0 82.0 109562;2284.0 56.0 109563;1444.0 20.0 109564;3392.0 114.0 109565;1775.0 44.0 109566;2239.0 71.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,406584.0;14645.0;408391.0;17509.0;381324.0;13765.0;409507.0;19145.0;1.19027164602;1.00217365955;1.29794099285;1.06971493936,3124.0 115.0 109568;1018.0 31.0 109569;9806.0 587.0 109571;7697.0 300.0 109476;4137.0 136.0 109541;12712.0 499.0 109542;3493.0 100.0 109560;8081.0 296.0 109551;4484.0 116.0 109553;19264.0 796.0 109524;4013.0 120.0 109557;5758.0 75.0 109536;3389.0 106.0 109561;3139.0 82.0 109562;2305.0 57.0 109563;1462.0 21.0 109564;3430.0 114.0 109565;1800.0 44.0 109566;2289.0 72.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,407684.0;14668.0;409426.0;17552.0;382405.0;13790.0;410548.0;19169.0;1.19152719212;1.00229016814;1.29774176815;1.06925472512,5782.0 75.0 109536;3157.0 116.0 109568;10385.0 623.0 109571;7729.0 300.0 109476;4161.0 136.0 109541;12734.0 500.0 109542;1056.0 33.0 109569;8100.0 297.0 109551;4504.0 116.0 109553;19294.0 796.0 109524;4030.0 121.0 109557;3538.0 101.0 109560;3416.0 106.0 109561;3155.0 82.0 109562;2322.0 57.0 109563;1481.0 21.0 109564;3450.0 114.0 109565;1813.0 44.0 109566;2329.0 72.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
data,1241344500,408746.0;14679.0;410483.0;17590.0;383448.0;13809.0;411604.0;19184.0;1.19323974045;1.00279647322;1.29782646014;1.06983574865,5797.0 75.0 109536;1084.0 33.0 109569;11049.0 657.0 109571;7744.0 300.0 109476;4189.0 136.0 109541;12756.0 501.0 109542;3180.0 116.0 109568;8118.0 298.0 109551;4526.0 116.0 109553;19315.0 796.0 109524;4046.0 121.0 109557;3570.0 101.0 109560;3442.0 106.0 109561;3175.0 82.0 109562;2340.0 57.0 109563;1509.0 22.0 109564;3472.0 114.0 109565;1832.0 44.0 109566;2349.0 73.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1057;109569 1111;109571 1033;109476 998;109541 1099;109542 1036;109568 1031;109551 1044;109553 1043;109524 1076;109557 1031;109560 1061;109561 1056;109562 1052;109563 1012;109564 1052;109565 1037;109566 1066;109567 1105
