data,1241584500,1080435.0;39619.0;1085252.0;49878.0;1015994.0;38334.0;1085891.0;50965.0;1.25335347907;1.02893544978;1.27991441334;1.04273657552,7244.0 222.0 109601;5491.0 85.0 109613;6064.0 329.0 109616;3909.0 155.0 109624;4732.0 208.0 109625;2484.0 48.0 109627;2720.0 74.0 109628;2966.0 119.0 109629;7147.0 412.0 109631;5457.0 298.0 109632;1594.0 28.0 109633;1525.0 33.0 109634;7564.0 422.0 109635;1035.0 45.0 109636;1631.0 59.0 109637;8992.0 534.0 109638;8902.0 530.0 109641;582.0 15.0 109644;5255.0 304.0 109646;84.0 2.0 109647;1837.0 81.0 109650;383.0 21.0 109652;182.0 2.0 109653,109601.0 11277;109613.0 11277;109616.0 11277;109624.0 11277;109625.0 11277;109627.0 11277;109628.0 11277;109629.0 11277;109631.0 11277;109632.0 11277;109633.0 11277;109634.0 11277;109635.0 11277;109636.0 11277;109637.0 11277;109638.0 11277;109641.0 11277;109644.0 11277;109646.0 11277;109647.0 11277;109650.0 11277;109652.0 11277;109653.0 11277,109601 485;109613 477;109616 488;109624 518;109625 482;109627 466;109628 520;109629 512;109631 474;109632 530;109633 476;109634 484;109635 495;109636 503;109637 512;109638 497;109641 457;109644 491;109646 498;109647 481;109650 483;109652 462;109653 486
data,1241584800,1080832.0;39628.0;1085637.0;49888.0;1016344.0;38352.0;1086275.0;50985.0;1.25333595087;1.02920841637;1.28014356953;1.0425689856,7258.0 222.0 109601;5510.0 85.0 109613;6084.0 330.0 109616;3927.0 156.0 109624;4745.0 208.0 109625;2501.0 48.0 109627;2736.0 74.0 109628;2978.0 119.0 109629;7164.0 413.0 109631;5471.0 298.0 109632;1619.0 28.0 109633;1544.0 34.0 109634;7576.0 422.0 109635;1057.0 47.0 109636;1645.0 60.0 109637;9003.0 534.0 109638;8921.0 530.0 109641;597.0 15.0 109644;5272.0 305.0 109646;98.0 2.0 109647;1852.0 81.0 109650;408.0 23.0 109652;199.0 2.0 109653,109601.0 8723;109613.0 8723;109616.0 8723;109624.0 8723;109625.0 8723;109627.0 8723;109628.0 8723;109629.0 8723;109631.0 8723;109632.0 8723;109633.0 8723;109634.0 8723;109635.0 8723;109636.0 8723;109637.0 8723;109638.0 8723;109641.0 8723;109644.0 8723;109646.0 8723;109647.0 8723;109650.0 8723;109652.0 8723;109653.0 8723,109601 380;109613 394;109616 389;109624 359;109625 382;109627 386;109628 381;109629 372;109631 374;109632 382;109633 398;109634 370;109635 362;109636 353;109637 380;109638 390;109641 393;109644 362;109646 394;109647 371;109650 363;109652 390;109653 398
data,1241585100,1081715.0;39661.0;1086549.0;49921.0;1017219.0;38380.0;1087114.0;51023.0;1.25309256113;1.02905763398;1.28008878721;1.04205710456,7297.0 225.0 109601;5541.0 85.0 109613;6123.0 330.0 109616;4000.0 160.0 109624;4784.0 209.0 109625;2537.0 49.0 109627;2770.0 76.0 109628;3009.0 119.0 109629;7212.0 417.0 109631;5502.0 299.0 109632;1643.0 28.0 109633;1577.0 34.0 109634;7619.0 422.0 109635;1104.0 47.0 109636;1682.0 60.0 109637;9032.0 534.0 109638;8990.0 538.0 109641;622.0 15.0 109644;5309.0 306.0 109646;125.0 3.0 109647;1890.0 83.0 109650;463.0 26.0 109652;246.0 4.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 867;109613 881;109616 859;109624 887;109625 856;109627 859;109628 857;109629 940;109631 885;109632 880;109633 876;109634 848;109635 902;109636 884;109637 817;109638 851;109641 865;109644 867;109646 822;109647 918;109650 873;109652 855;109653 851
data,1241585700,1082551.0;39691.0;1087412.0;49944.0;1018103.0;38403.0;1087999.0;51051.0;1.25269552277;1.02879716716;1.27977046157;1.0414334208,7332.0 225.0 109601;5566.0 85.0 109613;6152.0 331.0 109616;4085.0 164.0 109624;4818.0 212.0 109625;2570.0 49.0 109627;2806.0 76.0 109628;3028.0 119.0 109629;7265.0 418.0 109631;5533.0 300.0 109632;1658.0 28.0 109633;1620.0 35.0 109634;7647.0 423.0 109635;1154.0 50.0 109636;1717.0 61.0 109637;9049.0 535.0 109638;9058.0 540.0 109641;638.0 15.0 109644;5348.0 306.0 109646;156.0 4.0 109647;1922.0 83.0 109650;519.0 27.0 109652;299.0 6.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 828;109613 876;109616 845;109624 874;109625 881;109627 881;109628 906;109629 858;109631 927;109632 867;109633 845;109634 878;109635 887;109636 900;109637 914;109638 853;109641 855;109644 865;109646 833;109647 810;109650 887;109652 837;109653 893
data,1241586000,1083425.0;39715.0;1088310.0;49974.0;1018980.0;38432.0;1088866.0;51091.0;1.25266740941;1.02889631441;1.28001262112;1.0409687804,7365.0 225.0 109601;5594.0 85.0 109613;6193.0 334.0 109616;4147.0 164.0 109624;4856.0 213.0 109625;2611.0 50.0 109627;2851.0 78.0 109628;3055.0 121.0 109629;7355.0 423.0 109631;5555.0 300.0 109632;1681.0 30.0 109633;1646.0 36.0 109634;7680.0 426.0 109635;1196.0 51.0 109636;1754.0 62.0 109637;9091.0 537.0 109638;9124.0 542.0 109641;661.0 15.0 109644;5371.0 306.0 109646;198.0 5.0 109647;1945.0 85.0 109650;568.0 27.0 109652;341.0 7.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 891;109613 887;109616 861;109624 880;109625 833;109627 887;109628 849;109629 873;109631 952;109632 830;109633 916;109634 871;109635 857;109636 829;109637 896;109638 885;109641 818;109644 849;109646 833;109647 871;109650 867;109652 901;109653 864
data,1241586600,1084282.0;39742.0;1089199.0;50000.0;1019919.0;38470.0;1089750.0;51123.0;1.25243529945;1.02907975197;1.27991751629;1.04056903247,7385.0 225.0 109601;5610.0 85.0 109613;6248.0 336.0 109616;4190.0 165.0 109624;4891.0 213.0 109625;2639.0 51.0 109627;2893.0 80.0 109628;3085.0 122.0 109629;7440.0 428.0 109631;5590.0 301.0 109632;1705.0 30.0 109633;1676.0 36.0 109634;7722.0 427.0 109635;1235.0 52.0 109636;1795.0 63.0 109637;9127.0 537.0 109638;9212.0 544.0 109641;675.0 15.0 109644;5393.0 307.0 109646;241.0 7.0 109647;1994.0 87.0 109650;599.0 28.0 109652;382.0 9.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 858;109613 852;109616 830;109624 799;109625 889;109627 913;109628 891;109629 896;109631 855;109632 860;109633 828;109634 850;109635 908;109636 909;109637 850;109638 866;109641 899;109644 891;109646 909;109647 919;109650 881;109652 852;109653 795
data,1241587200,1085145.0;39771.0;1090065.0;50027.0;1020830.0;38495.0;1090609.0;51157.0;1.25219892686;1.02889761869;1.27984463895;1.04015669617,7399.0 226.0 109601;5625.0 85.0 109613;6297.0 337.0 109616;4232.0 165.0 109624;4918.0 213.0 109625;2683.0 53.0 109627;2920.0 80.0 109628;3109.0 122.0 109629;7546.0 431.0 109631;5625.0 302.0 109632;1739.0 31.0 109633;1702.0 38.0 109634;7760.0 428.0 109635;1268.0 52.0 109636;1830.0 66.0 109637;9148.0 537.0 109638;9272.0 547.0 109641;705.0 17.0 109644;5424.0 308.0 109646;283.0 9.0 109647;2036.0 89.0 109650;642.0 30.0 109652;430.0 9.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 877;109613 922;109616 855;109624 908;109625 894;109627 892;109628 885;109629 872;109631 859;109632 886;109633 854;109634 888;109635 809;109636 854;109637 848;109638 825;109641 848;109644 863;109646 915;109647 829;109650 859;109652 869;109653 889
data,1241587500,1085959.0;39801.0;1090900.0;50054.0;1021669.0;38522.0;1091494.0;51195.0;1.25191053067;1.02876944259;1.2797514777;1.0396404546,7421.0 226.0 109601;5641.0 85.0 109613;6340.0 338.0 109616;4257.0 165.0 109624;4938.0 214.0 109625;2723.0 53.0 109627;2955.0 80.0 109628;3129.0 123.0 109629;7626.0 432.0 109631;5664.0 304.0 109632;1766.0 31.0 109633;1736.0 39.0 109634;7792.0 428.0 109635;1284.0 52.0 109636;1894.0 69.0 109637;9186.0 541.0 109638;9356.0 555.0 109641;720.0 17.0 109644;5460.0 311.0 109646;314.0 9.0 109647;2090.0 91.0 109650;676.0 30.0 109652;460.0 9.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 857;109613 850;109616 894;109624 844;109625 901;109627 860;109628 823;109629 860;109631 856;109632 892;109633 925;109634 917;109635 893;109636 828;109637 884;109638 872;109641 895;109644 887;109646 819;109647 870;109650 885;109652 829;109653 859
data,1241588100,1086855.0;39820.0;1091792.0;50081.0;1022530.0;38542.0;1092351.0;51228.0;1.25199742704;1.02879427871;1.2800164242;1.03938064363,7449.0 228.0 109601;5661.0 85.0 109613;6408.0 343.0 109616;4275.0 165.0 109624;4967.0 214.0 109625;2751.0 53.0 109627;2981.0 80.0 109628;3165.0 125.0 109629;7683.0 432.0 109631;5698.0 304.0 109632;1781.0 31.0 109633;1766.0 39.0 109634;7824.0 429.0 109635;1326.0 55.0 109636;1939.0 70.0 109637;9245.0 545.0 109638;9466.0 559.0 109641;735.0 17.0 109644;5500.0 312.0 109646;350.0 10.0 109647;2157.0 93.0 109650;705.0 30.0 109652;488.0 10.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 881;109613 860;109616 922;109624 864;109625 884;109627 874;109628 864;109629 838;109631 842;109632 867;109633 883;109634 877;109635 902;109636 892;109637 812;109638 861;109641 841;109644 910;109646 866;109647 843;109650 857;109652 872;109653 888
data,1241588700,1087701.0;39847.0;1092686.0;50107.0;1023395.0;38564.0;1093234.0;51260.0;1.25174804207;1.02861459299;1.27990981624;1.03900027553,7465.0 228.0 109601;5679.0 85.0 109613;6493.0 346.0 109616;4294.0 165.0 109624;4987.0 214.0 109625;2773.0 53.0 109627;2997.0 80.0 109628;3214.0 128.0 109629;7742.0 434.0 109631;5725.0 304.0 109632;1800.0 31.0 109633;1790.0 40.0 109634;7868.0 432.0 109635;1354.0 56.0 109636;1997.0 72.0 109637;9310.0 548.0 109638;9596.0 563.0 109641;753.0 17.0 109644;5527.0 313.0 109646;399.0 12.0 109647;2214.0 94.0 109650;729.0 30.0 109652;508.0 10.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 848;109613 928;109616 841;109624 881;109625 879;109627 871;109628 887;109629 892;109631 861;109632 817;109633 857;109634 842;109635 913;109636 871;109637 869;109638 844;109641 868;109644 906;109646 877;109647 880;109650 885;109652 854;109653 829
data,1241589300,1088585.0;39881.0;1093542.0;50142.0;1024243.0;38583.0;1094127.0;51298.0;1.25159117126;1.02822768868;1.27976139168;1.0384726784,7488.0 229.0 109601;5692.0 85.0 109613;6556.0 347.0 109616;4309.0 166.0 109624;5004.0 214.0 109625;2788.0 53.0 109627;3018.0 81.0 109628;3270.0 128.0 109629;7796.0 434.0 109631;5745.0 304.0 109632;1814.0 31.0 109633;1805.0 40.0 109634;7902.0 436.0 109635;1403.0 58.0 109636;2046.0 73.0 109637;9397.0 553.0 109638;9727.0 572.0 109641;761.0 17.0 109644;5562.0 317.0 109646;431.0 13.0 109647;2274.0 98.0 109650;751.0 31.0 109652;531.0 10.0 109653,109601.0 20000;109613.0 20000;109616.0 20000;109624.0 20000;109625.0 20000;109627.0 20000;109628.0 20000;109629.0 20000;109631.0 20000;109632.0 20000;109633.0 20000;109634.0 20000;109635.0 20000;109636.0 20000;109637.0 20000;109638.0 20000;109641.0 20000;109644.0 20000;109646.0 20000;109647.0 20000;109650.0 20000;109652.0 20000;109653.0 20000,109601 929;109613 851;109616 882;109624 878;109625 863;109627 865;109628 891;109629 889;109631 863;109632 814;109633 851;109634 852;109635 901;109636 861;109637 824;109638 906;109641 917;109644 857;109646 889;109647 848;109650 893;109652 804;109653 872
