
New Run at  02/05/2015 18:40:12
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241507400,844450.0;30149.0;845272.0;33191.0;801492.0;34672.0;841869.0;35539.0;1.09982827999;1.2116598868;1.18239262936;1.08907875792,1733.0 61.0 109601;1518.0 73.0 109603;59686.0 1775.0 109476;1614.0 115.0 109605;1431.0 52.0 109608;992.0 39.0 109610;670.0 17.0 109611;596.0 46.0 109612;5534.0 186.0 109517;748.0 35.0 109614;966.0 11.0 109613;781.0 67.0 109617;475.0 12.0 109618;215.0 3.0 109619;2790.0 128.0 109594;924.0 34.0 109615;2577.0 113.0 109596;2172.0 105.0 109598;2130.0 115.0 109599,109601.0 19389;109603.0 19389;109476.0 19389;109605.0 19389;109608.0 19389;109610.0 19389;109611.0 19389;109612.0 19389;109613.0 19389;109614.0 19389;109517.0 19389;109617.0 19389;109618.0 19389;109619.0 19389;109594.0 19389;109615.0 19389;109596.0 19389;109598.0 19389;109599.0 19389,109601 1028;109603 1017;109476 957;109605 1040;109608 999;109610 1044;109611 1017;109612 1138;109517 1087;109614 1078;109613 968;109617 1048;109618 972;109619 1018;109594 1044;109615 936;109596 1009;109598 1051;109599 938
data,1241508000,845504.0;30173.0;846323.0;33213.0;802578.0;34707.0;842940.0;35599.0;1.099687113;1.21178898012;1.18341837802;1.08870138129,1751.0 63.0 109601;1531.0 73.0 109603;60443.0 1788.0 109476;1627.0 117.0 109605;1447.0 52.0 109608;1013.0 40.0 109610;685.0 17.0 109611;617.0 46.0 109612;5544.0 186.0 109517;764.0 37.0 109614;984.0 11.0 109613;800.0 67.0 109617;493.0 12.0 109618;233.0 3.0 109619;2801.0 129.0 109594;944.0 35.0 109615;2590.0 113.0 109596;2186.0 105.0 109598;2150.0 115.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1035;109603 995;109476 1068;109605 1036;109608 999;109610 1051;109611 997;109612 1059;109517 1032;109614 1071;109613 1104;109617 1053;109618 1056;109619 1090;109594 1089;109615 1044;109596 1132;109598 1042;109599 1047
data,1241508600,846572.0;30205.0;847306.0;33238.0;803583.0;34730.0;843973.0;35644.0;1.09946057778;1.21132059988;1.18370352825;1.08827182228,1768.0 63.0 109601;1555.0 74.0 109603;61157.0 1808.0 109476;1644.0 118.0 109605;1461.0 53.0 109608;1028.0 40.0 109610;699.0 17.0 109611;632.0 46.0 109612;5560.0 186.0 109517;774.0 37.0 109614;958.0 35.0 109615;1009.0 11.0 109613;810.0 67.0 109617;501.0 12.0 109618;247.0 3.0 109619;2816.0 131.0 109594;2608.0 113.0 109596;2198.0 105.0 109598;2161.0 115.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1010;109603 1071;109476 1055;109605 1084;109608 1025;109610 1063;109611 1057;109612 1041;109517 1018;109614 1033;109615 1042;109613 1064;109617 1057;109618 1054;109619 1036;109594 1099;109596 1048;109598 1048;109599 1095
data,1241509500,847635.0;30227.0;848378.0;33259.0;804625.0;34756.0;845025.0;35689.0;1.09934403475;1.21129549333;1.18434616076;1.08815661523,1783.0 65.0 109601;1577.0 74.0 109603;61936.0 1821.0 109476;1666.0 119.0 109605;1474.0 54.0 109608;1042.0 40.0 109610;717.0 18.0 109611;646.0 47.0 109612;1019.0 11.0 109613;789.0 38.0 109614;968.0 35.0 109615;824.0 67.0 109617;514.0 12.0 109618;269.0 3.0 109619;2832.0 132.0 109594;2627.0 113.0 109596;5579.0 186.0 109517;2213.0 105.0 109598;2183.0 115.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1046;109603 1084;109476 1080;109605 1096;109608 1080;109610 1072;109611 1049;109612 1093;109613 1061;109614 1052;109615 998;109617 1074;109618 1021;109619 1064;109594 1008;109596 1020;109517 1049;109598 1024;109599 1029
data,1241510100,848635.0;30253.0;849437.0;33284.0;805598.0;34774.0;846066.0;35723.0;1.09914966292;1.21084558429;1.18439392909;1.0876365898,1802.0 66.0 109601;1591.0 75.0 109603;62665.0 1837.0 109476;1683.0 121.0 109605;1493.0 54.0 109608;1063.0 40.0 109610;741.0 18.0 109611;661.0 47.0 109612;1041.0 11.0 109613;809.0 38.0 109614;984.0 35.0 109615;846.0 68.0 109617;528.0 12.0 109618;288.0 3.0 109619;2848.0 133.0 109594;2646.0 114.0 109596;5592.0 187.0 109517;2231.0 106.0 109598;2205.0 115.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1092;109476 1045;109605 1125;109608 1048;109610 1040;109611 1075;109612 979;109613 1041;109614 1041;109615 1026;109617 1044;109618 1035;109619 1063;109594 1076;109596 1026;109517 1086;109598 1034;109599 1065
data,1241511000,849741.0;30277.0;850474.0;33306.0;806663.0;34796.0;847187.0;35790.0;1.09909484032;1.21062856681;1.18564902382;1.08749113368,1819.0 67.0 109601;1608.0 76.0 109603;63411.0 1851.0 109476;1699.0 121.0 109605;1509.0 54.0 109608;1074.0 40.0 109610;758.0 19.0 109611;679.0 48.0 109612;1056.0 11.0 109613;830.0 39.0 109614;1003.0 35.0 109615;866.0 69.0 109617;538.0 12.0 109618;308.0 3.0 109619;2863.0 133.0 109594;2663.0 114.0 109596;5603.0 188.0 109517;2244.0 107.0 109598;2223.0 115.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1048;109603 1023;109476 1052;109605 1059;109608 1076;109610 1050;109611 1015;109612 1058;109613 1070;109614 1121;109615 995;109617 1067;109618 1080;109619 980;109594 1100;109596 1052;109517 1060;109598 1060;109599 1034
data,1241511900,850800.0;30289.0;851526.0;33320.0;807749.0;34822.0;848165.0;35830.0;1.09913142729;1.21093220128;1.18661274079;1.08768852716,1832.0 67.0 109601;1622.0 76.0 109603;64174.0 1857.0 109476;1713.0 121.0 109605;1527.0 54.0 109608;1091.0 40.0 109610;776.0 20.0 109611;694.0 48.0 109612;1077.0 11.0 109613;841.0 39.0 109614;5621.0 188.0 109517;881.0 72.0 109617;558.0 12.0 109618;321.0 3.0 109619;2885.0 133.0 109594;1020.0 35.0 109615;2675.0 115.0 109596;2260.0 108.0 109598;2238.0 117.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1059;109603 1088;109476 1054;109605 1127;109608 999;109610 1076;109611 1021;109612 1056;109613 1053;109614 978;109517 1056;109617 1026;109618 1092;109619 1021;109594 1093;109615 1024;109596 1051;109598 1056;109599 1070
data,1241512500,851842.0;30312.0;852597.0;33340.0;808800.0;34854.0;849214.0;35875.0;1.09892044202;1.21103289831;1.18718724332;1.08742185831,1848.0 67.0 109601;1639.0 76.0 109603;64948.0 1869.0 109476;1095.0 11.0 109613;1543.0 54.0 109608;1113.0 41.0 109610;793.0 21.0 109611;709.0 48.0 109612;5640.0 190.0 109517;858.0 39.0 109614;1039.0 36.0 109615;895.0 73.0 109617;577.0 13.0 109618;337.0 3.0 109619;2901.0 133.0 109594;2686.0 116.0 109596;1730.0 121.0 109605;2270.0 108.0 109598;2256.0 117.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1017;109603 1089;109476 1080;109613 1053;109608 1015;109610 1047;109611 1055;109612 1052;109517 1093;109614 1049;109615 1101;109617 1003;109618 1081;109619 1034;109594 1067;109596 1054;109605 1000;109598 1032;109599 1078
data,1241513400,852891.0;30328.0;853634.0;33356.0;809808.0;34880.0;850248.0;35923.0;1.09888443208;1.21127896025;1.18816495708;1.08746528498,1868.0 67.0 109601;1662.0 76.0 109603;65655.0 1879.0 109476;1742.0 121.0 109605;1563.0 54.0 109608;5655.0 190.0 109517;805.0 21.0 109611;722.0 48.0 109612;1112.0 11.0 109613;873.0 39.0 109614;1058.0 36.0 109615;911.0 73.0 109617;598.0 15.0 109618;358.0 5.0 109619;2916.0 134.0 109594;2706.0 117.0 109596;1138.0 41.0 109610;2295.0 108.0 109598;2277.0 117.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1070;109603 1042;109476 1005;109605 968;109608 1092;109517 1080;109611 1067;109612 1083;109613 1025;109614 1034;109615 1092;109617 1017;109618 1075;109619 1049;109594 1068;109596 1046;109610 1036;109598 1077;109599 1074
data,1241514300,853958.0;30346.0;854711.0;33377.0;810890.0;34909.0;851294.0;35962.0;1.09891237324;1.21146402334;1.18877406632;1.08747834206,1889.0 67.0 109601;1679.0 76.0 109603;66416.0 1890.0 109476;1764.0 122.0 109605;1584.0 54.0 109608;1154.0 42.0 109610;815.0 21.0 109611;742.0 50.0 109612;5676.0 190.0 109517;893.0 40.0 109614;1126.0 12.0 109613;936.0 75.0 109617;610.0 15.0 109618;375.0 5.0 109619;2928.0 134.0 109594;1075.0 38.0 109615;2720.0 117.0 109596;2313.0 108.0 109598;2296.0 117.0 109599,109601.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109608.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109517.0 20000;109617.0 20000;109618.0 20000;109619.0 20000;109594.0 20000;109615.0 20000;109596.0 20000;109598.0 20000;109599.0 20000,109601 1040;109603 1056;109476 1024;109605 985;109608 1061;109610 1065;109611 1087;109612 1100;109517 988;109614 1046;109613 1066;109617 1133;109618 1015;109619 1005;109594 1047;109615 1057;109596 1094;109598 1045;109599 1086
