
New Run at  02/05/2015 16:40:00
, Time, randomAccesses; randomClicks; exp3Access; exp3Clicks; ucb1Accesses; ucb1Clicks; greedyAccesses; greedyClicks; exp3CTRRatio; ucb1CTRRatio; greedyCTRRatio; extremeGreedyCTRRatio, Article Access; Clicks; ID; Theta, ID; epochArticles, ID ;epochSelectedArticles 
data,1241334600,398403.0;14377.0;400066.0;18106.0;376268.0;15380.0;399558.0;17421.0;1.25413763118;1.13269602849;1.20822433164;1.30418436869,520.0 18.0 109568;3839.0 68.0 109536;268.0 17.0 109571;1681.0 64.0 109476;1404.0 50.0 109541;68422.0 2550.0 109542;359.0 12.0 109569;1980.0 76.0 109551;1904.0 42.0 109553;6450.0 239.0 109524;1491.0 39.0 109557;1279.0 38.0 109560;1150.0 46.0 109561;1189.0 37.0 109562;1155.0 32.0 109563;849.0 16.0 109564;772.0 24.0 109565;718.0 26.0 109566;698.0 18.0 109567,109536.0 18313;109568.0 18313;109571.0 18313;109476.0 18313;109541.0 18313;109542.0 18313;109569.0 18313;109551.0 18313;109553.0 18313;109524.0 18313;109557.0 18313;109560.0 18313;109561.0 18313;109562.0 18313;109563.0 18313;109564.0 18313;109565.0 18313;109566.0 18313;109567.0 18313,109568 993;109536 966;109571 1017;109476 985;109541 948;109542 972;109569 966;109551 972;109553 958;109524 935;109557 899;109560 953;109561 995;109562 961;109563 924;109564 919;109565 970;109566 972;109567 1008
data,1241335500,399506.0;14409.0;401194.0;18140.0;377299.0;15409.0;400652.0;17489.0;1.2536384915;1.13234369395;1.21028354187;1.30602949415,591.0 20.0 109568;3875.0 68.0 109536;425.0 33.0 109571;1761.0 65.0 109476;1444.0 51.0 109541;68495.0 2553.0 109542;431.0 13.0 109569;2081.0 79.0 109551;1933.0 43.0 109553;6494.0 239.0 109524;1525.0 39.0 109557;1321.0 38.0 109560;1204.0 48.0 109561;1245.0 38.0 109562;1204.0 33.0 109563;884.0 16.0 109564;821.0 24.0 109565;776.0 28.0 109566;746.0 18.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1063;109536 1088;109571 1094;109476 1018;109541 1057;109542 1019;109569 1047;109551 1073;109553 1108;109524 1028;109557 1070;109560 1075;109561 1041;109562 1045;109563 1012;109564 1018;109565 1062;109566 1059;109567 1023
data,1241336400,400545.0;14426.0;402205.0;18169.0;378319.0;15431.0;401718.0;17546.0;1.25426396931;1.13250806945;1.21272469176;1.30835050432,3902.0 68.0 109536;642.0 22.0 109568;717.0 50.0 109571;1823.0 66.0 109476;1479.0 52.0 109541;68559.0 2555.0 109542;474.0 13.0 109569;2136.0 79.0 109551;1964.0 43.0 109553;6529.0 241.0 109524;1552.0 40.0 109557;1344.0 38.0 109560;1239.0 49.0 109561;1291.0 38.0 109562;1262.0 33.0 109563;902.0 16.0 109564;871.0 26.0 109565;810.0 28.0 109566;771.0 18.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1073;109568 1034;109571 1066;109476 997;109541 1003;109542 1087;109569 1085;109551 1039;109553 1141;109524 1010;109557 1060;109560 1078;109561 1057;109562 1046;109563 1072;109564 1037;109565 1057;109566 1030;109567 1028
data,1241337300,401625.0;14457.0;403297.0;18215.0;379367.0;15453.0;402829.0;17607.0;1.25471977193;1.13160748628;1.21424743166;1.30965958225,3923.0 68.0 109536;688.0 23.0 109568;1123.0 76.0 109571;1869.0 68.0 109476;1513.0 53.0 109541;68617.0 2556.0 109542;504.0 13.0 109569;2197.0 82.0 109551;1990.0 45.0 109553;6576.0 242.0 109524;1581.0 40.0 109557;1381.0 39.0 109560;1292.0 52.0 109561;1320.0 38.0 109562;1302.0 35.0 109563;934.0 16.0 109564;900.0 26.0 109565;840.0 28.0 109566;809.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1056;109568 1083;109571 1111;109476 987;109541 1050;109542 1047;109569 1069;109551 1059;109553 1021;109524 1023;109557 1069;109560 1052;109561 1076;109562 1019;109563 1076;109564 1056;109565 1060;109566 1010;109567 1076
data,1241338200,402664.0;14476.0;404313.0;18252.0;380439.0;15474.0;403917.0;17660.0;1.25570314951;1.13138857825;1.21616582739;1.31144152606,727.0 24.0 109568;524.0 13.0 109569;1591.0 100.0 109571;3935.0 68.0 109536;1543.0 53.0 109541;68652.0 2556.0 109542;2245.0 83.0 109551;2012.0 45.0 109553;1925.0 70.0 109476;6634.0 248.0 109524;1598.0 41.0 109557;1404.0 39.0 109560;1349.0 54.0 109561;1336.0 38.0 109562;1337.0 35.0 109563;949.0 16.0 109564;928.0 26.0 109565;858.0 28.0 109566;828.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1057;109569 1024;109571 1088;109536 994;109541 1090;109542 1093;109551 1033;109553 1054;109476 1113;109524 1028;109557 1058;109560 1072;109561 1088;109562 1039;109563 1029;109564 1080;109565 1043;109566 1002;109567 1015
data,1241339100,403686.0;14489.0;405344.0;18290.0;381527.0;15498.0;405002.0;17715.0;1.2571735417;1.13176342459;1.21867882321;1.31385408707,3957.0 68.0 109536;553.0 14.0 109569;2114.0 124.0 109571;1969.0 70.0 109476;1569.0 53.0 109541;68680.0 2557.0 109542;757.0 24.0 109568;2262.0 83.0 109551;2029.0 45.0 109553;6712.0 251.0 109524;1619.0 42.0 109557;1423.0 39.0 109560;1403.0 55.0 109561;1360.0 40.0 109562;1359.0 38.0 109563;965.0 17.0 109564;946.0 26.0 109565;877.0 29.0 109566;852.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1076;109569 1071;109571 1085;109476 1075;109541 1068;109542 1090;109568 1034;109551 1033;109553 1053;109524 1079;109557 1051;109560 1069;109561 1092;109562 1009;109563 1065;109564 1012;109565 1003;109566 988;109567 1047
data,1241340300,404751.0;14514.0;406394.0;18322.0;382521.0;15513.0;406047.0;17761.0;1.2572637764;1.13094457511;1.21980924285;1.31482681797,3970.0 68.0 109536;567.0 15.0 109569;2695.0 150.0 109571;2006.0 71.0 109476;1588.0 53.0 109541;788.0 25.0 109568;68708.0 2557.0 109542;2283.0 83.0 109551;2041.0 45.0 109553;6766.0 251.0 109524;1650.0 42.0 109557;1441.0 39.0 109560;1449.0 57.0 109561;1383.0 41.0 109562;1400.0 38.0 109563;997.0 17.0 109564;961.0 26.0 109565;892.0 29.0 109566;871.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1022;109569 1059;109571 1045;109476 995;109541 1056;109568 1100;109542 1025;109551 1067;109553 1031;109524 1027;109557 1070;109560 1074;109561 1113;109562 1008;109563 1034;109564 1090;109565 1022;109566 1078;109567 1084
data,1241341200,405788.0;14539.0;407457.0;18364.0;383546.0;15540.0;407093.0;17815.0;1.25791172201;1.13083233956;1.22139701792;1.3162488105,812.0 26.0 109568;580.0 15.0 109569;3349.0 188.0 109571;2039.0 71.0 109476;1601.0 53.0 109541;68727.0 2557.0 109542;2303.0 83.0 109551;2055.0 45.0 109553;6810.0 253.0 109524;1673.0 42.0 109557;3988.0 68.0 109536;1459.0 39.0 109560;1481.0 57.0 109561;1416.0 41.0 109562;1427.0 38.0 109563;1019.0 17.0 109564;982.0 27.0 109565;910.0 29.0 109566;888.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1059;109569 1072;109571 1046;109476 976;109541 1057;109542 1106;109551 1070;109553 1106;109524 1063;109557 1017;109536 1076;109560 1079;109561 994;109562 1063;109563 1016;109564 1066;109565 1041;109566 1041;109567 1052
data,1241342400,406862.0;14561.0;408507.0;18414.0;384581.0;15556.0;408163.0;17866.0;1.25951853735;1.13022793663;1.22306524149;1.31777533025,838.0 27.0 109568;601.0 15.0 109569;4042.0 230.0 109571;2058.0 71.0 109476;1616.0 53.0 109541;68742.0 2557.0 109542;1473.0 39.0 109560;2333.0 85.0 109551;2077.0 46.0 109553;6842.0 254.0 109524;1685.0 42.0 109557;4006.0 68.0 109536;1513.0 58.0 109561;1426.0 41.0 109562;1445.0 39.0 109563;1032.0 17.0 109564;1004.0 27.0 109565;931.0 30.0 109566;905.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109568 1069;109569 1049;109571 1070;109476 1000;109541 1066;109542 1066;109560 1065;109551 1045;109553 1024;109524 1048;109557 1055;109536 1083;109561 1089;109562 1021;109563 1082;109564 1021;109565 1065;109566 1060;109567 1022
data,1241343600,407934.0;14585.0;409551.0;18460.0;385584.0;15577.0;409198.0;17924.0;1.26068671538;1.12992153531;1.22513769742;1.31969918744,4019.0 68.0 109536;855.0 27.0 109568;4733.0 267.0 109571;2086.0 71.0 109476;1633.0 53.0 109541;68764.0 2558.0 109542;626.0 15.0 109569;2347.0 86.0 109551;2100.0 47.0 109553;6875.0 256.0 109524;1699.0 42.0 109557;1485.0 40.0 109560;1542.0 60.0 109561;1448.0 41.0 109562;1462.0 40.0 109563;1051.0 17.0 109564;1019.0 27.0 109565;952.0 30.0 109566;917.0 21.0 109567,109536.0 20000;109568.0 20000;109571.0 20000;109476.0 20000;109541.0 20000;109542.0 20000;109569.0 20000;109551.0 20000;109553.0 20000;109524.0 20000;109557.0 20000;109560.0 20000;109561.0 20000;109562.0 20000;109563.0 20000;109564.0 20000;109565.0 20000;109566.0 20000;109567.0 20000,109536 1072;109568 1055;109571 1035;109476 1073;109541 1050;109542 1059;109569 1043;109551 1019;109553 1075;109524 1084;109557 1016;109560 1012;109561 1041;109562 1092;109563 1026;109564 1094;109565 1083;109566 1024;109567 1047
