data,1241490600,810407.0;28965.0;813854.0;34441.0;761342.0;27504.0;816434.0;37145.0;1.18401962615;1.01075458839;1.27294292348;1.06239813745,10250.0 523.0 109594;9527.0 509.0 109596;20866.0 1207.0 109597;6227.0 320.0 109598;3028.0 140.0 109599;2434.0 81.0 109600;1828.0 61.0 109601;6248.0 394.0 109602;1816.0 82.0 109603;23880.0 845.0 109476;12034.0 823.0 109605;1775.0 48.0 109606;1768.0 69.0 109608;3032.0 161.0 109609;925.0 30.0 109610;298.0 16.0 109611;119.0 8.0 109612;681.0 7.0 109613;1661.0 101.0 109614;974.0 54.0 109615;1210.0 74.0 109617;71.0 0.0 109618;13436.0 472.0 109517,109594.0 1314;109596.0 1314;109597.0 1314;109598.0 1314;109599.0 1314;109600.0 1314;109601.0 1314;109602.0 1314;109603.0 1314;109476.0 1314;109605.0 1314;109606.0 1314;109608.0 1314;109609.0 1314;109610.0 1314;109611.0 1314;109612.0 1314;109613.0 1314;109614.0 1314;109615.0 1314;109617.0 1314;109618.0 1314;109517.0 1314,109594 64;109596 42;109597 61;109598 75;109599 58;109600 49;109601 58;109602 55;109603 69;109476 35;109605 44;109606 58;109608 52;109609 63;109610 73;109611 66;109612 67;109613 41;109614 68;109615 59;109617 52;109618 49;109517 56
data,1241490900,811198.0;29008.0;814673.0;34475.0;762115.0;27530.0;817208.0;37189.0;1.18339583447;1.01017074352;1.27259723557;1.06321669526,10287.0 525.0 109594;9559.0 509.0 109596;20905.0 1209.0 109597;6268.0 322.0 109598;3058.0 141.0 109599;2470.0 81.0 109600;1871.0 64.0 109601;6307.0 398.0 109602;1856.0 83.0 109603;23915.0 845.0 109476;12064.0 824.0 109605;1805.0 49.0 109606;1803.0 70.0 109608;3073.0 162.0 109609;947.0 32.0 109610;327.0 16.0 109611;148.0 10.0 109612;713.0 7.0 109613;1714.0 107.0 109614;1001.0 55.0 109615;1239.0 76.0 109617;99.0 1.0 109618;13478.0 473.0 109517,109594.0 18686;109596.0 18686;109597.0 18686;109598.0 18686;109599.0 18686;109600.0 18686;109601.0 18686;109602.0 18686;109603.0 18686;109476.0 18686;109605.0 18686;109606.0 18686;109608.0 18686;109609.0 18686;109610.0 18686;109611.0 18686;109612.0 18686;109613.0 18686;109614.0 18686;109615.0 18686;109617.0 18686;109618.0 18686;109517.0 18686,109594 787;109596 812;109597 834;109598 793;109599 885;109600 816;109601 791;109602 795;109603 771;109476 860;109605 809;109606 870;109608 812;109609 773;109610 800;109611 820;109612 805;109613 825;109614 814;109615 849;109617 794;109618 794;109517 777
data,1241491200,812047.0;29042.0;815512.0;34504.0;763050.0;27574.0;818079.0;37242.0;1.18302448794;1.01041880363;1.2728944603;1.06416925473,10316.0 526.0 109594;9578.0 509.0 109596;20950.0 1209.0 109597;6305.0 323.0 109598;3097.0 142.0 109599;2502.0 82.0 109600;1907.0 64.0 109601;6373.0 401.0 109602;1895.0 83.0 109603;23925.0 845.0 109476;12109.0 827.0 109605;1838.0 49.0 109606;1828.0 71.0 109608;3099.0 162.0 109609;980.0 33.0 109610;370.0 19.0 109611;194.0 13.0 109612;735.0 7.0 109613;1802.0 116.0 109614;1029.0 56.0 109615;1284.0 77.0 109617;132.0 1.0 109618;13498.0 473.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 876;109596 851;109597 938;109598 863;109599 855;109600 869;109601 821;109602 894;109603 871;109476 836;109605 895;109606 841;109608 863;109609 867;109610 829;109611 847;109612 904;109613 852;109614 848;109615 879;109617 927;109618 892;109517 882
data,1241491500,812914.0;29077.0;816405.0;34545.0;763875.0;27615.0;818931.0;37293.0;1.18297222445;1.01068950826;1.27313663832;1.06500157943,10359.0 528.0 109594;9597.0 509.0 109596;20977.0 1211.0 109597;6346.0 325.0 109598;3132.0 142.0 109599;2524.0 82.0 109600;1938.0 64.0 109601;6438.0 405.0 109602;1910.0 83.0 109603;23956.0 846.0 109476;12147.0 828.0 109605;1860.0 50.0 109606;1854.0 71.0 109608;3126.0 164.0 109609;1016.0 34.0 109610;417.0 20.0 109611;277.0 22.0 109612;764.0 8.0 109613;1955.0 129.0 109614;1055.0 57.0 109615;1316.0 77.0 109617;156.0 1.0 109618;13519.0 473.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 899;109596 842;109597 886;109598 881;109599 882;109600 835;109601 863;109602 833;109603 884;109476 868;109605 866;109606 897;109608 903;109609 887;109610 859;109611 848;109612 853;109613 838;109614 901;109615 878;109617 879;109618 856;109517 862
data,1241491500,813796.0;29108.0;817260.0;34587.0;764722.0;27642.0;819789.0;37334.0;1.1831936636;1.01057619264;1.27322635929;1.06590111953,10401.0 530.0 109594;9605.0 509.0 109596;21018.0 1213.0 109597;6383.0 328.0 109598;3152.0 142.0 109599;2549.0 84.0 109600;1965.0 66.0 109601;6490.0 406.0 109602;1932.0 83.0 109603;23978.0 848.0 109476;12181.0 830.0 109605;1894.0 52.0 109606;1874.0 72.0 109608;3152.0 167.0 109609;1045.0 34.0 109610;451.0 20.0 109611;384.0 28.0 109612;783.0 8.0 109613;2133.0 141.0 109614;1076.0 57.0 109615;1340.0 79.0 109617;174.0 1.0 109618;13534.0 473.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 850;109596 841;109597 891;109598 894;109599 883;109600 852;109601 863;109602 839;109603 851;109476 857;109605 844;109606 833;109608 861;109609 867;109610 895;109611 931;109612 901;109613 838;109614 910;109615 909;109617 855;109618 903;109517 832
data,1241491800,814643.0;29150.0;818150.0;34646.0;765625.0;27680.0;820602.0;37357.0;1.18344733859;1.01036606389;1.2722374993;1.0667539431,10425.0 530.0 109594;9621.0 509.0 109596;21059.0 1217.0 109597;6421.0 331.0 109598;3176.0 143.0 109599;2569.0 84.0 109600;1988.0 66.0 109601;6543.0 411.0 109602;1947.0 84.0 109603;23996.0 848.0 109476;12217.0 832.0 109605;1919.0 52.0 109606;1890.0 72.0 109608;3184.0 168.0 109609;1063.0 34.0 109610;476.0 20.0 109611;494.0 38.0 109612;799.0 8.0 109613;2388.0 167.0 109614;1099.0 59.0 109615;1362.0 81.0 109617;186.0 1.0 109618;13562.0 475.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 815;109596 809;109597 857;109598 867;109599 893;109600 863;109601 852;109602 942;109603 892;109476 849;109605 848;109606 875;109608 872;109609 824;109610 987;109611 908;109612 880;109613 884;109614 884;109615 835;109617 846;109618 877;109517 841
data,1241492100,815495.0;29182.0;819069.0;34702.0;766482.0;27713.0;821504.0;37406.0;1.18396882134;1.01038718866;1.27244153417;1.06739454789,10461.0 534.0 109594;9634.0 510.0 109596;21091.0 1219.0 109597;6462.0 332.0 109598;3188.0 143.0 109599;2583.0 84.0 109600;2010.0 68.0 109601;6591.0 413.0 109602;1965.0 86.0 109603;24020.0 851.0 109476;12245.0 834.0 109605;1937.0 53.0 109606;1901.0 72.0 109608;3215.0 169.0 109609;1079.0 34.0 109610;493.0 21.0 109611;642.0 46.0 109612;812.0 9.0 109613;2685.0 191.0 109614;1121.0 59.0 109615;1388.0 82.0 109617;200.0 1.0 109618;13580.0 475.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 895;109596 838;109597 873;109598 934;109599 865;109600 879;109601 879;109602 894;109603 878;109476 867;109605 878;109606 882;109608 857;109609 858;109610 827;109611 809;109612 881;109613 862;109614 879;109615 851;109617 892;109618 877;109517 845
data,1241492400,816350.0;29220.0;819970.0;34762.0;767355.0;27750.0;822356.0;37444.0;1.1844124871;1.01032906216;1.27209210315;1.06779354499,10489.0 535.0 109594;9641.0 510.0 109596;21124.0 1219.0 109597;6486.0 333.0 109598;3193.0 143.0 109599;2598.0 84.0 109600;2027.0 68.0 109601;6661.0 419.0 109602;1986.0 88.0 109603;24045.0 851.0 109476;12290.0 838.0 109605;1959.0 54.0 109606;1917.0 72.0 109608;3243.0 170.0 109609;1090.0 34.0 109610;510.0 24.0 109611;781.0 59.0 109612;824.0 10.0 109613;2985.0 215.0 109614;1133.0 60.0 109615;1413.0 83.0 109617;213.0 2.0 109618;13596.0 475.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 856;109596 859;109597 904;109598 885;109599 886;109600 863;109601 906;109602 816;109603 869;109476 845;109605 884;109606 870;109608 894;109609 868;109610 879;109611 867;109612 900;109613 852;109614 836;109615 854;109617 868;109618 867;109517 872
data,1241492700,817216.0;29258.0;820846.0;34800.0;768214.0;27792.0;823219.0;37479.0;1.18415835382;1.01048485546;1.27164191567;1.06850035077,10510.0 535.0 109594;9656.0 510.0 109596;21150.0 1221.0 109597;6518.0 335.0 109598;3207.0 144.0 109599;2612.0 84.0 109600;2042.0 68.0 109601;6729.0 421.0 109602;2001.0 88.0 109603;24062.0 851.0 109476;12349.0 844.0 109605;1980.0 55.0 109606;1924.0 72.0 109608;3276.0 173.0 109609;1096.0 34.0 109610;543.0 26.0 109611;915.0 66.0 109612;841.0 10.0 109613;3251.0 223.0 109614;1143.0 60.0 109615;1442.0 85.0 109617;223.0 3.0 109618;13610.0 476.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 877;109596 888;109597 868;109598 869;109599 874;109600 880;109601 857;109602 845;109603 833;109476 847;109605 845;109606 898;109608 865;109609 857;109610 906;109611 893;109612 857;109613 905;109614 849;109615 884;109617 838;109618 876;109517 889
data,1241493300,818086.0;29294.0;821707.0;34846.0;769112.0;27832.0;824176.0;37539.0;1.18428500104;1.010590268;1.27198801394;1.06941564221,10527.0 536.0 109594;9674.0 510.0 109596;21169.0 1221.0 109597;6544.0 337.0 109598;3216.0 144.0 109599;2626.0 84.0 109600;2054.0 68.0 109601;6787.0 424.0 109602;2016.0 88.0 109603;24077.0 851.0 109476;12438.0 851.0 109605;2003.0 56.0 109606;1930.0 72.0 109608;3302.0 175.0 109609;1109.0 34.0 109610;573.0 26.0 109611;1057.0 76.0 109612;853.0 10.0 109613;3477.0 238.0 109614;1156.0 61.0 109615;1490.0 89.0 109617;243.0 3.0 109618;13620.0 476.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 917;109596 896;109597 851;109598 821;109599 874;109600 905;109601 860;109602 832;109603 859;109476 837;109605 960;109606 859;109608 884;109609 879;109610 861;109611 878;109612 834;109613 871;109614 842;109615 848;109617 930;109618 829;109517 873
data,1241493600,818902.0;29333.0;822609.0;34899.0;769981.0;27873.0;824998.0;37594.0;1.18439066467;1.01059967832;1.27215811008;1.07023139239,10543.0 536.0 109594;9690.0 510.0 109596;21187.0 1221.0 109597;6583.0 339.0 109598;3222.0 145.0 109599;2635.0 84.0 109600;2071.0 69.0 109601;6830.0 426.0 109602;2035.0 89.0 109603;24083.0 851.0 109476;12516.0 857.0 109605;2018.0 56.0 109606;1948.0 72.0 109608;3344.0 178.0 109609;1121.0 34.0 109610;586.0 26.0 109611;1246.0 89.0 109612;862.0 10.0 109613;3732.0 257.0 109614;1167.0 61.0 109615;1532.0 93.0 109617;259.0 3.0 109618;13633.0 477.0 109517,109594.0 20000;109596.0 20000;109597.0 20000;109598.0 20000;109599.0 20000;109600.0 20000;109601.0 20000;109602.0 20000;109603.0 20000;109476.0 20000;109605.0 20000;109606.0 20000;109608.0 20000;109609.0 20000;109610.0 20000;109611.0 20000;109612.0 20000;109613.0 20000;109614.0 20000;109615.0 20000;109617.0 20000;109618.0 20000;109517.0 20000,109594 818;109596 887;109597 916;109598 870;109599 873;109600 847;109601 871;109602 919;109603 903;109476 806;109605 822;109606 903;109608 857;109609 875;109610 859;109611 838;109612 901;109613 894;109614 872;109615 916;109617 845;109618 886;109517 822
