data,1241866500,1823236.0;65874.0;1830796.0;83282.0;1714950.0;62963.0;1836997.0;90904.0;1.25904149373;1.0161616536;1.36963043676;1.09586386999,2608.0 43.0 109728;7976.0 153.0 109697;13727.0 329.0 109667;5249.0 226.0 109734;2217.0 47.0 109735;5140.0 175.0 109711;2998.0 127.0 109746;9440.0 440.0 109742;4215.0 182.0 109743;2235.0 64.0 109745;907.0 13.0 109714;1379.0 35.0 109747;3067.0 134.0 109748;2048.0 83.0 109749;4836.0 121.0 109720;20466.0 1045.0 109721;8683.0 342.0 109722;3161.0 36.0 109723;2590.0 56.0 109726,109728.0 4623;109697.0 4623;109667.0 4623;109734.0 4623;109735.0 4623;109711.0 4623;109714.0 4623;109742.0 4623;109743.0 4623;109745.0 4623;109746.0 4623;109747.0 4623;109748.0 4623;109749.0 4623;109720.0 4623;109721.0 4623;109722.0 4623;109723.0 4623;109726.0 4623,109728 267;109697 252;109667 242;109734 231;109735 240;109711 215;109746 264;109742 252;109743 220;109745 223;109714 254;109747 231;109748 239;109749 282;109720 236;109721 255;109722 255;109723 247;109726 218
data,1241867100,1824014.0;65897.0;1831579.0;83299.0;1715733.0;62975.0;1837790.0;90923.0;1.25885774481;1.01597026073;1.36943176237;1.09584852685,2654.0 44.0 109728;8011.0 153.0 109697;13766.0 329.0 109667;5282.0 226.0 109734;2266.0 48.0 109735;945.0 14.0 109714;9483.0 441.0 109742;5179.0 176.0 109711;3194.0 36.0 109723;2273.0 64.0 109745;3059.0 129.0 109746;1419.0 36.0 109747;3116.0 135.0 109748;2077.0 83.0 109749;4872.0 122.0 109720;20512.0 1047.0 109721;8721.0 343.0 109722;4265.0 185.0 109743;2631.0 57.0 109726,109728.0 15377;109697.0 15377;109667.0 15377;109734.0 15377;109735.0 15377;109711.0 15377;109714.0 15377;109742.0 15377;109743.0 15377;109745.0 15377;109746.0 15377;109747.0 15377;109748.0 15377;109749.0 15377;109720.0 15377;109721.0 15377;109722.0 15377;109723.0 15377;109726.0 15377,109728 782;109697 812;109667 756;109734 802;109735 829;109714 786;109742 832;109711 775;109723 810;109745 816;109746 890;109747 844;109748 847;109749 790;109720 788;109721 831;109722 787;109743 800;109726 800
data,1241867700,1825072.0;65930.0;1832607.0;83326.0;1716803.0;63000.0;1838857.0;90975.0;1.25865909913;1.01582059237;1.36952837088;1.09599322576,2721.0 46.0 109728;8048.0 153.0 109697;13800.0 329.0 109667;5323.0 227.0 109734;2315.0 49.0 109735;5229.0 176.0 109711;3130.0 131.0 109746;9539.0 443.0 109742;4341.0 188.0 109743;2338.0 66.0 109745;990.0 14.0 109714;1468.0 37.0 109747;3182.0 139.0 109748;2113.0 85.0 109749;4944.0 125.0 109720;20584.0 1050.0 109721;8775.0 344.0 109722;3237.0 36.0 109723;2676.0 57.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1048;109697 1001;109667 1052;109734 1075;109735 1038;109711 1069;109746 1065;109742 1067;109743 1066;109745 1034;109714 1023;109747 1113;109748 1090;109749 1001;109720 1129;109721 1041;109722 994;109723 1041;109726 1053
data,1241868300,1826115.0;65951.0;1833687.0;83356.0;1717923.0;63031.0;1839894.0;91012.0;1.25868888971;1.01591469416;1.36965943592;1.09642096239,2780.0 46.0 109728;8085.0 153.0 109697;13838.0 329.0 109667;4419.0 189.0 109743;5356.0 227.0 109734;2372.0 52.0 109735;3183.0 132.0 109746;9601.0 444.0 109742;5273.0 178.0 109711;2407.0 67.0 109745;1020.0 14.0 109714;1508.0 38.0 109747;3296.0 146.0 109748;2185.0 89.0 109749;5015.0 125.0 109720;20703.0 1059.0 109721;8819.0 344.0 109722;3262.0 36.0 109723;2711.0 57.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1060;109667 1029;109743 1102;109734 1042;109735 1033;109746 1036;109742 1037;109711 1064;109745 1036;109714 1102;109747 1053;109748 1067;109749 1071;109720 1044;109721 1076;109722 1026;109723 1064;109726 1051
data,1241869200,1827213.0;65984.0;1834740.0;83379.0;1718982.0;63065.0;1840994.0;91059.0;1.25844050982;1.01593894329;1.36968607562;1.09642414883,2818.0 46.0 109728;8113.0 153.0 109697;13865.0 329.0 109667;5385.0 227.0 109734;2468.0 56.0 109735;1051.0 14.0 109714;4476.0 191.0 109743;9648.0 444.0 109742;5318.0 178.0 109711;2454.0 68.0 109745;3225.0 133.0 109746;1554.0 38.0 109747;3434.0 148.0 109748;2267.0 91.0 109749;5059.0 128.0 109720;20880.0 1067.0 109721;8848.0 344.0 109722;3290.0 36.0 109723;2733.0 57.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1080;109697 1016;109667 1041;109734 1104;109735 1052;109714 1078;109743 1012;109742 1100;109711 1024;109745 1060;109746 988;109747 1097;109748 1038;109749 1036;109720 1027;109721 1058;109722 1096;109723 1034;109726 1059
data,1241869800,1828239.0;66018.0;1835767.0;83414.0;1720040.0;63095.0;1842023.0;91113.0;1.2583225941;1.01584396244;1.36979603142;1.0965500268,2851.0 47.0 109728;8134.0 153.0 109697;13890.0 331.0 109667;5408.0 227.0 109734;2563.0 58.0 109735;5350.0 178.0 109711;3275.0 134.0 109746;9679.0 444.0 109742;4543.0 193.0 109743;2491.0 70.0 109745;1087.0 15.0 109714;1606.0 40.0 109747;3545.0 153.0 109748;2357.0 94.0 109749;5139.0 135.0 109720;21040.0 1072.0 109721;8888.0 346.0 109722;3306.0 36.0 109723;2761.0 57.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1007;109697 1006;109667 1065;109734 1139;109735 1059;109711 1091;109746 1061;109742 1029;109743 1040;109745 1045;109714 1063;109747 1096;109748 1057;109749 1038;109720 1026;109721 1028;109722 1093;109723 987;109726 1070
data,1241870400,1829244.0;66055.0;1836824.0;83448.0;1721162.0;63138.0;1843036.0;91167.0;1.25809758716;1.01586269904;1.36983982376;1.09659025977,2888.0 48.0 109728;8149.0 153.0 109697;13918.0 331.0 109667;5434.0 229.0 109734;2628.0 59.0 109735;5374.0 178.0 109711;3337.0 137.0 109746;9715.0 446.0 109742;4606.0 197.0 109743;2523.0 70.0 109745;1109.0 15.0 109714;1633.0 40.0 109747;3668.0 159.0 109748;2427.0 96.0 109749;5284.0 138.0 109720;21234.0 1079.0 109721;8928.0 347.0 109722;3331.0 37.0 109723;2784.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1040;109697 985;109667 1000;109734 1030;109735 1068;109711 1016;109746 1024;109742 1013;109743 1086;109745 1062;109714 1066;109747 1108;109748 1052;109749 1099;109720 1075;109721 1033;109722 1087;109723 1115;109726 1041
data,1241871000,1830304.0;66079.0;1837908.0;83481.0;1722227.0;63170.0;1844115.0;91219.0;1.25812456308;1.01596851701;1.37011516514;1.09693743832,2909.0 50.0 109728;8170.0 153.0 109697;13948.0 333.0 109667;5463.0 229.0 109734;2676.0 59.0 109735;1129.0 15.0 109714;9747.0 447.0 109742;4696.0 199.0 109743;3355.0 37.0 109723;2556.0 71.0 109745;3389.0 139.0 109746;1652.0 40.0 109747;3828.0 165.0 109748;2514.0 99.0 109749;5426.0 142.0 109720;21406.0 1086.0 109721;8987.0 350.0 109722;5396.0 178.0 109711;2807.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1016;109697 1064;109667 1043;109734 1111;109735 1029;109714 1042;109742 1079;109743 1070;109723 1096;109745 1062;109746 1002;109747 1079;109748 1049;109749 1042;109720 1084;109721 1004;109722 1084;109711 1007;109726 1037
data,1241871300,1831362.0;66105.0;1838984.0;83514.0;1723295.0;63195.0;1845152.0;91262.0;1.25811755849;1.01592811487;1.37024341207;1.09725027201,2955.0 50.0 109728;8190.0 153.0 109697;13978.0 333.0 109667;4770.0 200.0 109743;5490.0 229.0 109734;2736.0 63.0 109735;1138.0 15.0 109714;9778.0 447.0 109742;5413.0 178.0 109711;2589.0 72.0 109745;3431.0 139.0 109746;1675.0 41.0 109747;4065.0 181.0 109748;2611.0 103.0 109749;5510.0 143.0 109720;21554.0 1089.0 109721;9045.0 352.0 109722;3380.0 37.0 109723;2822.0 58.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1077;109697 1025;109667 1043;109743 1078;109734 1044;109735 1027;109714 1015;109742 1037;109711 1036;109745 1054;109746 1052;109747 1072;109748 1079;109749 1076;109720 1065;109721 1064;109722 1006;109723 1073;109726 1077
data,1241871900,1832435.0;66133.0;1840032.0;83550.0;1724317.0;63225.0;1846212.0;91327.0;1.25814713375;1.01597280304;1.37065443764;1.09760880165,2993.0 50.0 109728;8204.0 153.0 109697;13998.0 333.0 109667;5508.0 230.0 109734;2795.0 63.0 109735;5433.0 179.0 109711;1155.0 15.0 109714;9802.0 448.0 109742;4822.0 202.0 109743;2618.0 72.0 109745;3500.0 143.0 109746;1704.0 41.0 109747;4356.0 198.0 109748;2720.0 105.0 109749;5577.0 145.0 109720;21660.0 1092.0 109721;9108.0 353.0 109722;3394.0 38.0 109723;2831.0 59.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1047;109697 1052;109667 1002;109734 1056;109735 1069;109711 1089;109714 1003;109742 1060;109743 1074;109745 1042;109746 1111;109747 1031;109748 998;109749 1065;109720 1043;109721 1052;109722 1050;109723 1075;109726 1081
data,1241872500,1833466.0;66170.0;1841067.0;83595.0;1725431.0;63259.0;1847284.0;91379.0;1.25812106709;1.01586606247;1.37064333481;1.09769295985,3015.0 50.0 109728;8219.0 153.0 109697;14014.0 333.0 109667;4878.0 204.0 109743;5530.0 232.0 109734;2828.0 64.0 109735;3590.0 149.0 109746;9836.0 451.0 109742;5450.0 179.0 109711;2642.0 72.0 109745;1164.0 15.0 109714;1723.0 41.0 109747;4694.0 217.0 109748;2802.0 108.0 109749;5625.0 145.0 109720;21800.0 1101.0 109721;9139.0 353.0 109722;3412.0 38.0 109723;2852.0 59.0 109726,109728.0 20000;109697.0 20000;109667.0 20000;109734.0 20000;109735.0 20000;109711.0 20000;109714.0 20000;109742.0 20000;109743.0 20000;109745.0 20000;109746.0 20000;109747.0 20000;109748.0 20000;109749.0 20000;109720.0 20000;109721.0 20000;109722.0 20000;109723.0 20000;109726.0 20000,109728 1058;109697 1004;109667 1029;109743 1055;109734 1114;109735 1047;109746 1051;109742 1072;109711 1052;109745 1109;109714 1103;109747 1031;109748 1075;109749 1032;109720 1035;109721 1021;109722 1026;109723 1054;109726 1032
