data,1241954400,1994801.0;71415.0;2002887.0;89578.0;1882174.0;68083.0;2009820.0;98214.0;1.24926637507;1.0103900274;1.36498026444;1.09420788321,2773.0 60.0 109760;5956.0 241.0 109761;8011.0 362.0 109762;3918.0 124.0 109763;1599.0 24.0 109764;3997.0 137.0 109766;3448.0 123.0 109767;12161.0 224.0 109697;3596.0 115.0 109769;6697.0 267.0 109740;3028.0 82.0 109741;6898.0 90.0 109723;7338.0 196.0 109745;2646.0 88.0 109731;7742.0 333.0 109684;6216.0 208.0 109686;2297.0 51.0 109752;6171.0 219.0 109755;3140.0 73.0 109756;6104.0 221.0 109758,109760.0 8579;109697.0 8579;109762.0 8579;109731.0 8579;109764.0 8579;109766.0 8579;109767.0 8579;109769.0 8579;109761.0 8579;109740.0 8579;109741.0 8579;109745.0 8579;109763.0 8579;109684.0 8579;109755.0 8579;109686.0 8579;109752.0 8579;109723.0 8579;109756.0 8579;109758.0 8579,109760 414;109761 414;109762 422;109763 457;109764 439;109766 441;109767 450;109697 421;109769 447;109740 424;109741 452;109723 378;109745 416;109731 421;109684 444;109686 446;109752 433;109755 410;109756 395;109758 455
data,1241955000,1995384.0;71432.0;2003480.0;89601.0;1882744.0;68095.0;2010384.0;98232.0;1.24928498659;1.01031692288;1.36492139932;1.09416487184,2791.0 60.0 109760;5995.0 243.0 109761;8048.0 365.0 109762;2676.0 88.0 109731;1630.0 24.0 109764;4017.0 138.0 109766;3473.0 123.0 109767;12183.0 224.0 109697;3614.0 116.0 109769;6725.0 270.0 109740;3051.0 83.0 109741;6940.0 91.0 109723;7373.0 197.0 109745;3944.0 124.0 109763;7774.0 335.0 109684;6249.0 209.0 109686;2329.0 52.0 109752;6206.0 223.0 109755;3173.0 74.0 109756;6138.0 222.0 109758,109760.0 11421;109697.0 11421;109762.0 11421;109731.0 11421;109764.0 11421;109766.0 11421;109767.0 11421;109769.0 11421;109761.0 11421;109740.0 11421;109741.0 11421;109745.0 11421;109763.0 11421;109684.0 11421;109755.0 11421;109686.0 11421;109752.0 11421;109723.0 11421;109756.0 11421;109758.0 11421,109760 541;109761 551;109762 582;109731 571;109764 540;109766 560;109767 594;109697 566;109769 547;109740 558;109741 588;109723 577;109745 602;109763 587;109684 569;109686 540;109752 590;109755 628;109756 550;109758 580
data,1241955600,1996355.0;71451.0;2004447.0;89633.0;1883733.0;68120.0;2011373.0;98279.0;1.24940377961;1.01038002972;1.36520406666;1.09436561927,2856.0 64.0 109760;12219.0 225.0 109697;8120.0 366.0 109762;2716.0 89.0 109731;1663.0 24.0 109764;4079.0 140.0 109766;6041.0 246.0 109761;3651.0 118.0 109769;3509.0 124.0 109767;6775.0 270.0 109740;3099.0 86.0 109741;7400.0 197.0 109745;4005.0 127.0 109763;7833.0 337.0 109684;6308.0 228.0 109755;6285.0 209.0 109686;2364.0 52.0 109752;6983.0 92.0 109723;3205.0 74.0 109756;6185.0 225.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1065;109697 975;109762 981;109731 1008;109764 1037;109766 1051;109761 1027;109769 967;109767 961;109740 1011;109741 1056;109745 1010;109763 968;109684 984;109755 937;109686 971;109752 1025;109723 1001;109756 1038;109758 927
data,1241956500,1997327.0;71487.0;2005394.0;89663.0;1884737.0;68141.0;2012401.0;98315.0;1.24921058446;1.01013599554;1.36498336905;1.0941548241,2918.0 65.0 109760;12263.0 227.0 109697;8170.0 368.0 109762;4059.0 127.0 109763;1688.0 26.0 109764;4148.0 143.0 109766;3535.0 124.0 109767;3709.0 122.0 109769;6128.0 252.0 109761;6817.0 271.0 109740;3148.0 87.0 109741;7021.0 92.0 109723;7425.0 197.0 109745;2748.0 90.0 109731;7884.0 337.0 109684;6317.0 210.0 109686;2389.0 52.0 109752;6389.0 230.0 109755;3234.0 75.0 109756;6253.0 228.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1012;109697 1016;109762 981;109763 991;109764 982;109766 1016;109767 1016;109769 993;109761 957;109740 1043;109741 980;109723 1023;109745 1009;109731 973;109684 1028;109686 999;109752 991;109755 985;109756 966;109758 1039
data,1241957100,1998321.0;71516.0;2006428.0;89698.0;1885758.0;68169.0;2013407.0;98346.0;1.249169053;1.01009681335;1.36485703654;1.09416726903,2963.0 66.0 109760;6246.0 257.0 109761;8232.0 374.0 109762;2781.0 92.0 109731;1720.0 27.0 109764;4209.0 144.0 109766;3559.0 125.0 109767;12309.0 227.0 109697;3849.0 130.0 109769;6858.0 273.0 109740;3193.0 87.0 109741;7049.0 92.0 109723;7444.0 197.0 109745;4087.0 127.0 109763;7923.0 338.0 109684;6340.0 210.0 109686;2419.0 52.0 109752;6487.0 233.0 109755;3274.0 76.0 109756;6335.0 231.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1026;109761 1066;109762 1032;109731 970;109764 948;109766 1027;109767 943;109697 1013;109769 1036;109740 989;109741 990;109723 1006;109745 993;109763 979;109684 1014;109686 973;109752 1053;109755 983;109756 965;109758 994
data,1241957700,1999376.0;71548.0;2007464.0;89729.0;1886764.0;68197.0;2014460.0;98380.0;1.24905636912;1.01005416895;1.36472499668;1.09402845874,3007.0 67.0 109760;6362.0 261.0 109761;8352.0 379.0 109762;6580.0 239.0 109755;1761.0 29.0 109764;2818.0 92.0 109731;4248.0 145.0 109766;12336.0 227.0 109697;3972.0 133.0 109769;3588.0 126.0 109767;6909.0 274.0 109740;3229.0 88.0 109741;7460.0 197.0 109745;4109.0 128.0 109763;7965.0 339.0 109684;6378.0 211.0 109686;2442.0 52.0 109752;7077.0 92.0 109723;3294.0 76.0 109756;6426.0 234.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 996;109761 955;109762 1026;109755 964;109764 969;109731 1035;109766 1010;109697 979;109769 991;109767 1033;109740 1011;109741 946;109745 965;109763 1004;109684 1048;109686 1025;109752 988;109723 1027;109756 997;109758 1031
data,1241958300,2000418.0;71572.0;2008514.0;89762.0;1887745.0;68234.0;2015466.0;98424.0;1.24909438993;1.01026452449;1.36490723317;1.09411695905,3046.0 67.0 109760;12358.0 227.0 109697;8500.0 387.0 109762;4136.0 129.0 109763;1809.0 30.0 109764;4297.0 146.0 109766;3615.0 126.0 109767;4076.0 135.0 109769;6459.0 263.0 109761;6964.0 277.0 109740;3250.0 88.0 109741;7486.0 197.0 109745;2856.0 94.0 109731;8014.0 343.0 109684;6702.0 243.0 109755;6403.0 211.0 109686;2459.0 52.0 109752;7099.0 93.0 109723;3316.0 76.0 109756;6518.0 238.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 1055;109762 1001;109763 1028;109764 938;109766 995;109767 1015;109769 1057;109761 992;109740 975;109741 997;109745 1034;109731 1027;109684 1006;109755 923;109686 974;109752 982;109723 998;109756 997;109758 1008
data,1241958900,2001456.0;71599.0;2009566.0;89796.0;1888753.0;68274.0;2016474.0;98457.0;1.24909021814;1.01046033673;1.36487557594;1.09412957502,3075.0 67.0 109760;6576.0 267.0 109761;8668.0 393.0 109762;6811.0 249.0 109755;1843.0 30.0 109764;4334.0 147.0 109766;12379.0 227.0 109697;4176.0 139.0 109769;4168.0 130.0 109763;3633.0 127.0 109767;7026.0 280.0 109740;3278.0 88.0 109741;7499.0 197.0 109745;2889.0 95.0 109731;8101.0 347.0 109684;6440.0 213.0 109686;2478.0 53.0 109752;7116.0 93.0 109723;3333.0 76.0 109756;6592.0 238.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 990;109761 1007;109762 1030;109755 980;109764 1022;109766 1004;109697 1045;109769 998;109763 1028;109767 999;109740 987;109741 1043;109745 930;109731 952;109684 1008;109686 1020;109752 942;109723 995;109756 980;109758 1040
data,1241959500,2002418.0;71625.0;2010590.0;89830.0;1889775.0;68301.0;2017557.0;98495.0;1.24907347838;1.01043194593;1.36482973855;1.09400669002,3098.0 67.0 109760;12401.0 228.0 109697;8818.0 400.0 109762;4198.0 131.0 109763;1865.0 31.0 109764;4358.0 147.0 109766;3653.0 127.0 109767;4324.0 147.0 109769;6675.0 269.0 109761;7082.0 283.0 109740;3301.0 88.0 109741;7130.0 93.0 109723;7513.0 197.0 109745;2918.0 95.0 109731;8168.0 349.0 109684;6471.0 213.0 109686;2494.0 53.0 109752;6966.0 258.0 109755;3358.0 76.0 109756;6648.0 238.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 998;109697 981;109762 972;109763 999;109764 1015;109766 961;109767 933;109769 1065;109761 1018;109740 1000;109741 982;109723 1022;109745 1011;109731 957;109684 1082;109686 1005;109752 994;109755 984;109756 967;109758 1054
data,1241959800,2003478.0;71650.0;2011611.0;89864.0;1890739.0;68336.0;2018516.0;98527.0;1.24913715721;1.01061643073;1.36487049723;1.09421075568,3111.0 68.0 109760;12416.0 228.0 109697;8996.0 406.0 109762;7149.0 264.0 109755;1885.0 31.0 109764;4383.0 147.0 109766;3668.0 128.0 109767;4474.0 151.0 109769;4224.0 131.0 109763;7158.0 287.0 109740;3321.0 89.0 109741;7528.0 198.0 109745;2956.0 97.0 109731;8243.0 350.0 109684;6496.0 214.0 109686;2506.0 53.0 109752;6752.0 272.0 109761;7150.0 95.0 109723;3370.0 76.0 109756;6674.0 239.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 1035;109697 1011;109762 985;109755 1013;109764 940;109766 1000;109767 993;109769 1029;109763 984;109740 1034;109741 984;109745 1001;109731 965;109684 950;109686 1028;109752 968;109761 1025;109723 1003;109756 1017;109758 1035
data,1241960400,2004433.0;71681.0;2012597.0;89897.0;1891702.0;68366.0;2019520.0;98567.0;1.24903861936;1.01058986019;1.36480582922;1.09409625125,3132.0 68.0 109760;6823.0 274.0 109761;9220.0 418.0 109762;3018.0 100.0 109731;1903.0 31.0 109764;4399.0 147.0 109766;3690.0 128.0 109767;12434.0 229.0 109697;4566.0 152.0 109769;7227.0 291.0 109740;3344.0 89.0 109741;7546.0 198.0 109745;4243.0 131.0 109763;8317.0 354.0 109684;7302.0 268.0 109755;6510.0 215.0 109686;2520.0 54.0 109752;7170.0 95.0 109723;3387.0 76.0 109756;6695.0 239.0 109758,109760.0 20000;109697.0 20000;109762.0 20000;109731.0 20000;109764.0 20000;109766.0 20000;109767.0 20000;109769.0 20000;109761.0 20000;109740.0 20000;109741.0 20000;109745.0 20000;109763.0 20000;109684.0 20000;109755.0 20000;109686.0 20000;109752.0 20000;109723.0 20000;109756.0 20000;109758.0 20000,109760 964;109761 904;109762 1039;109731 1044;109764 1014;109766 1003;109767 1007;109697 968;109769 995;109740 1000;109741 1003;109745 985;109763 1015;109684 1004;109755 982;109686 1012;109752 1011;109723 1027;109756 989;109758 1034
